"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.127,0.151,0.102,0.175,0.105,0.112,0.134,0.177,0.089,0.116,0.077,0.132,0.158,0.114,0.17,0.112,0.096,0.147,0.03,6
"Buena",0.071,0.065,0.077,0.038,0.051,0.113,0.106,0.088,0.062,0.056,0.112,0.073,0.043,0,0.117,0.063,0.066,0.066,0.456,6
"Ni buena ni mala",0.361,0.385,0.336,0.305,0.438,0.298,0.339,0.264,0.445,0.355,0.329,0.3,0.402,0.49,0.304,0.473,0.411,0.354,0.262,6
"Mala",0.108,0.099,0.118,0.123,0.095,0.131,0.086,0.09,0.14,0.068,0.097,0.116,0.102,0.128,0.066,0.125,0.094,0.139,0.16,6
"Muy mala",0.104,0.089,0.12,0.181,0.081,0.099,0.06,0.111,0.061,0.198,0.115,0.111,0.05,0.075,0.171,0.11,0.1,0.1,0.044,6
"No sabe",0.229,0.211,0.247,0.178,0.23,0.247,0.275,0.27,0.203,0.207,0.27,0.268,0.245,0.193,0.172,0.117,0.233,0.194,0.048,6
"Positiva",0.198,0.216,0.179,0.213,0.156,0.225,0.24,0.265,0.151,0.172,0.189,0.205,0.201,0.114,0.287,0.175,0.162,0.213,0.486,4
"Neutra",0.361,0.385,0.336,0.305,0.438,0.298,0.339,0.264,0.445,0.355,0.329,0.3,0.402,0.49,0.304,0.473,0.411,0.354,0.262,4
"Negativa",0.212,0.188,0.238,0.304,0.176,0.23,0.146,0.201,0.201,0.266,0.212,0.227,0.152,0.203,0.237,0.235,0.194,0.239,0.204,4
"No sabe",0.229,0.211,0.247,0.178,0.23,0.247,0.275,0.27,0.203,0.207,0.27,0.268,0.245,0.193,0.172,0.117,0.233,0.194,0.048,4
