"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.378,0.188,0.534,0.079,0.529,0.551,0.229,0.542,0.251,0.286,0.224,0.48,0.491,0.825,0.186,0.146,0.124,0.492,0.87
"A Mauricio Macri",0.275,0.414,0.16,0.586,0.202,0.12,0.198,0.267,0.332,0.18,0.252,0.274,0.017,0,0.49,0.59,0.347,0.218,0
"A Patricia Bullrich",0.273,0.362,0.199,0.108,0.251,0.319,0.504,0.168,0.406,0.229,0.487,0.076,0.492,0.175,0.307,0.221,0.31,0.268,0.13
"A Facundo Manes",0.06,0.012,0.101,0.227,0.012,0.005,0,0,0.011,0.282,0.03,0.154,0,0,0,0,0.219,0.002,0
"A Martín Lousteau",0.014,0.024,0.006,0,0.006,0.005,0.069,0.023,0,0.023,0.007,0.016,0,0,0.017,0.043,0,0.02,0
