"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.084,0.062,0.106,0.136,0.061,0.074,0.079,0.105,0.064,0.093,0.023,0.086,0.107,0.168,0.102,0.052,0.053,0.104,0.033,6
"Buena",0.054,0.058,0.051,0,0.057,0.082,0.092,0.075,0.045,0.035,0.031,0.081,0.042,0.071,0.013,0.042,0.076,0.024,0,6
"Ni buena ni mala",0.411,0.425,0.397,0.317,0.485,0.384,0.405,0.309,0.522,0.348,0.466,0.304,0.461,0.51,0.419,0.501,0.466,0.39,0.776,6
"Mala",0.075,0.104,0.045,0.091,0.071,0.09,0.034,0.058,0.077,0.102,0.069,0.094,0.05,0,0.068,0.119,0.055,0.11,0.033,6
"Muy mala",0.088,0.071,0.105,0.162,0.075,0.063,0.04,0.114,0.052,0.122,0.106,0.091,0.094,0.075,0.05,0.086,0.088,0.047,0.044,6
"No sabe",0.288,0.28,0.296,0.294,0.251,0.307,0.35,0.339,0.24,0.3,0.305,0.344,0.246,0.176,0.348,0.2,0.262,0.325,0.114,6
"Positiva",0.138,0.12,0.157,0.136,0.118,0.156,0.171,0.18,0.109,0.128,0.054,0.167,0.149,0.239,0.115,0.094,0.129,0.128,0.033,4
"Neutra",0.411,0.425,0.397,0.317,0.485,0.384,0.405,0.309,0.522,0.348,0.466,0.304,0.461,0.51,0.419,0.501,0.466,0.39,0.776,4
"Negativa",0.163,0.175,0.15,0.253,0.146,0.153,0.074,0.172,0.129,0.224,0.175,0.185,0.144,0.075,0.118,0.205,0.143,0.157,0.077,4
"No sabe",0.288,0.28,0.296,0.294,0.251,0.307,0.35,0.339,0.24,0.3,0.305,0.344,0.246,0.176,0.348,0.2,0.262,0.325,0.114,4
