"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Frente de Todos y el peronismo",0.347,0.332,0.361,0.197,0.348,0.409,0.433,0.337,0.343,0.372,0.334,0.414,0.355,0.164,0.374,0.291,0.593,0.118,0.022
"Cambiemos",0.266,0.261,0.271,0.343,0.205,0.302,0.267,0.301,0.243,0.253,0.344,0.24,0.267,0.162,0.377,0.244,0.13,0.527,0.172
"Liberales",0.188,0.221,0.156,0.284,0.217,0.12,0.099,0.141,0.234,0.174,0.231,0.199,0.09,0.259,0.102,0.215,0.123,0.217,0.518
"Izquierda",0.079,0.099,0.061,0.126,0.083,0.064,0.034,0.104,0.044,0.108,0.038,0.072,0.153,0.156,0.023,0.058,0.047,0.067,0.035
"No sabe",0.12,0.087,0.151,0.05,0.147,0.105,0.167,0.117,0.136,0.093,0.053,0.075,0.135,0.259,0.124,0.192,0.107,0.071,0.253
