"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.08,0.073,0.086,0.081,0.073,0.072,0.108,0.061,0.078,0.122,0.127,0.072,0.018,0.119,0.061,0.101,0.122,0.046,0,6
"Buena",0.179,0.174,0.185,0.196,0.172,0.139,0.242,0.176,0.171,0.206,0.141,0.193,0.293,0.146,0.156,0.115,0.203,0.164,0.061,6
"Ni buena ni mala",0.327,0.336,0.32,0.246,0.322,0.407,0.335,0.216,0.439,0.289,0.314,0.293,0.378,0.456,0.378,0.26,0.367,0.274,0.772,6
"Mala",0.237,0.237,0.236,0.315,0.224,0.229,0.163,0.319,0.175,0.216,0.204,0.268,0.187,0.149,0.161,0.341,0.182,0.318,0.076,6
"Muy mala",0.143,0.159,0.128,0.162,0.185,0.098,0.078,0.203,0.096,0.134,0.173,0.141,0.082,0.121,0.185,0.164,0.1,0.164,0.052,6
"No sabe",0.034,0.021,0.045,0,0.024,0.055,0.074,0.025,0.041,0.033,0.041,0.033,0.042,0.009,0.059,0.019,0.026,0.034,0.039,6
"Positiva",0.259,0.247,0.271,0.277,0.245,0.211,0.35,0.237,0.249,0.328,0.268,0.265,0.311,0.265,0.217,0.216,0.325,0.21,0.061,4
"Neutra",0.327,0.336,0.32,0.246,0.322,0.407,0.335,0.216,0.439,0.289,0.314,0.293,0.378,0.456,0.378,0.26,0.367,0.274,0.772,4
"Negativa",0.38,0.396,0.364,0.477,0.409,0.327,0.241,0.522,0.271,0.35,0.377,0.409,0.269,0.27,0.346,0.505,0.282,0.482,0.128,4
"No sabe",0.034,0.021,0.045,0,0.024,0.055,0.074,0.025,0.041,0.033,0.041,0.033,0.042,0.009,0.059,0.019,0.026,0.034,0.039,4
