"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.085,0.07,0.101,0.166,0.051,0.046,0.11,0.099,0.093,0.036,0.152,0.07,0.071,0,0.094,0.116,0.059,0.15,0,6
"Buena",0.08,0.088,0.071,0.023,0.065,0.141,0.114,0.064,0.084,0.103,0.085,0.071,0.114,0.044,0.088,0.077,0.053,0.139,0.025,6
"Ni buena ni mala",0.364,0.318,0.412,0.358,0.373,0.391,0.309,0.236,0.439,0.449,0.339,0.342,0.324,0.563,0.348,0.369,0.39,0.344,0.639,6
"Mala",0.115,0.104,0.126,0.131,0.096,0.125,0.125,0.088,0.133,0.127,0.142,0.095,0.077,0.162,0.137,0.13,0.139,0.08,0.094,6
"Muy mala",0.161,0.208,0.113,0.136,0.232,0.111,0.084,0.23,0.094,0.184,0.13,0.181,0.243,0.021,0.161,0.153,0.111,0.162,0.149,6
"No sabe",0.195,0.212,0.177,0.186,0.183,0.186,0.258,0.283,0.157,0.101,0.152,0.241,0.171,0.21,0.172,0.155,0.248,0.125,0.093,6
"Positiva",0.165,0.158,0.172,0.189,0.116,0.187,0.224,0.163,0.177,0.139,0.237,0.141,0.185,0.044,0.182,0.193,0.112,0.289,0.025,4
"Neutra",0.364,0.318,0.412,0.358,0.373,0.391,0.309,0.236,0.439,0.449,0.339,0.342,0.324,0.563,0.348,0.369,0.39,0.344,0.639,4
"Negativa",0.276,0.312,0.239,0.267,0.328,0.236,0.209,0.318,0.227,0.311,0.272,0.276,0.32,0.183,0.298,0.283,0.25,0.242,0.243,4
"No sabe",0.195,0.212,0.177,0.186,0.183,0.186,0.258,0.283,0.157,0.101,0.152,0.241,0.171,0.21,0.172,0.155,0.248,0.125,0.093,4
