"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P07","A Gustavo Menendez por el Frente de Todos",0.302,0.073,0.501,0.469,0.409,0.278,0.386,0.087,0.136
"P07","A David Zencich por Juntos por el Cambio",0.202,0.345,0.263,0.193,0.378,0.338,0.067,0.233,0.284
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.166,0.29,0.076,0.078,0.021,0.1,0,0.257,0.144
"P07","Al candidato de Javier Milei",0.172,0.256,0.049,0.065,0.019,0.093,0.18,0.166,0.223
"P07","A Cristian Franco por el Frente de Izquierda",0.056,0,0.036,0.034,0.064,0.108,0.161,0,0.075
"P07","A otro candidato",0.102,0.036,0.075,0.161,0.109,0.083,0.206,0.257,0.138
"P09","A Gustavo Menendez por el Frente de Todos",0.356,0.216,0.499,0.506,0.488,0.318,0.329,0.163,0.146
"P09","A David Zencich por Juntos por el Cambio",0.145,0.508,0.227,0.157,0.103,0.245,0.064,0.414,0.37
"P09","Al candidato de Javier Milei",0.432,0.224,0.165,0.127,0.128,0.136,0.283,0.186,0.239
"P09","A Cristian Franco por el Frente de Izquierda",0.043,0,0.064,0.049,0.02,0.095,0.167,0,0.053
"P09","A otro candidato",0.024,0.052,0.045,0.161,0.261,0.206,0.157,0.237,0.192
"P11","A Gustavo Menendez por el Frente de Todos",0.526,0.398,0.501,0.401,0.569,0.233,0.343,0.158,0.207
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.246,0.277,0.216,0.2,0.104,0.297,0.019,0.299,0.266
"P11","Al candidato de Javier Milei",0.043,0.284,0.119,0.16,0.122,0.165,0.341,0.201,0.278
"P11","A Cristian Franco por el Frente de Izquierda",0.043,0,0.05,0.049,0.042,0.102,0.241,0,0.08
"P11","A otro candidato",0.142,0.041,0.114,0.19,0.163,0.203,0.056,0.342,0.169
"P13","Muy buena",0.213,0.444,0.175,0.213,0.094,0.091,0.125,0,0.125
"P13","Buena",0.172,0.12,0.323,0.209,0.496,0.11,0.193,0.109,0.058
"P13","Ni buena ni mala",0.149,0.171,0.224,0.169,0.192,0.371,0.283,0.276,0.087
"P13","Mala",0.165,0.01,0.102,0.185,0.055,0.153,0.097,0.211,0.205
"P13","Muy mala",0.199,0.23,0.154,0.214,0.161,0.253,0.302,0.374,0.5
"P13","No sabe",0.102,0.025,0.022,0.01,0.002,0.022,0,0.03,0.025
"P14","Muy buena",0.104,0.399,0.106,0.153,0.029,0.097,0.098,0.047,0.167
"P14","Buena",0.073,0.224,0.131,0.165,0.15,0.04,0.024,0.158,0.138
"P14","Ni buena ni mala",0.145,0.366,0.392,0.232,0.292,0.512,0.376,0.44,0.305
"P14","Mala",0.123,0,0.178,0.231,0.139,0.003,0.107,0.104,0.134
"P14","Muy mala",0.356,0.011,0.04,0.119,0.218,0.198,0.171,0.113,0.117
"P14","No sabe",0.199,0,0.153,0.1,0.172,0.15,0.224,0.138,0.139
"P15","Muy buena",0.197,0.362,0.2,0.15,0.059,0.241,0.151,0.029,0.094
"P15","Buena",0,0.09,0.174,0.193,0.203,0.061,0.026,0,0.112
"P15","Ni buena ni mala",0.293,0.279,0.316,0.287,0.268,0.186,0.309,0.182,0.136
"P15","Mala",0.174,0.01,0.11,0.131,0.074,0.058,0.121,0.237,0.238
"P15","Muy mala",0.191,0.259,0.141,0.216,0.223,0.305,0.363,0.391,0.39
"P15","No sabe",0.145,0,0.059,0.023,0.173,0.149,0.03,0.161,0.03
"P16","Muy buena",0.063,0.387,0.054,0.064,0,0.062,0.098,0,0.062
"P16","Buena",0.033,0,0.113,0.098,0,0.084,0.013,0.125,0.111
"P16","Ni buena ni mala",0.323,0.375,0.417,0.463,0.274,0.363,0.181,0.418,0.298
"P16","Mala",0.173,0.179,0.176,0.115,0.23,0.009,0.174,0.104,0.113
"P16","Muy mala",0.173,0.047,0.137,0.13,0.211,0.129,0.321,0.159,0.208
"P16","No sabe",0.235,0.012,0.103,0.13,0.285,0.353,0.213,0.194,0.208
"P17","Muy buena",0.365,0.395,0.086,0.053,0.061,0.07,0.014,0.099,0.048
"P17","Buena",0.079,0.267,0.115,0.186,0.067,0.131,0.03,0.197,0.064
"P17","Ni buena ni mala",0.246,0.215,0.331,0.34,0.226,0.196,0.033,0.235,0.16
"P17","Mala",0,0.08,0.275,0.128,0.379,0.117,0.292,0.199,0.272
"P17","Muy mala",0.208,0.043,0.16,0.245,0.199,0.323,0.602,0.241,0.34
"P17","No sabe",0.102,0,0.033,0.048,0.068,0.163,0.029,0.029,0.116
"P18","Muy buena",0.201,0.549,0.068,0.09,0,0.124,0.141,0.155,0.12
"P18","Buena",0.044,0.119,0.062,0.094,0,0.008,0.046,0.093,0.067
"P18","Ni buena ni mala",0.229,0.258,0.567,0.465,0.35,0.253,0.089,0.341,0.321
"P18","Mala",0,0.067,0.129,0.13,0.193,0.038,0.231,0.075,0.1
"P18","Muy mala",0.37,0.007,0.057,0.093,0.207,0.109,0.117,0.099,0.119
"P18","No sabe",0.156,0,0.117,0.128,0.25,0.468,0.376,0.237,0.273
"P19","Muy buena",0.045,0.384,0.127,0.091,0.094,0.026,0.062,0,0.052
"P19","Buena",0.026,0.108,0.077,0.117,0.035,0.007,0.009,0.014,0.034
"P19","Ni buena ni mala",0.325,0.28,0.575,0.475,0.351,0.311,0.276,0.463,0.379
"P19","Mala",0.08,0.093,0.085,0.072,0.008,0.036,0.159,0.112,0.079
"P19","Muy mala",0.345,0.06,0.027,0.031,0.202,0.1,0.079,0.099,0.067
"P19","No sabe",0.179,0.075,0.109,0.214,0.31,0.52,0.415,0.312,0.389
"P20","Muy buena",0.052,0,0.054,0.067,0,0,0.039,0,0.003
"P20","Buena",0.026,0.479,0.013,0.006,0.029,0.023,0,0,0.006
"P20","Ni buena ni mala",0.362,0.332,0.595,0.48,0.353,0.238,0.406,0.526,0.389
"P20","Mala",0,0.043,0.07,0.099,0,0.01,0.124,0.102,0.118
"P20","Muy mala",0.362,0,0.027,0.029,0.198,0.086,0.008,0.175,0.061
"P20","No sabe",0.198,0.146,0.241,0.319,0.42,0.643,0.423,0.197,0.423
"P22","La seguridad",0.757,0.779,0.403,0.473,0.279,0.435,0.484,0.536,0.412
"P22","El tránsito",0.026,0.04,0.055,0.073,0.06,0.016,0.016,0.013,0.008
"P22","El arreglo de las calles",0.138,0.099,0.223,0.156,0.327,0.169,0.243,0.143,0.164
"P22","Los parques y espacios públicos",0,0,0.062,0.044,0.05,0,0,0,0.002
"P22","El sistema de salud",0.053,0.052,0.129,0.075,0.254,0.238,0.018,0.281,0.106
"P22","La limpieza de las calles",0,0.03,0.032,0.091,0,0.089,0.009,0.027,0.054
"P22","El deporte y la cultura",0,0,0,0.008,0,0,0.23,0,0
"P22","La luminaria",0,0,0.04,0,0,0.027,0,0,0.039
"P22","No sabe",0.026,0,0.056,0.08,0.03,0.026,0,0,0.215
"P23","Agua corriente y cloacas",0.787,0.222,0.348,0.63,0.543,0.669,0.446,0.553,0.608
"P23","Energía eléctrica",0,0.355,0.116,0.035,0,0.054,0.076,0.042,0.122
"P23","Red de gas natural",0.083,0.256,0.198,0.129,0.135,0.113,0.187,0.037,0.049
"P23","Recolección de residuos",0.089,0,0.178,0.063,0.125,0.072,0.071,0.047,0.109
"P23","Ninguno",0.041,0.167,0.16,0.143,0.197,0.092,0.22,0.321,0.112
"P24","Los robos",0.52,0.156,0.561,0.561,0.335,0.536,0.611,0.679,0.432
"P24","El narcotráfico",0.121,0.344,0.175,0.113,0.142,0.167,0.059,0.157,0.138
"P24","La ausencia de patrulleros y personal policial",0.303,0.271,0.197,0.222,0.515,0.263,0.292,0.062,0.222
"P24","Otro",0.046,0.229,0.039,0.093,0,0.003,0.038,0.102,0.119
"P24","Ninguno",0.01,0,0.028,0.011,0.008,0.031,0,0,0.089
"P25","Muy buena",0.399,0.19,0.204,0.105,0.152,0.144,0.253,0.017,0.058
"P25","Buena",0.015,0.315,0.211,0.275,0.295,0.137,0.128,0.01,0.064
"P25","Ni buena ni mala",0.135,0.037,0.317,0.286,0.334,0.231,0.267,0.532,0.234
"P25","Mala",0.282,0.305,0.175,0.102,0.163,0.133,0.06,0.397,0.305
"P25","Muy mala",0.153,0.153,0.05,0.121,0.056,0.058,0.153,0.032,0.293
"P25","No sabe",0.016,0,0.043,0.111,0,0.297,0.139,0.012,0.046
"P26","Muy buena",0.244,0.007,0.091,0.143,0.02,0.084,0.126,0,0.016
"P26","Buena",0.13,0.505,0.235,0.166,0.329,0.254,0.204,0.038,0.056
"P26","Ni buena ni mala",0.249,0.304,0.423,0.465,0.321,0.266,0.261,0.449,0.194
"P26","Mala",0.322,0.066,0.107,0.067,0.215,0.299,0.211,0.407,0.443
"P26","Muy mala",0.011,0.118,0.136,0.124,0.108,0.02,0.066,0.094,0.265
"P26","No sabe",0.044,0,0.008,0.035,0.007,0.077,0.132,0.012,0.026
"P27","Frente de Todos y el peronismo",0.207,0.136,0.459,0.465,0.654,0.293,0.563,0.173,0.176
"P27","Cambiemos",0.361,0.714,0.199,0.264,0.148,0.118,0.199,0.401,0.301
"P27","Liberales",0.028,0.1,0.272,0.087,0.028,0.282,0.098,0.138,0.263
"P27","Izquierda",0,0,0.021,0.061,0,0.19,0.095,0.133,0.125
"P27","No sabe",0.404,0.05,0.049,0.123,0.17,0.117,0.045,0.155,0.135
"P29","A Alberto Fernández",0,0.097,0.122,0.25,0.014,0,0.39,0,0.594
"P29","A Sergio Massa",0.938,0.903,0.123,0.238,0.043,0.129,0.026,0.2,0.057
"P29","A algún candidato del peronismo",0.031,0,0.064,0.461,0.336,0.088,0.051,0,0.238
"P29","A algún candidato del kirchnerismo",0.031,0,0.691,0.051,0.607,0.783,0.533,0.8,0.111
"P30","A Alberto Fernández",0,0.1,0.118,0.434,0.028,0,0.4,0,0.444
"P30","A Sergio Massa",0.925,0.9,0.105,0.172,0.483,0.069,0.013,0,0.051
"P30","A algún candidato del peronismo",0,0,0.019,0.283,0.328,0,0.027,0,0.239
"P30","A Cristina Fernández de Kirchner",0.075,0,0.758,0.111,0.161,0.931,0.56,1,0.266
"P31","A Horacio Rodriguez Larreta",0.427,0.282,0.421,0.322,0.697,0.108,0.793,0.352,0.384
"P31","A Mauricio Macri",0.323,0.294,0.363,0.417,0.303,0.386,0.09,0,0.142
"P31","A Patricia Bullrich",0.25,0.223,0.216,0.261,0,0.426,0.023,0.546,0.347
"P31","A Facundo Manes",0,0.201,0,0,0,0.08,0,0,0.11
"P31","A Martín Lousteau",0,0,0,0,0,0,0.094,0.102,0.017
"P32","Seguro lo votaria",0.08,0.484,0.184,0.491,0.734,0.229,0.716,0.034,0.096
