"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.322,0.354,0.289,0.339,0.294,0.399,0.243,0.306,0.326,0.329,0.126,0.459,0,0.158,0.522,0,0,0,6
"Buena",0.117,0.097,0.138,0.119,0.136,0.069,0.139,0.12,0.115,0.119,0.122,0.165,0.031,0.042,0.211,0,0,0,6
"Ni buena ni mala",0.23,0.253,0.206,0.247,0.185,0.227,0.338,0.289,0.278,0.111,0.234,0.234,0.055,0.139,0.14,0,0,0,6
"Mala",0.165,0.151,0.179,0.158,0.199,0.108,0.168,0.173,0.192,0.119,0.176,0.092,0.675,0.314,0.047,0,0,0,6
"Muy mala",0.165,0.145,0.186,0.137,0.186,0.197,0.104,0.112,0.089,0.319,0.342,0.05,0.239,0.347,0.08,0,0,0,6
"No sabe",0.001,0,0.002,0,0,0,0.008,0,0,0.003,0,0,0,0,0,0,0,0,6
"Positiva",0.439,0.451,0.427,0.458,0.43,0.468,0.382,0.426,0.441,0.448,0.248,0.624,0.031,0.2,0.733,0,0,0,4
"Neutra",0.23,0.253,0.206,0.247,0.185,0.227,0.338,0.289,0.278,0.111,0.234,0.234,0.055,0.139,0.14,0,0,0,4
"Negativa",0.33,0.296,0.365,0.295,0.385,0.305,0.272,0.285,0.281,0.438,0.518,0.142,0.914,0.661,0.127,0,0,0,4
"No sabe",0.001,0,0.002,0,0,0,0.008,0,0,0.003,0,0,0,0,0,0,0,0,4
