"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Peor",0.48,0.413,0.546,0.605,0.371,0.483,0.564,0.525,0.483,0.441,0.471,0.451,0.888,0.778,0.329,0,0,0
"Igual",0.243,0.292,0.195,0.128,0.316,0.293,0.169,0.256,0.152,0.353,0.339,0.194,0.112,0.077,0.267,0,0,0
"Mejor",0.206,0.255,0.158,0.243,0.206,0.15,0.22,0.219,0.277,0.099,0.096,0.292,0,0.119,0.303,0,0,0
"No sabe",0.071,0.04,0.101,0.024,0.107,0.074,0.047,0,0.088,0.107,0.094,0.063,0,0.026,0.101,0,0,0
