"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Si",0.604,0.659,0.548,0.499,0.649,0.719,0.492,0.38,0.628,0.751,0.501,0.652,0.794,0.514,0.727,0,0,0
"No",0.396,0.341,0.452,0.501,0.351,0.281,0.508,0.62,0.372,0.249,0.499,0.348,0.206,0.486,0.273,0,0,0
