"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.356,0.353,0.358,0.412,0.383,0.28,0.274,0.295,0.385,0.365,0.106,0.557,0.031,0.18,0.555,0,0,0,6
"Buena",0.205,0.231,0.181,0.233,0.191,0.149,0.29,0.235,0.259,0.111,0.277,0.181,0,0.11,0.243,0,0,0,6
"Ni buena ni mala",0.137,0.151,0.123,0,0.171,0.257,0.111,0.233,0.098,0.11,0.197,0.142,0,0.122,0.097,0,0,0,6
"Mala",0.141,0.111,0.171,0.056,0.157,0.196,0.182,0.183,0.064,0.21,0.205,0.028,0.151,0.308,0.017,0,0,0,6
"Muy mala",0.122,0.154,0.091,0.205,0.098,0.118,0.031,0,0.135,0.204,0.167,0.041,0.818,0.198,0.088,0,0,0,6
"No sabe",0.039,0,0.076,0.094,0,0,0.112,0.054,0.059,0,0.048,0.051,0,0.082,0,0,0,0,6
"Positiva",0.561,0.584,0.539,0.645,0.574,0.429,0.564,0.53,0.644,0.476,0.383,0.738,0.031,0.29,0.798,0,0,0,4
"Neutra",0.137,0.151,0.123,0,0.171,0.257,0.111,0.233,0.098,0.11,0.197,0.142,0,0.122,0.097,0,0,0,4
"Negativa",0.263,0.265,0.262,0.261,0.255,0.314,0.213,0.183,0.199,0.414,0.372,0.069,0.969,0.506,0.105,0,0,0,4
"No sabe",0.039,0,0.076,0.094,0,0,0.112,0.054,0.059,0,0.048,0.051,0,0.082,0,0,0,0,4
