"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.25,0.193,0.304,0.262,0.197,0.339,0.24,0.311,0.182,0.289,0.264,0.349,0,0.11,0.395,0,0,0,6
"Buena",0.181,0.194,0.167,0.229,0.141,0.176,0.211,0.039,0.249,0.205,0.118,0.249,0.652,0.178,0.231,0,0,0,6
"Ni buena ni mala",0.194,0.209,0.18,0.276,0.188,0.122,0.165,0.128,0.256,0.167,0.191,0.159,0.031,0.161,0.148,0,0,0,6
"Mala",0.221,0.212,0.23,0.028,0.386,0.129,0.257,0.287,0.176,0.226,0.357,0.14,0.264,0.245,0.151,0,0,0,6
"Muy mala",0.116,0.165,0.07,0.111,0.054,0.234,0.127,0.183,0.078,0.113,0.07,0.052,0.053,0.179,0.075,0,0,0,6
"No sabe",0.038,0.027,0.049,0.094,0.034,0,0,0.052,0.059,0,0,0.051,0,0.127,0,0,0,0,6
"Positiva",0.431,0.387,0.471,0.491,0.338,0.515,0.451,0.35,0.431,0.494,0.382,0.598,0.652,0.288,0.626,0,0,0,4
"Neutra",0.194,0.209,0.18,0.276,0.188,0.122,0.165,0.128,0.256,0.167,0.191,0.159,0.031,0.161,0.148,0,0,0,4
"Negativa",0.337,0.377,0.3,0.139,0.44,0.363,0.384,0.47,0.254,0.339,0.427,0.192,0.317,0.424,0.226,0,0,0,4
"No sabe",0.038,0.027,0.049,0.094,0.034,0,0,0.052,0.059,0,0,0.051,0,0.127,0,0,0,0,4
