"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.14,0.051,0.226,0.205,0.061,0.136,0.261,0.107,0.118,0.196,0.3,0.058,0.348,0.416,0.012,0,0,0,6
"Buena",0.06,0.061,0.059,0,0.091,0.047,0.112,0.106,0.021,0.074,0.149,0.03,0.031,0.123,0.017,0,0,0,6
"Ni buena ni mala",0.189,0.282,0.1,0.208,0.17,0.279,0.058,0.257,0.205,0.113,0.194,0.194,0.621,0.18,0.131,0,0,0,6
"Mala",0.137,0.106,0.167,0.011,0.228,0.082,0.207,0.091,0.213,0.075,0.182,0.147,0,0.151,0.119,0,0,0,6
"Muy mala",0.474,0.5,0.448,0.576,0.45,0.456,0.362,0.439,0.443,0.542,0.175,0.571,0,0.13,0.721,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.2,0.112,0.285,0.205,0.152,0.183,0.373,0.213,0.139,0.27,0.449,0.088,0.379,0.539,0.029,0,0,0,4
"Neutra",0.189,0.282,0.1,0.208,0.17,0.279,0.058,0.257,0.205,0.113,0.194,0.194,0.621,0.18,0.131,0,0,0,4
"Negativa",0.611,0.606,0.615,0.587,0.678,0.538,0.569,0.53,0.656,0.617,0.357,0.718,0,0.281,0.84,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
