"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.067,0.028,0.106,0,0.038,0.117,0.223,0.107,0.042,0.07,0.206,0.005,0.031,0.137,0.037,0,0,0,6
"Buena",0.097,0.074,0.12,0.111,0.109,0.068,0.08,0,0.152,0.104,0.123,0.044,0.854,0.159,0.057,0,0,0,6
"Ni buena ni mala",0.36,0.369,0.35,0.46,0.367,0.326,0.179,0.491,0.401,0.199,0.448,0.365,0.031,0.331,0.356,0,0,0,6
"Mala",0.169,0.212,0.127,0.136,0.198,0.122,0.223,0.219,0.144,0.16,0.17,0.219,0.084,0.154,0.216,0,0,0,6
"Muy mala",0.25,0.257,0.243,0.116,0.263,0.367,0.295,0.183,0.15,0.436,0.044,0.316,0,0.128,0.291,0,0,0,6
"No sabe",0.057,0.06,0.054,0.177,0.025,0,0,0,0.111,0.031,0.009,0.051,0,0.091,0.043,0,0,0,6
"Positiva",0.164,0.102,0.226,0.111,0.147,0.185,0.303,0.107,0.194,0.174,0.329,0.049,0.885,0.296,0.094,0,0,0,4
"Neutra",0.36,0.369,0.35,0.46,0.367,0.326,0.179,0.491,0.401,0.199,0.448,0.365,0.031,0.331,0.356,0,0,0,4
"Negativa",0.419,0.469,0.37,0.252,0.461,0.489,0.518,0.402,0.294,0.596,0.214,0.535,0.084,0.282,0.507,0,0,0,4
"No sabe",0.057,0.06,0.054,0.177,0.025,0,0,0,0.111,0.031,0.009,0.051,0,0.091,0.043,0,0,0,4
