"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.021,0.003,0.038,0,0,0.079,0.03,0.051,0.014,0.004,0.069,0.001,0,0.069,0,0,0,0,6
"Buena",0.169,0.123,0.213,0.255,0.1,0.08,0.358,0.238,0.204,0.064,0.323,0.088,0,0.122,0.218,0,0,0,6
"Ni buena ni mala",0.325,0.339,0.312,0.498,0.326,0.18,0.203,0,0.477,0.392,0.337,0.297,0.774,0.296,0.291,0,0,0,6
"Mala",0.335,0.375,0.296,0.247,0.403,0.37,0.246,0.476,0.251,0.331,0.23,0.417,0.226,0.324,0.34,0,0,0,6
"Muy mala",0.126,0.125,0.128,0,0.137,0.259,0.134,0.183,0.031,0.206,0.028,0.155,0,0.143,0.132,0,0,0,6
"No sabe",0.024,0.035,0.013,0,0.034,0.032,0.029,0.052,0.023,0.003,0.013,0.042,0,0.046,0.019,0,0,0,6
"Positiva",0.19,0.126,0.251,0.255,0.1,0.159,0.388,0.289,0.218,0.068,0.392,0.089,0,0.191,0.218,0,0,0,4
"Neutra",0.325,0.339,0.312,0.498,0.326,0.18,0.203,0,0.477,0.392,0.337,0.297,0.774,0.296,0.291,0,0,0,4
"Negativa",0.461,0.5,0.424,0.247,0.54,0.629,0.38,0.659,0.282,0.537,0.258,0.572,0.226,0.467,0.472,0,0,0,4
"No sabe",0.024,0.035,0.013,0,0.034,0.032,0.029,0.052,0.023,0.003,0.013,0.042,0,0.046,0.019,0,0,0,4
