"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Al Frente de todos",0.312,0.311,0.312,0.366,0.269,0.32,0.327,0.351,0.321,0.253,0.688,0.105,0.348
"A Juntos",0.484,0.418,0.542,0.338,0.5,0.519,0.636,0.349,0.506,0.612,0.26,0.781,0.531
"Al Frente de Izquierda",0.032,0.051,0.015,0.11,0.01,0.007,0,0.041,0.033,0.019,0.003,0,0
"Al Partido Avanza libertad",0.09,0.129,0.057,0.178,0.046,0.126,0.007,0.116,0.086,0.068,0.023,0.114,0.027
"A “Vamos con vos""",0.025,0.006,0.042,0,0.058,0.009,0,0.064,0.005,0.006,0.009,0,0.035
"Votaría en blanco o anularía",0.057,0.085,0.032,0.008,0.117,0.019,0.03,0.079,0.049,0.042,0.017,0,0.059
