"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Al Frente de todos",0.319,0.306,0.33,0.382,0.279,0.316,0.314,0.367,0.324,0.248,0.698,0.091,0.308
"A Juntos",0.432,0.376,0.485,0.31,0.46,0.472,0.5,0.272,0.48,0.572,0.21,0.714,0.575
"Al Frente de Izquierda",0.027,0.042,0.013,0.085,0.013,0.006,0,0.032,0.026,0.022,0.005,0.003,0
"Al Partido Avanza libertad",0.094,0.138,0.052,0.203,0.051,0.109,0.005,0.122,0.086,0.068,0.016,0.148,0.021
"A “Vamos con vos""",0.021,0.006,0.035,0,0.053,0.008,0,0.05,0.004,0.007,0.006,0,0.027
"Votaría en blanco o anularía",0.107,0.132,0.085,0.02,0.144,0.089,0.181,0.157,0.08,0.083,0.065,0.044,0.069
