"var","categoria","A Tolosa Paz por el Frente de todos","A Santilli y Manes por Juntos","A Del Caño por el Frente de Izquierda","A Espert por Avanza libertad","A Randazo por “Vamos con vos""","A Hotton por “+Valores”","Votaría en blanco o anularía"
"P08","Si",0.848,0.914,0.745,0.965,0.622,0.257,0.433
"P08","Puede ser",0.123,0.069,0.128,0.035,0.378,0,0.201
"P08","No",0.029,0.017,0.127,0,0,0.743,0.366
"P34","Gran excedente habitual",0.033,0.003,0,0,0,0,0
"P34","Gran excedente excepcional",0.003,0,0,0,0,0,0
"P34","Pequeño excedente habitual",0.044,0.059,0.066,0.045,0,0,0.048
"P34","Pequeño excedente excepcional",0.058,0.019,0,0.107,0,0,0.012
"P34","Alcanza gastos familia",0.126,0.098,0,0.197,0.12,0,0.091
"P34","No alcanza gastos familia",0.158,0.194,0,0.156,0.26,0,0.253
"P34","Solo NBFamiliares",0.249,0.353,0.37,0.073,0.037,0.735,0.274
"P34","No alcanza NBFamiliares",0.269,0.24,0.564,0.422,0.541,0.265,0.295
"P34","No sabe",0.06,0.034,0,0,0.042,0,0.027
"P35","Muy buena",0.126,0.038,0,0,0,0.737,0
"P35","Buena",0.127,0.105,0,0.163,0,0,0.037
"P35","Ni buena ni mala",0.351,0.432,0.215,0.437,0.297,0,0.311
"P35","Mala",0.229,0.325,0.49,0.224,0.499,0.263,0.186
"P35","Muy mala",0.111,0.097,0.295,0.176,0.042,0,0.447
"P35","No sabe",0.056,0.003,0,0,0.162,0,0.019
"P36","Mejor",0.292,0.021,0.155,0,0.176,0,0.068
"P36","Igual",0.377,0.204,0.183,0.216,0.365,0.736,0.386
"P36","Peor",0.286,0.747,0.603,0.75,0.459,0.264,0.434
"P36","No sabe",0.045,0.028,0.059,0.034,0,0,0.112
"P37","Mejor",0.378,0.018,0.153,0.012,0.119,0,0.091
"P37","Igual",0.264,0.224,0.208,0.111,0,0,0.249
"P37","Peor",0.147,0.657,0.571,0.831,0.881,1,0.384
"P37","No sabe",0.211,0.101,0.068,0.046,0,0,0.276
"P46","Muy buena",0.47,0,0,0,0.211,0,0.162
"P46","Buena",0.266,0.016,0,0,0.381,0,0.187
"P46","Ni buena ni mala",0.148,0.098,0,0.105,0.058,0,0.305
"P46","Mala",0.073,0.232,0.144,0.134,0.196,0.265,0
"P46","Muy mala",0.014,0.649,0.856,0.753,0.154,0.735,0.316
"P46","No sabe",0.029,0.005,0,0.008,0,0,0.03
"P47","Muy buena",0.654,0.052,0.076,0,0.164,0.737,0.173
"P47","Buena",0.102,0.005,0.126,0.007,0.36,0,0
"P47","Ni buena ni mala",0.163,0.046,0.09,0.008,0.198,0,0.311
"P47","Mala",0.044,0.184,0.535,0.192,0.057,0,0.055
"P47","Muy mala",0.009,0.677,0.173,0.793,0.221,0.263,0.461
"P47","No sabe",0.028,0.036,0,0,0,0,0
"P48","Muy buena",0.003,0.159,0.109,0.017,0,0,0
"P48","Buena",0.008,0.318,0,0.075,0.393,0.726,0
"P48","Ni buena ni mala",0.027,0.309,0,0.58,0.072,0,0.179
"P48","Mala",0.199,0.138,0,0.192,0,0.274,0.035
"P48","Muy mala",0.757,0.076,0.891,0.095,0.535,0,0.639
"P48","No sabe",0.006,0,0,0.041,0,0,0.147
"P49","Muy buena",0.049,0.491,0,0.018,0,0.734,0.225
"P49","Buena",0.067,0.311,0.212,0.369,0.474,0.266,0
"P49","Ni buena ni mala",0.271,0.156,0.088,0.308,0.36,0,0.355
"P49","Mala",0.183,0.042,0.208,0.102,0,0,0
"P49","Muy mala",0.424,0,0.492,0.203,0.166,0,0.148
"P49","No sabe",0.006,0,0,0,0,0,0.272
"P50","Muy buena",0.209,0.003,0,0.009,0,0,0
"P50","Buena",0.28,0.009,0.081,0.009,0.505,0.714,0.153
"P50","Ni buena ni mala",0.272,0.141,0,0.071,0.261,0,0.044
"P50","Mala",0.161,0.194,0.306,0.182,0,0,0.187
"P50","Muy mala",0.055,0.622,0.613,0.729,0.234,0.286,0.343
"P50","No sabe",0.023,0.031,0,0,0,0,0.273
"P59","Muy buena",0.042,0.162,0,0.017,0.06,0,0
"P59","Buena",0.06,0.31,0.089,0.167,0.06,1,0
"P59","Ni buena ni mala",0.264,0.384,0.089,0.223,0.522,0,0.351
"P59","Mala",0.297,0.074,0.131,0.083,0.203,0,0.143
"P59","Muy mala",0.257,0.026,0.691,0.314,0.155,0,0.309
"P59","No sabe",0.08,0.044,0,0.196,0,0,0.197
"P61","Muy buena",0.055,0.122,0,0,0,0,0
"P61","Buena",0.039,0.227,0,0.094,0.224,0.721,0
"P61","Ni buena ni mala",0.273,0.28,0.5,0.46,0.057,0,0.268
"P61","Mala",0.154,0.112,0,0.107,0.213,0,0
"P61","Muy mala",0.219,0.054,0.387,0.104,0.506,0,0.251
"P61","No sabe",0.26,0.205,0.113,0.235,0,0.279,0.481
