"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.478,0.429,0.192,0.136
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.376,0.201,0.168,0.012
"P06","En blanco",0.124,0.311,0.535,0.196
"P06","Aun no tengo decidido mi voto",0.022,0.059,0.105,0.656
"P09","Tiene Decidido que va a ir a votar",0.931,0.786,0.808,0.348
"P09","Tiene dudas sobre si va a ir a  votar",0.034,0.073,0.043,0.392
"P09","Tiene Decidido que no va a ir a votar",0.035,0.141,0.149,0.26
"P10","Lo votaría",0.496,0.405,0.316,0.105
"P10","Puede que lo vote",0.073,0.19,0.121,0.154
"P10","Nunca lo votaría",0.406,0.258,0.393,0.293
"P10","No sabe",0.025,0.147,0.17,0.448
"P11","Lo votaría",0.363,0.207,0.265,0
"P11","Puede que lo vote",0.08,0.066,0.203,0.178
"P11","Nunca lo votaría",0.535,0.522,0.2,0.41
"P11","No sabe",0.022,0.205,0.332,0.412
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.167,0.529,0.578,0.479
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.833,0.471,0.422,0.521
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0,0.5,0.429,0.001
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0,0,0.166,0.007
"P14","En blanco",1,0.5,0.405,0.992
