"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Totalmente seguro",0.594,0.585,0.604,0.645,0.619,0.563,0.477,0.5,0.673,0.616,0.578,0.575,0.635,0.612
"Bastante seguro",0.11,0.105,0.114,0.079,0.113,0.163,0.09,0.12,0.08,0.14,0.107,0.178,0.084,0.075
"Algo seguro",0.109,0.14,0.08,0.133,0.132,0.055,0.081,0.128,0.094,0.104,0.118,0.088,0.265,0.091
"Para nada seguro",0.187,0.17,0.202,0.143,0.136,0.219,0.352,0.252,0.153,0.14,0.197,0.159,0.016,0.222
