"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.439,0.068,0.142
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.325,0.044,0.115
"P06","En blanco",0.199,0.166,0.234
"P06","Aun no tengo decidido mi voto",0.037,0.722,0.509
"P08","Totalmente seguro",0.705,0.192,0.205
"P08","Bastante seguro",0.098,0.067,0.138
"P08","Algo seguro",0.113,0.044,0.164
"P08","Para nada seguro",0.084,0.697,0.493
"P10","Lo votaría",0.481,0.006,0.102
"P10","Puede que lo vote",0.086,0.298,0.052
"P10","Nunca lo votaría",0.367,0.162,0.605
"P10","No sabe",0.066,0.534,0.241
"P11","Lo votaría",0.312,0.063,0.106
"P11","Puede que lo vote",0.091,0.308,0.056
"P11","Nunca lo votaría",0.486,0.267,0.596
"P11","No sabe",0.111,0.362,0.242
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.336,0.208,0.817
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.664,0.792,0.183
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.093,0.003,0.085
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.057,0,0
"P14","En blanco",0.85,0.997,0.915
