"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Tiene Decidido que va a ir a votar",0.792,0.789,0.795,0.88,0.813,0.787,0.573,0.686,0.875,0.823,0.82,0.829,0.773,0.752
"Tiene dudas sobre si va a ir a  votar",0.107,0.109,0.106,0.1,0.116,0.103,0.106,0.172,0.065,0.075,0.125,0.121,0.056,0.093
"Tiene Decidido que no va a ir a votar",0.101,0.102,0.099,0.02,0.071,0.11,0.321,0.142,0.06,0.102,0.055,0.05,0.171,0.155
