"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.303,0.604,0.497,0.894,0.358,0.432,0.774,0.211,0.146
"P07","Al candidato de Juntos por el Cambio",0.286,0.289,0.273,0.053,0.179,0.25,0,0.405,0.458
"P07","Al candidato de los liberales - libertarios",0.208,0.059,0.003,0,0.338,0.09,0.016,0.126,0.146
"P07","Al candidato de la Izquierda",0.04,0.019,0,0,0.005,0.117,0.076,0.147,0.037
"P07","A otro candidato",0.086,0.021,0.022,0.013,0,0.039,0.12,0.049,0.063
"P07","No sabe",0.077,0.008,0.205,0.04,0.12,0.072,0.014,0.062,0.15
"P08","A Julio Zamora por el Frente de Todos",0.289,0.633,0.549,0.59,0.255,0.353,0.718,0.154,0.118
"P08","A Malena Galmarini por el Frente de Todos",0.113,0.131,0.04,0.322,0.097,0.146,0.035,0.049,0.167
"P08","A Segundo Cernadas por Cambiemos",0.219,0.126,0.135,0.054,0.214,0.246,0.05,0.307,0.245
"P08","A Nicolás Massot por Cambiemos",0.072,0.013,0.089,0.008,0.046,0.025,0.064,0.196,0.133
"P08","Al candidato de los liberales libertarios",0.234,0.063,0.016,0,0.295,0.192,0,0.072,0.138
"P08","A Paula Akerfeld por el Frente de Izquierda",0.046,0.034,0.132,0.023,0.005,0.033,0.076,0.032,0.035
"P08","No sabe",0.027,0,0.039,0.003,0.088,0.005,0.057,0.19,0.164
"P10","A Julio Zamora por el Frente de Todos",0.367,0.529,0.568,0.604,0.337,0.453,0.653,0.238,0.144
"P10","A Segundo Cernadas por Cambiemos",0.21,0.23,0.123,0.332,0.246,0.145,0.064,0.275,0.364
"P10","Al candidato de los liberales libertarios",0.192,0.119,0.126,0.017,0.295,0.241,0.121,0.241,0.202
"P10","A Paula Akerfeld por el Frente de Izquierda",0.051,0.033,0.031,0,0.005,0.038,0.076,0.003,0.049
"P10","No sabe",0.18,0.089,0.152,0.047,0.117,0.123,0.086,0.243,0.241
"P12","A Malena Galmarini por el Frente de Todos",0.288,0.53,0.393,0.338,0.279,0.387,0.498,0.178,0.248
"P12","A Segundo Cernadas por Cambiemos",0.299,0.29,0.243,0.358,0.284,0.206,0.064,0.458,0.373
"P12","Al candidato de los liberales libertarios",0.196,0.091,0.042,0.008,0.295,0.138,0,0.189,0.162
"P12","A Paula Akerfeld por el Frente de Izquierda",0.022,0.073,0.041,0,0.041,0.134,0.1,0.038,0.043
"P12","No sabe",0.195,0.016,0.281,0.296,0.101,0.135,0.338,0.137,0.174
"P14","Muy buena",0.162,0.332,0.125,0.057,0.129,0.138,0.163,0.067,0.072
"P14","Buena",0.152,0.135,0.138,0.252,0.133,0.168,0.326,0.117,0.138
"P14","Ni buena ni mala",0.135,0.082,0.346,0.117,0.149,0.344,0.171,0.214,0.16
"P14","Mala",0.13,0.169,0.061,0.011,0.094,0.149,0.192,0.161,0.115
"P14","Muy mala",0.374,0.231,0.215,0.404,0.28,0.129,0.114,0.417,0.442
"P14","No sabe",0.047,0.051,0.115,0.159,0.215,0.072,0.034,0.024,0.073
"P15","Muy buena",0.317,0.198,0.414,0.332,0.38,0.102,0.295,0.081,0.046
"P15","Buena",0.191,0.469,0.185,0.303,0.088,0.337,0.244,0.209,0.124
"P15","Ni buena ni mala",0.186,0.164,0.218,0.299,0.057,0.246,0.385,0.331,0.314
"P15","Mala",0.182,0.037,0.023,0.048,0.099,0.194,0,0.248,0.196
"P15","Muy mala",0.119,0.1,0.084,0.018,0.345,0.102,0.076,0.115,0.301
"P15","No sabe",0.005,0.032,0.076,0,0.031,0.019,0,0.016,0.019
"P16","Muy buena",0.151,0.163,0.099,0.018,0.128,0.113,0.056,0.289,0.165
"P16","Buena",0.218,0.135,0.083,0.063,0.085,0.072,0.016,0.239,0.177
"P16","Ni buena ni mala",0.277,0.359,0.42,0.315,0.131,0.34,0.282,0.285,0.324
"P16","Mala",0.116,0.006,0.087,0.039,0.198,0.297,0.16,0.067,0.063
"P16","Muy mala",0.128,0.266,0.113,0.464,0.202,0.063,0.387,0.018,0.169
"P16","No sabe",0.11,0.071,0.198,0.101,0.256,0.115,0.099,0.102,0.102
"P17","Muy buena",0.133,0.23,0.053,0,0.029,0.001,0,0.119,0.015
"P17","Buena",0.024,0.038,0.152,0.023,0.02,0.052,0,0.03,0.055
"P17","Ni buena ni mala",0.332,0.33,0.431,0.297,0.37,0.436,0.353,0.189,0.23
"P17","Mala",0.125,0.077,0.005,0,0.026,0.079,0.105,0.023,0.119
"P17","Muy mala",0.02,0.116,0.093,0.281,0.189,0.006,0.019,0.055,0.082
"P17","No sabe",0.366,0.209,0.266,0.399,0.366,0.426,0.523,0.584,0.499
"P18","Muy buena",0.156,0.215,0.012,0,0.042,0.027,0,0.13,0.127
"P18","Buena",0.075,0.01,0.122,0.174,0.017,0.084,0.154,0.134,0.104
"P18","Ni buena ni mala",0.412,0.442,0.595,0.297,0.461,0.434,0.322,0.284,0.242
"P18","Mala",0.104,0.015,0.096,0.039,0.148,0.119,0.049,0.065,0.082
"P18","Muy mala",0.073,0.189,0.107,0.347,0.176,0.056,0.238,0.11,0.171
"P18","No sabe",0.18,0.129,0.068,0.143,0.156,0.28,0.237,0.277,0.274
"P19","Muy buena",0.222,0.431,0.409,0.33,0.304,0.166,0.29,0.023,0.059
"P19","Buena",0.235,0.247,0.298,0.558,0.138,0.226,0.459,0.098,0.081
"P19","Ni buena ni mala",0.16,0.22,0.115,0.044,0.11,0.41,0.111,0.472,0.276
"P19","Mala",0.213,0.061,0.061,0.03,0.105,0.141,0.121,0.364,0.205
"P19","Muy mala",0.166,0.024,0.071,0.018,0.302,0.057,0.019,0.043,0.246
"P19","No sabe",0.004,0.017,0.046,0.02,0.041,0,0,0,0.133
"P20","Que continúe el intendente Julio Zamora",0.197,0.315,0.423,0.323,0.246,0.057,0.142,0.141,0.074
"P20","Que continúe Julio Zamora pero con mejoras",0.244,0.396,0.284,0.572,0.126,0.469,0.55,0.184,0.19
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.189,0.084,0.121,0.049,0.078,0.112,0.232,0.179,0.145
"P20","Que cambie el intendente Julio Zamora",0.37,0.205,0.172,0.056,0.55,0.362,0.076,0.496,0.591
"P21","Es kirchnerista",0.183,0.123,0.127,0.28,0.311,0.044,0.015,0.12,0.129
