"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Son lo mismo, ambos son de Massa",0.253,0.293,0.217,0.286,0.245,0.261,0.212,0.246,0.24,0.285,0.231,0.318,0.251,0.162,0.318,0.328
"Son aliados en el Frente de Todos pero compiten",0.358,0.296,0.415,0.361,0.349,0.377,0.348,0.305,0.414,0.334,0.383,0.373,0.327,0.444,0.296,0.112
"Son enemigos porque Zamora traicionó a Massa",0.164,0.199,0.13,0.164,0.142,0.169,0.217,0.153,0.138,0.221,0.141,0.148,0.192,0.13,0.194,0.404
"No sabe",0.225,0.212,0.238,0.189,0.264,0.193,0.223,0.296,0.208,0.16,0.245,0.161,0.23,0.264,0.192,0.156
