"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","A Julio Zamora por el Frente de Todos",0.664,0.09,0.009,0.04,0.224,0.325
"P08","A Malena Galmarini por el Frente de Todos",0.202,0.099,0.004,0.072,0.092,0.181
"P08","A Segundo Cernadas por Cambiemos",0.078,0.506,0.228,0,0.036,0.089
"P08","A Nicolás Massot por Cambiemos",0.006,0.208,0.019,0.112,0.04,0.008
"P08","Al candidato de los liberales libertarios",0.015,0.029,0.709,0.167,0.198,0
"P08","A Paula Akerfeld por el Frente de Izquierda",0.008,0.001,0.009,0.55,0.008,0.096
"P08","No sabe",0.027,0.067,0.022,0.059,0.402,0.301
"P10","A Julio Zamora por el Frente de Todos",0.741,0.138,0,0.015,0.267,0.349
"P10","A Segundo Cernadas por Cambiemos",0.104,0.61,0.087,0,0.151,0.137
"P10","Al candidato de los liberales libertarios",0.045,0.115,0.729,0.267,0.079,0.035
"P10","A Paula Akerfeld por el Frente de Izquierda",0.033,0.006,0,0.572,0.005,0.064
"P10","No sabe",0.077,0.131,0.184,0.146,0.498,0.415
"P12","A Malena Galmarini por el Frente de Todos",0.586,0.13,0.059,0.168,0.164,0.329
"P12","A Segundo Cernadas por Cambiemos",0.137,0.675,0.187,0,0.065,0.176
"P12","Al candidato de los liberales libertarios",0.044,0.08,0.73,0.16,0.093,0.014
"P12","A Paula Akerfeld por el Frente de Izquierda",0.061,0.008,0.002,0.458,0.015,0.072
"P12","No sabe",0.172,0.107,0.022,0.214,0.663,0.409
"P14","Muy buena",0.286,0.077,0.009,0.034,0.037,0.049
"P14","Buena",0.236,0.063,0.002,0.339,0.01,0.218
"P14","Ni buena ni mala",0.213,0.202,0.067,0.172,0.405,0.328
"P14","Mala",0.054,0.218,0.09,0.085,0.11,0.121
"P14","Muy mala",0.114,0.405,0.691,0.241,0.283,0.207
"P14","No sabe",0.097,0.035,0.141,0.129,0.155,0.077
"P15","Muy buena",0.408,0.088,0.123,0.005,0.174,0.181
"P15","Buena",0.35,0.173,0.037,0.164,0.046,0.293
"P15","Ni buena ni mala",0.153,0.267,0.162,0.388,0.371,0.364
"P15","Mala",0.009,0.235,0.199,0.202,0.274,0.08
"P15","Muy mala",0.049,0.166,0.479,0.241,0.094,0.039
"P15","No sabe",0.031,0.071,0,0,0.041,0.043
"P16","Muy buena",0.061,0.306,0.202,0.227,0,0.053
"P16","Buena",0.081,0.304,0.204,0,0.046,0.065
"P16","Ni buena ni mala",0.342,0.201,0.353,0.123,0.568,0.467
"P16","Mala",0.149,0.045,0.058,0.222,0.164,0.078
"P16","Muy mala",0.205,0.049,0.116,0.23,0.059,0.075
"P16","No sabe",0.162,0.095,0.067,0.198,0.163,0.262
"P17","Muy buena",0.074,0.085,0.117,0.161,0,0.013
"P17","Buena",0.06,0.08,0.006,0,0,0
"P17","Ni buena ni mala",0.336,0.299,0.335,0.302,0.389,0.267
"P17","Mala",0.07,0.059,0.232,0.026,0.185,0.118
"P17","Muy mala",0.061,0.033,0.109,0.078,0.038,0.016
"P17","No sabe",0.399,0.444,0.201,0.433,0.388,0.586
"P18","Muy buena",0.077,0.178,0.157,0.157,0.034,0.007
"P18","Buena",0.091,0.133,0.045,0.105,0.022,0.055
"P18","Ni buena ni mala",0.379,0.381,0.398,0.322,0.483,0.342
"P18","Mala",0.106,0.114,0.057,0.013,0.053,0.03
"P18","Muy mala",0.157,0.045,0.185,0.174,0.09,0.069
"P18","No sabe",0.19,0.149,0.158,0.229,0.318,0.497
"P19","Muy buena",0.401,0.1,0.033,0.166,0.182,0.184
"P19","Buena",0.351,0.132,0.061,0.074,0.056,0.356
"P19","Ni buena ni mala",0.186,0.304,0.16,0.151,0.352,0.163
"P19","Mala",0.017,0.266,0.334,0.374,0.128,0.062
