"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.268,0.173,0.37,0.472,0.236,0.181,0.111,0.281,0.359,0.102,0.393,0.119,0.209,0.37,0.09,0
"A Sergio Massa",0.242,0.273,0.21,0.167,0.277,0.274,0.236,0.248,0.27,0.191,0.15,0.226,0.342,0.176,0.265,0.409
"A algún candidato del peronismo",0.29,0.351,0.224,0.325,0.229,0.4,0.231,0.24,0.185,0.531,0.133,0.625,0.298,0.087,0.548,0.591
"A Cristina Fernández de Kirchner",0.2,0.203,0.196,0.036,0.258,0.145,0.422,0.231,0.186,0.176,0.324,0.03,0.151,0.367,0.097,0
