"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P07","Al candidato del Frente de Todos",0.417,0.585,0.399,0.242,0.059,0.322
"P07","Al candidato de Juntos por el Cambio",0.336,0.237,0.278,0.347,0.45,0.211
"P07","Al candidato de los liberales - libertarios",0.125,0.077,0.026,0.271,0.256,0.042
"P07","Al candidato de la Izquierda",0,0.032,0.12,0.01,0.094,0.04
"P07","A otro candidato",0.005,0.028,0.042,0.098,0.093,0.079
"P07","No sabe",0.117,0.041,0.135,0.032,0.048,0.306
"P08","A Julio Zamora por el Frente de Todos",0.412,0.471,0.447,0.297,0.021,0.259
"P08","A Malena Galmarini por el Frente de Todos",0.066,0.138,0.089,0.128,0.124,0.26
"P08","A Segundo Cernadas por Cambiemos",0.257,0.168,0.176,0.269,0.251,0.137
"P08","A Nicolás Massot por Cambiemos",0.087,0.071,0.014,0.063,0.17,0.111
"P08","Al candidato de los liberales libertarios",0.121,0.059,0.111,0.215,0.304,0.03
"P08","A Paula Akerfeld por el Frente de Izquierda",0.019,0.034,0.121,0.004,0.048,0.021
"P08","No sabe",0.038,0.059,0.042,0.024,0.082,0.182
"P10","A Julio Zamora por el Frente de Todos",0.439,0.571,0.433,0.283,0.044,0.337
"P10","A Segundo Cernadas por Cambiemos",0.325,0.171,0.237,0.198,0.353,0.26
"P10","Al candidato de los liberales libertarios",0.175,0.11,0.132,0.301,0.274,0.079
"P10","A Paula Akerfeld por el Frente de Izquierda",0.023,0.045,0.068,0.01,0.062,0.005
"P10","No sabe",0.038,0.103,0.13,0.208,0.267,0.319
"P12","A Malena Galmarini por el Frente de Todos",0.327,0.356,0.448,0.223,0.1,0.404
"P12","A Segundo Cernadas por Cambiemos",0.383,0.249,0.27,0.328,0.454,0.229
"P12","Al candidato de los liberales libertarios",0.179,0.104,0.068,0.215,0.266,0.043
"P12","A Paula Akerfeld por el Frente de Izquierda",0.048,0.087,0.031,0.012,0.06,0.026
"P12","No sabe",0.063,0.204,0.183,0.222,0.12,0.298
"P14","Muy buena",0.215,0.137,0.228,0.062,0.043,0.145
"P14","Buena",0.161,0.187,0.199,0.05,0.092,0.14
"P14","Ni buena ni mala",0.159,0.212,0.23,0.234,0.074,0.337
"P14","Mala",0.077,0.113,0.127,0.177,0.156,0.135
"P14","Muy mala",0.31,0.255,0.113,0.448,0.596,0.116
"P14","No sabe",0.078,0.096,0.103,0.029,0.039,0.127
"P15","Muy buena",0.354,0.316,0.151,0.251,0.043,0.184
"P15","Buena",0.053,0.265,0.447,0.143,0.08,0.31
"P15","Ni buena ni mala",0.271,0.189,0.212,0.203,0.27,0.366
"P15","Mala",0.093,0.142,0.131,0.218,0.185,0.065
"P15","Muy mala",0.204,0.071,0.037,0.154,0.409,0.049
"P15","No sabe",0.025,0.017,0.022,0.031,0.013,0.026
"P16","Muy buena",0.249,0.091,0.13,0.143,0.257,0.072
"P16","Buena",0.201,0.18,0.094,0.147,0.165,0.092
"P16","Ni buena ni mala",0.237,0.304,0.275,0.479,0.223,0.527
"P16","Mala",0.04,0.175,0.125,0.067,0.174,0.02
"P16","Muy mala",0.109,0.21,0.12,0.058,0.156,0.109
"P16","No sabe",0.164,0.04,0.256,0.106,0.025,0.18
"P17","Muy buena",0.136,0.039,0.077,0.139,0.113,0.018
"P17","Buena",0.037,0.052,0.044,0.02,0.056,0.024
"P17","Ni buena ni mala",0.411,0.318,0.338,0.358,0.19,0.384
"P17","Mala",0.081,0.094,0.07,0.141,0.105,0.005
"P17","Muy mala",0.058,0.014,0.043,0.03,0.151,0.103
