"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.756,0.553,0.127,0.029,0.046,0.064,0.109
"P07","Al candidato de Juntos por el Cambio",0.086,0.23,0.699,0.822,0.074,0.006,0.227
"P07","Al candidato de los liberales - libertarios",0.004,0.004,0.123,0.03,0.709,0.023,0.029
"P07","Al candidato de la Izquierda",0.007,0.031,0,0.08,0.078,0.677,0.037
"P07","A otro candidato",0.04,0.039,0.009,0.029,0.093,0.01,0.25
"P07","No sabe",0.107,0.143,0.042,0.01,0,0.22,0.348
"P10","A Julio Zamora por el Frente de Todos",0.796,0.432,0.13,0.092,0.026,0.028,0.14
"P10","A Segundo Cernadas por Cambiemos",0.098,0.183,0.63,0.555,0.036,0.005,0.148
"P10","Al candidato de los liberales libertarios",0.062,0.045,0.156,0.254,0.664,0.018,0
"P10","A Paula Akerfeld por el Frente de Izquierda",0.003,0.133,0,0.013,0.01,0.71,0
"P10","No sabe",0.041,0.207,0.084,0.086,0.264,0.239,0.712
"P12","A Malena Galmarini por el Frente de Todos",0.512,0.602,0.128,0.174,0.096,0.057,0.184
"P12","A Segundo Cernadas por Cambiemos",0.138,0.211,0.724,0.451,0.104,0.006,0.171
"P12","Al candidato de los liberales libertarios",0.043,0.027,0.073,0.229,0.731,0.012,0.016
"P12","A Paula Akerfeld por el Frente de Izquierda",0.055,0.082,0,0.029,0.002,0.582,0.007
"P12","No sabe",0.252,0.078,0.075,0.117,0.067,0.343,0.622
"P14","Muy buena",0.196,0.388,0.052,0.026,0.03,0.085,0.003
"P14","Buena",0.246,0.233,0.043,0.031,0.097,0.141,0.079
"P14","Ni buena ni mala",0.275,0.154,0.148,0.173,0.039,0.398,0.43
"P14","Mala",0.093,0.019,0.206,0.219,0.106,0.106,0.091
"P14","Muy mala",0.102,0.202,0.46,0.527,0.592,0.123,0.25
"P14","No sabe",0.088,0.004,0.091,0.024,0.136,0.147,0.147
"P15","Muy buena",0.448,0.204,0.131,0.115,0.031,0.021,0.06
"P15","Buena",0.34,0.367,0.162,0.097,0.13,0.022,0.098
"P15","Ni buena ni mala",0.161,0.286,0.242,0.317,0.144,0.47,0.351
"P15","Mala",0.004,0.042,0.209,0.315,0.194,0.24,0.254
"P15","Muy mala",0.047,0.06,0.172,0.156,0.501,0.216,0.058
"P15","No sabe",0,0.041,0.084,0,0,0.031,0.179
"P16","Muy buena",0.098,0.03,0.377,0.265,0.128,0.021,0.004
"P16","Buena",0.077,0.102,0.324,0.159,0.191,0.012,0.108
"P16","Ni buena ni mala",0.383,0.271,0.133,0.373,0.349,0.352,0.486
"P16","Mala",0.111,0.207,0.024,0.109,0.155,0.086,0.043
"P16","Muy mala",0.173,0.186,0.043,0.087,0.106,0.263,0.089
"P16","No sabe",0.158,0.204,0.099,0.007,0.071,0.266,0.27
"P17","Muy buena",0.107,0,0.084,0.216,0.067,0,0
"P17","Buena",0.05,0.063,0.085,0.015,0.015,0,0
"P17","Ni buena ni mala",0.356,0.331,0.221,0.36,0.436,0.321,0.154
"P17","Mala",0.078,0.122,0.117,0.072,0.163,0.033,0.024
"P17","Muy mala",0.024,0.108,0.043,0.053,0.08,0.109,0.04
"P17","No sabe",0.385,0.376,0.45,0.284,0.239,0.537,0.782
"P18","Muy buena",0.115,0,0.129,0.382,0.124,0.02,0.007
"P18","Buena",0.07,0.074,0.159,0.144,0.069,0.035,0.024
"P18","Ni buena ni mala",0.398,0.415,0.359,0.294,0.475,0.373,0.24
"P18","Mala",0.096,0.164,0.072,0.039,0.038,0.01,0.149
"P18","Muy mala",0.11,0.181,0.054,0.108,0.155,0.22,0.094
"P18","No sabe",0.211,0.166,0.227,0.033,0.139,0.342,0.486
"P19","Muy buena",0.466,0.263,0.045,0.03,0.122,0.051,0.013
"P19","Buena",0.321,0.251,0.169,0.078,0.1,0.332,0.13
"P19","Ni buena ni mala",0.196,0.283,0.269,0.308,0.082,0.174,0.296
"P19","Mala",0.013,0.053,0.339,0.394,0.198,0.286,0.134
"P19","Muy mala",0,0.087,0.11,0.19,0.487,0.157,0.07
"P19","No sabe",0.004,0.063,0.068,0,0.011,0,0.357
"P20","Que continúe el intendente Julio Zamora",0.453,0.129,0.069,0.027,0.061,0.056,0.088
"P20","Que continúe Julio Zamora pero con mejoras",0.423,0.346,0.154,0.033,0.223,0.257,0.336
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.103,0.22,0.177,0.235,0.054,0.227,0.248
"P20","Que cambie el intendente Julio Zamora",0.021,0.305,0.6,0.705,0.662,0.46,0.328
