"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.68,0.165,0.107,0.379,0.331
"P07","Al candidato de Juntos por el Cambio",0.127,0.684,0.165,0.04,0.174
"P07","Al candidato de los liberales - libertarios",0.024,0.079,0.625,0.004,0.015
"P07","Al candidato de la Izquierda",0.03,0,0.06,0.434,0.063
"P07","A otro candidato",0.028,0.011,0.033,0.014,0.188
"P07","No sabe",0.111,0.061,0.01,0.129,0.229
"P08","A Julio Zamora por el Frente de Todos",0.512,0.143,0.09,0.294,0.418
"P08","A Malena Galmarini por el Frente de Todos",0.256,0.093,0.024,0.185,0.055
"P08","A Segundo Cernadas por Cambiemos",0.094,0.556,0.114,0,0.093
"P08","A Nicolás Massot por Cambiemos",0.044,0.119,0.123,0.04,0.049
"P08","Al candidato de los liberales libertarios",0.04,0.045,0.637,0.004,0.046
"P08","A Paula Akerfeld por el Frente de Izquierda",0.009,0.001,0.004,0.467,0.086
"P08","No sabe",0.045,0.043,0.008,0.01,0.253
"P10","A Julio Zamora por el Frente de Todos",0.673,0.188,0.017,0.254,0.416
"P10","A Segundo Cernadas por Cambiemos",0.136,0.652,0.066,0.113,0.013
"P10","Al candidato de los liberales libertarios",0.079,0.079,0.771,0,0.026
"P10","A Paula Akerfeld por el Frente de Izquierda",0.013,0.003,0.019,0.599,0.04
"P10","No sabe",0.099,0.078,0.127,0.034,0.505
"P14","Muy buena",0.34,0.072,0.03,0.004,0.026
"P14","Buena",0.34,0.05,0.012,0.163,0.083
"P14","Ni buena ni mala",0.192,0.187,0.113,0.38,0.294
"P14","Mala",0.036,0.184,0.134,0.093,0.149
"P14","Muy mala",0.063,0.473,0.572,0.35,0.205
"P14","No sabe",0.029,0.034,0.139,0.01,0.243
"P15","Muy buena",0.357,0.151,0.106,0.078,0.224
"P15","Buena",0.362,0.203,0.074,0.079,0.191
"P15","Ni buena ni mala",0.21,0.265,0.179,0.417,0.216
"P15","Mala",0.032,0.181,0.186,0.106,0.182
"P15","Muy mala",0.032,0.165,0.455,0.276,0.061
"P15","No sabe",0.007,0.035,0,0.044,0.126
"P16","Muy buena",0.077,0.347,0.157,0,0.037
"P16","Buena",0.082,0.31,0.202,0.056,0.031
"P16","Ni buena ni mala",0.32,0.195,0.363,0.335,0.44
"P16","Mala",0.187,0.03,0.065,0.218,0.087
"P16","Muy mala",0.152,0.081,0.143,0.319,0.101
"P16","No sabe",0.182,0.037,0.07,0.072,0.304
"P17","Muy buena",0.073,0.121,0.121,0,0.006
"P17","Buena",0.057,0.077,0.004,0.015,0.022
"P17","Ni buena ni mala",0.355,0.278,0.357,0.301,0.298
"P17","Mala",0.065,0.047,0.213,0.281,0.084
"P17","Muy mala",0.033,0.078,0.072,0.09,0.027
"P17","No sabe",0.417,0.399,0.233,0.313,0.563
"P18","Muy buena",0.087,0.196,0.161,0,0.019
"P18","Buena",0.079,0.147,0.048,0,0.079
"P18","Ni buena ni mala",0.417,0.354,0.444,0.408,0.31
"P18","Mala",0.102,0.075,0.053,0.141,0.094
"P18","Muy mala",0.115,0.073,0.155,0.328,0.102
"P18","No sabe",0.2,0.155,0.139,0.123,0.396
"P19","Muy buena",0.421,0.116,0.041,0.06,0.21
"P19","Buena",0.302,0.174,0.082,0.229,0.24
"P19","Ni buena ni mala",0.179,0.315,0.135,0.429,0.165
"P19","Mala",0.018,0.245,0.315,0.143,0.166
"P19","Muy mala",0.046,0.114,0.417,0.139,0.065
"P19","No sabe",0.034,0.036,0.01,0,0.154
"P20","Que continúe el intendente Julio Zamora",0.352,0.081,0.101,0.141,0.237
"P20","Que continúe Julio Zamora pero con mejoras",0.389,0.235,0.076,0.309,0.345
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.143,0.175,0.074,0.246,0.176
"P20","Que cambie el intendente Julio Zamora",0.116,0.509,0.749,0.304,0.242
"P21","Es kirchnerista",0.153,0.177,0.181,0.144,0.052
"P21","Forma parte del Frente de Todos",0.282,0.195,0.178,0.438,0.282
"P21","Es un hombre de Massa",0.258,0.153,0.085,0.112,0.184
"P21","Es un peronista independiente de centro",0.096,0.139,0.2,0.033,0.167
"P21","Es un oportunista y está donde le conviene",0.056,0.25,0.321,0.211,0.117
"P21","No sabe",0.155,0.086,0.035,0.062,0.198
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.062,0.199,0.304,0.245,0.249
"P22","Son aliados tácticos pero lo ocultan",0.089,0.102,0.309,0.061,0.108
"P22","Son adversarios políticos",0.519,0.472,0.171,0.326,0.283
"P22","No sabe",0.33,0.227,0.216,0.368,0.36
"P23","Son lo mismo, ambos son de Massa",0.203,0.291,0.416,0.164,0.163
"P23","Son aliados en el Frente de Todos pero compiten",0.458,0.277,0.295,0.316,0.386
"P23","Son enemigos porque Zamora traicionó a Massa",0.061,0.285,0.161,0.104,0.151
"P23","No sabe",0.278,0.147,0.128,0.416,0.3
"P24","La seguridad",0.258,0.284,0.376,0.125,0.33
"P24","El tránsito",0.156,0.09,0.057,0.137,0.009
"P24","El arreglo de las calles",0.115,0.075,0.026,0.076,0.154
"P24","El estado de las escuelas y la educación",0.037,0.042,0.002,0,0.061
"P24","El sistema de salud",0.048,0.052,0.11,0.045,0.033
"P24","El deporte y la cultura",0.154,0.087,0.117,0.34,0.101
"P24","La obra pública",0.038,0.005,0,0.049,0.049
"P24","La luminaria",0.049,0.134,0.111,0.068,0.071
"P24","No sabe",0.145,0.231,0.201,0.16,0.192
"P25","La seguridad",0.225,0.148,0.149,0.139,0.107
"P25","El tránsito",0.062,0.106,0.201,0.073,0.103
"P25","El arreglo de las calles",0.209,0.274,0.302,0.203,0.138
"P25","El estado de las escuelas y la educación",0.105,0.092,0.098,0.109,0.138
"P25","El sistema de salud",0.171,0.187,0.17,0.199,0.195
"P25","El deporte y la cultura",0.055,0.024,0.03,0.197,0.064
"P25","La obra pública",0.027,0.073,0.013,0,0.009
"P25","La luminaria",0.015,0.035,0,0,0.057
"P25","No sabe",0.131,0.061,0.037,0.08,0.189
"P26","Agua corriente y cloacas",0.335,0.478,0.378,0.501,0.49
"P26","Energía eléctrica",0.091,0.168,0.233,0.082,0.097
"P26","Red de gas natural",0.156,0.053,0.027,0.082,0.053
"P26","Recolección de residuos",0.178,0.12,0.145,0.089,0.048
"P26","Ninguno",0.24,0.181,0.217,0.246,0.312
"P27","Los robos",0.272,0.235,0.227,0.241,0.34
"P27","El narcotráfico",0.264,0.353,0.321,0.182,0.139
"P27","La ausencia de patrulleros y personal policial",0.159,0.185,0.12,0.219,0.138
"P27","Otro",0.123,0.137,0.098,0.262,0.232
"P27","Ninguno",0.182,0.09,0.234,0.096,0.151
"P28","Frente de Todos y el peronismo",0.719,0.065,0.017,0.358,0.363
"P28","Cambiemos",0.093,0.593,0.099,0.074,0.17
"P28","Liberales Libertarios",0.045,0.24,0.861,0.018,0.042
"P28","Izquierda",0.017,0.005,0.018,0.523,0.08
"P28","No sabe",0.126,0.097,0.005,0.027,0.345
"P30","A Alberto Fernández",0.195,0.258,0.051,0,0.268
"P30","A Sergio Massa",0.392,0.07,0.205,0.13,0.533
"P30","A algún candidato del peronismo",0.304,0.49,0.744,0.026,0.037
"P30","A algún candidato del kirchnerismo",0.109,0.182,0,0.844,0.162
"P31","A Alberto Fernández",0.353,0.337,0.042,0,0.264
"P31","A Sergio Massa",0.297,0.081,0.231,0.126,0.524
"P31","A algún candidato del peronismo",0.064,0.476,0.727,0.025,0.046
"P31","A Cristina Fernández de Kirchner",0.286,0.106,0,0.849,0.166
"P32","A Horacio Rodriguez Larreta",0.247,0.281,0.127,0.458,0.236
"P32","A Mauricio Macri",0.078,0.35,0.088,0.019,0.264
"P32","A Patricia Bullrich",0.03,0.321,0.717,0.026,0.209
"P32","A Facundo Manes",0.33,0.039,0.068,0.453,0.211
"P32","A Gerardo Morales",0.315,0.009,0,0.044,0.08
"P33","Seguro lo votaria",0.097,0.318,0.635,0.048,0.047
"P33","Quizás lo votaría",0.072,0.207,0.294,0.045,0.486
"P33","Nunca lo votaría",0.831,0.475,0.071,0.907,0.467
"P34","Muy buena",0.221,0.049,0.056,0.144,0.081
"P34","Buena",0.26,0.099,0.019,0.014,0.18
"P34","Ni buena ni mala",0.318,0.068,0.094,0.407,0.291
"P34","Mala",0.11,0.135,0.051,0.303,0.117
"P34","Muy mala",0.091,0.639,0.78,0.132,0.295
"P34","No sabe",0,0.01,0,0,0.036
"P35","Muy buena",0.122,0.284,0.276,0,0.026
