"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","Al candidato del Frente de Todos",0.452,0.493,0.077,0.723
"P07","Al candidato de Juntos por el Cambio",0.215,0.122,0.484,0.108
"P07","Al candidato de los liberales - libertarios",0.125,0.173,0.42,0
"P07","Al candidato de la Izquierda",0,0.013,0,0.161
"P07","A otro candidato",0.009,0.092,0.007,0.008
"P07","No sabe",0.199,0.107,0.012,0
"P08","A Julio Zamora por el Frente de Todos",0.302,0.362,0.064,0.476
"P08","A Malena Galmarini por el Frente de Todos",0.182,0.277,0.037,0.207
"P08","A Segundo Cernadas por Cambiemos",0.141,0.146,0.453,0.114
"P08","A Nicolás Massot por Cambiemos",0,0.027,0.105,0.005
"P08","Al candidato de los liberales libertarios",0.121,0.153,0.321,0
"P08","A Paula Akerfeld por el Frente de Izquierda",0.013,0.03,0.005,0.161
"P08","No sabe",0.241,0.005,0.015,0.037
"P10","A Julio Zamora por el Frente de Todos",0.455,0.445,0.113,0.623
"P10","A Segundo Cernadas por Cambiemos",0.116,0.153,0.417,0.172
"P10","Al candidato de los liberales libertarios",0.025,0.153,0.246,0.007
"P10","A Paula Akerfeld por el Frente de Izquierda",0,0.042,0.035,0.161
"P10","No sabe",0.404,0.207,0.189,0.037
"P12","A Malena Galmarini por el Frente de Todos",0.465,0.431,0.077,0.506
"P12","A Segundo Cernadas por Cambiemos",0.378,0.1,0.493,0.159
"P12","Al candidato de los liberales libertarios",0.025,0.153,0.404,0
"P12","A Paula Akerfeld por el Frente de Izquierda",0,0.028,0.005,0.224
"P12","No sabe",0.132,0.288,0.021,0.111
"P14","Muy buena",0.076,0.356,0.011,0.296
"P14","Buena",0.27,0.172,0.007,0.198
"P14","Ni buena ni mala",0.317,0.141,0.099,0.074
"P14","Mala",0.037,0.02,0.168,0.011
"P14","Muy mala",0.19,0.147,0.715,0.421
"P14","No sabe",0.11,0.164,0,0
"P15","Muy buena",0.029,0.289,0.127,0.226
"P15","Buena",0.369,0.148,0.039,0.375
"P15","Ni buena ni mala",0.514,0.14,0.291,0.084
"P15","Mala",0,0.011,0.222,0.046
"P15","Muy mala",0.088,0.388,0.321,0.269
"P15","No sabe",0,0.024,0,0
"P16","Muy buena",0.173,0.133,0.185,0.137
"P16","Buena",0.148,0.174,0.398,0.072
"P16","Ni buena ni mala",0.428,0.202,0.19,0.3
"P16","Mala",0.056,0.155,0.057,0.126
"P16","Muy mala",0.195,0.145,0.133,0.365
"P16","No sabe",0,0.191,0.037,0
"P17","Muy buena",0.113,0.017,0.012,0.1
"P17","Buena",0.147,0.131,0.024,0.045
"P17","Ni buena ni mala",0.349,0.366,0.25,0.256
"P17","Mala",0.012,0.092,0.236,0.2
"P17","Muy mala",0.068,0.152,0.1,0.036
"P17","No sabe",0.311,0.242,0.378,0.363
"P18","Muy buena",0.141,0.064,0.094,0.147
"P18","Buena",0.106,0.065,0.107,0.108
"P18","Ni buena ni mala",0.471,0.681,0.42,0.264
"P18","Mala",0,0.033,0.077,0.106
"P18","Muy mala",0.081,0.04,0.13,0.315
"P18","No sabe",0.201,0.117,0.172,0.06
"P19","Muy buena",0.177,0.277,0.074,0.402
"P19","Buena",0.194,0.207,0.179,0.285
"P19","Ni buena ni mala",0.293,0.128,0.214,0.072
"P19","Mala",0.124,0.028,0.209,0.036
"P19","Muy mala",0.077,0.36,0.297,0.205
"P19","No sabe",0.135,0,0.027,0
"P20","Que continúe el intendente Julio Zamora",0.183,0.323,0.049,0.169
"P20","Que continúe Julio Zamora pero con mejoras",0.656,0.168,0.089,0.243
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.058,0.125,0.259,0.269
"P20","Que cambie el intendente Julio Zamora",0.103,0.384,0.603,0.319
"P21","Es kirchnerista",0.172,0.271,0.279,0.241
"P21","Forma parte del Frente de Todos",0.156,0.162,0.16,0.31
"P21","Es un hombre de Massa",0.144,0.023,0.073,0
"P21","Es un peronista independiente de centro",0,0.079,0.258,0.006
"P21","Es un oportunista y está donde le conviene",0.317,0.22,0.166,0.241
"P21","No sabe",0.211,0.245,0.064,0.202
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.188,0.135,0.136,0.012
"P22","Son aliados tácticos pero lo ocultan",0.179,0.12,0.289,0.171
"P22","Son adversarios políticos",0.299,0.235,0.382,0.526
"P22","No sabe",0.334,0.51,0.193,0.291
"P23","Son lo mismo, ambos son de Massa",0.199,0.206,0.453,0.292
"P23","Son aliados en el Frente de Todos pero compiten",0.293,0.126,0.217,0.602
"P23","Son enemigos porque Zamora traicionó a Massa",0.142,0.267,0.224,0.029
"P23","No sabe",0.366,0.401,0.106,0.077
"P24","La seguridad",0.216,0.314,0.365,0.204
"P24","El tránsito",0.135,0.021,0.042,0.482
"P24","El arreglo de las calles",0.013,0.178,0.038,0.06
"P24","El estado de las escuelas y la educación",0.098,0.017,0,0.01
"P24","El sistema de salud",0.048,0.149,0.124,0.005
"P24","El deporte y la cultura",0,0.159,0.134,0.074
"P24","La obra pública",0,0.006,0.013,0.019
"P24","La luminaria",0.126,0.045,0.061,0.102
"P24","No sabe",0.364,0.111,0.223,0.044
"P25","La seguridad",0.695,0.523,0.474,0.585
"P25","El tránsito",0,0.087,0.121,0.078
"P25","El arreglo de las calles",0.038,0.233,0.043,0.073
"P25","El estado de las escuelas y la educación",0.098,0.022,0.133,0.074
"P25","El sistema de salud",0.027,0.038,0.166,0.179
"P25","El deporte y la cultura",0,0.061,0.006,0
"P25","La obra pública",0,0,0,0
"P25","La luminaria",0.106,0,0,0
"P25","No sabe",0.036,0.036,0.057,0.011
"P26","Agua corriente y cloacas",0.219,0.15,0.278,0.343
"P26","Energía eléctrica",0.316,0.502,0.542,0.516
"P26","Red de gas natural",0.148,0.108,0,0
"P26","Recolección de residuos",0.135,0.188,0.068,0.042
"P26","Ninguno",0.182,0.052,0.112,0.099
"P27","Los robos",0.358,0.315,0.281,0.351
"P27","El narcotráfico",0.261,0.231,0.505,0.065
"P27","La ausencia de patrulleros y personal policial",0.356,0.302,0.077,0.412
"P27","Otro",0.025,0.123,0.079,0.057
"P27","Ninguno",0,0.029,0.058,0.115
"P30","A Alberto Fernández",0.496,0.034,0.068,0.172
"P30","A Sergio Massa",0.171,0.867,0,0.072
"P30","A algún candidato del peronismo",0.204,0.068,0.916,0.181
"P30","A algún candidato del kirchnerismo",0.129,0.031,0.016,0.575
"P34","Muy buena",0.28,0.058,0.116,0.194
"P34","Buena",0.054,0.136,0.084,0.265
"P34","Ni buena ni mala",0.443,0.42,0.206,0.048
"P34","Mala",0,0.044,0.064,0.446
"P34","Muy mala",0.223,0.342,0.53,0.047
"P34","No sabe",0,0,0,0
"P35","Muy buena",0.15,0.188,0.411,0.108
"P35","Buena",0.021,0.037,0.259,0.053
"P35","Ni buena ni mala",0.392,0.174,0.134,0
"P35","Mala",0.077,0.315,0.068,0.232
"P35","Muy mala",0.36,0.235,0.128,0.607
"P35","No sabe",0,0.051,0,0
"P36","Muy buena",0.211,0.2,0.179,0.869
"P36","Buena",0.263,0.06,0.01,0.007
"P36","Ni buena ni mala",0.274,0.17,0.055,0
"P36","Mala",0.016,0.02,0.032,0
"P36","Muy mala",0.236,0.499,0.724,0.124
"P36","No sabe",0,0.051,0,0
"P37","Muy buena",0.149,0.149,0.183,0.122
"P37","Buena",0.013,0.107,0.335,0.005
"P37","Ni buena ni mala",0.515,0.323,0.148,0.137
"P37","Mala",0,0.262,0.056,0.364
"P37","Muy mala",0.298,0.159,0.278,0.372
"P37","No sabe",0.025,0,0,0
"P38","Muy buena",0.212,0.537,0.084,0.236
"P38","Buena",0.025,0.099,0.09,0.163
"P38","Ni buena ni mala",0.417,0.033,0.092,0.12
"P38","Mala",0.11,0.034,0.089,0.12
"P38","Muy mala",0.236,0.246,0.645,0.361
"P38","No sabe",0,0.051,0,0
"P39","Muy buena",0.249,0.249,0.644,0.106
"P39","Buena",0.08,0.083,0.276,0.089
"P39","Ni buena ni mala",0.311,0.337,0.05,0.006
"P39","Mala",0.022,0.188,0.009,0.036
"P39","Muy mala",0.19,0.081,0.021,0.763
"P39","No sabe",0.148,0.062,0,0
"P40","Muy buena",0.306,0.216,0.337,0
"P40","Buena",0.16,0.231,0.474,0
"P40","Ni buena ni mala",0.249,0.213,0.086,0.067
"P40","Mala",0.073,0.104,0.066,0.234
"P40","Muy mala",0.19,0.174,0.021,0.699
"P40","No sabe",0.022,0.062,0.016,0
