"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Que continúe el intendente Julio Zamora",0.197,0.185,0.208,0.202,0.19,0.179,0.237,0.23,0.204,0.142,0.186,0.317,0.162,0.31,0.152,0.061
"Que continúe Julio Zamora pero con mejoras",0.281,0.227,0.334,0.32,0.28,0.247,0.273,0.244,0.373,0.178,0.266,0.201,0.327,0.361,0.181,0.734
"Que cambie Julio Zamora pero que se mantengan los avances",0.154,0.148,0.16,0.127,0.161,0.179,0.141,0.158,0.128,0.193,0.18,0.092,0.152,0.11,0.194,0.038
"Que cambie el intendente Julio Zamora",0.368,0.44,0.298,0.351,0.369,0.395,0.349,0.368,0.295,0.487,0.368,0.39,0.359,0.219,0.473,0.167
