"var","categoria","Frente de Todos y el peronismo","Cambiemos","Liberales Libertarios","Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.758,0.158,0.098,0.304,0.234
"P07","Al candidato de Juntos por el Cambio",0.079,0.66,0.276,0.156,0.228
"P07","Al candidato de los liberales - libertarios",0.004,0.049,0.558,0,0.009
"P07","Al candidato de la Izquierda",0.046,0.039,0.003,0.485,0
"P07","A otro candidato",0.049,0.059,0.019,0,0.146
"P07","No sabe",0.064,0.035,0.046,0.055,0.383
"P08","A Julio Zamora por el Frente de Todos",0.655,0.163,0.039,0.384,0.276
"P08","A Malena Galmarini por el Frente de Todos",0.224,0.022,0.096,0.019,0.146
"P08","A Segundo Cernadas por Cambiemos",0.04,0.551,0.185,0.015,0.133
"P08","A Nicolás Massot por Cambiemos",0.019,0.149,0.091,0.08,0.006
"P08","Al candidato de los liberales libertarios",0.034,0.061,0.562,0.006,0.007
"P08","A Paula Akerfeld por el Frente de Izquierda",0.018,0,0.001,0.496,0.101
"P08","No sabe",0.01,0.054,0.026,0,0.331
"P10","A Julio Zamora por el Frente de Todos",0.759,0.205,0.061,0.334,0.27
"P10","A Segundo Cernadas por Cambiemos",0.069,0.593,0.23,0.11,0.063
"P10","Al candidato de los liberales libertarios",0.077,0.111,0.537,0.053,0.025
"P10","A Paula Akerfeld por el Frente de Izquierda",0.032,0.004,0.008,0.423,0.016
"P10","No sabe",0.063,0.087,0.164,0.08,0.626
"P12","A Malena Galmarini por el Frente de Todos",0.698,0.119,0.065,0.11,0.315
"P12","A Segundo Cernadas por Cambiemos",0.057,0.695,0.318,0.031,0.223
"P12","Al candidato de los liberales libertarios",0.008,0.059,0.581,0.054,0.006
"P12","A Paula Akerfeld por el Frente de Izquierda",0.055,0.015,0.004,0.536,0.01
"P12","No sabe",0.182,0.112,0.032,0.269,0.446
"P14","Muy buena",0.296,0.102,0.031,0.061,0.061
"P14","Buena",0.322,0.02,0.029,0.12,0.215
"P14","Ni buena ni mala",0.215,0.16,0.084,0.344,0.349
"P14","Mala",0.052,0.176,0.125,0.157,0.116
"P14","Muy mala",0.081,0.511,0.621,0.051,0.177
"P14","No sabe",0.034,0.031,0.11,0.267,0.082
"P15","Muy buena",0.387,0.113,0.152,0.06,0.171
"P15","Buena",0.389,0.177,0.114,0.088,0.08
"P15","Ni buena ni mala",0.159,0.228,0.202,0.401,0.514
"P15","Mala",0.019,0.22,0.186,0.317,0.202
"P15","Muy mala",0.039,0.221,0.346,0.127,0.019
"P15","No sabe",0.007,0.041,0,0.007,0.014
"P16","Muy buena",0.041,0.416,0.103,0.024,0.075
"P16","Buena",0.048,0.226,0.284,0.015,0.121
"P16","Ni buena ni mala",0.303,0.199,0.299,0.36,0.561
"P16","Mala",0.217,0.048,0.049,0.12,0.059
"P16","Muy mala",0.233,0.077,0.177,0.197,0.028
"P16","No sabe",0.158,0.034,0.088,0.284,0.156
"P17","Muy buena",0.038,0.119,0.137,0.015,0.058
"P17","Buena",0.066,0.032,0.017,0.014,0.081
"P17","Ni buena ni mala",0.366,0.279,0.329,0.28,0.345
"P17","Mala",0.05,0.102,0.115,0.162,0.061
"P17","Muy mala",0.054,0.075,0.117,0.061,0
"P17","No sabe",0.426,0.393,0.285,0.468,0.455
"P18","Muy buena",0.046,0.192,0.154,0,0.008
"P18","Buena",0.075,0.163,0.044,0.053,0.021
"P18","Ni buena ni mala",0.399,0.372,0.403,0.271,0.475
"P18","Mala",0.145,0.053,0.061,0.157,0.05
"P18","Muy mala",0.162,0.086,0.143,0.133,0.063
"P18","No sabe",0.173,0.134,0.195,0.386,0.383
"P19","Muy buena",0.438,0.12,0.067,0.06,0.096
"P19","Buena",0.299,0.16,0.138,0.118,0.267
"P19","Ni buena ni mala",0.186,0.239,0.209,0.398,0.339
"P19","Mala",0.036,0.312,0.215,0.363,0.144
"P19","Muy mala",0.037,0.154,0.339,0.061,0.022
"P19","No sabe",0.004,0.015,0.032,0,0.132
"P20","Que continúe el intendente Julio Zamora",0.367,0.092,0.035,0.06,0.23
"P20","Que continúe Julio Zamora pero con mejoras",0.419,0.112,0.209,0.327,0.426
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.107,0.205,0.156,0.148,0.096
"P20","Que cambie el intendente Julio Zamora",0.107,0.591,0.6,0.465,0.248
"P21","Es kirchnerista",0.122,0.196,0.164,0,0.158
"P21","Forma parte del Frente de Todos",0.38,0.222,0.169,0.348,0.109
"P21","Es un hombre de Massa",0.277,0.152,0.1,0.388,0.102
"P21","Es un peronista independiente de centro",0.083,0.128,0.183,0.068,0.204
"P21","Es un oportunista y está donde le conviene",0.049,0.242,0.28,0.133,0.202
"P21","No sabe",0.089,0.06,0.104,0.063,0.225
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.097,0.079,0.323,0.153,0.281
"P22","Son aliados tácticos pero lo ocultan",0.087,0.09,0.285,0.052,0.062
"P22","Son adversarios políticos",0.534,0.613,0.207,0.419,0.173
"P22","No sabe",0.282,0.218,0.185,0.376,0.484
"P23","Son lo mismo, ambos son de Massa",0.169,0.313,0.343,0.395,0.085
"P23","Son aliados en el Frente de Todos pero compiten",0.538,0.252,0.353,0.195,0.219
"P23","Son enemigos porque Zamora traicionó a Massa",0.086,0.241,0.184,0.088,0.199
"P23","No sabe",0.207,0.194,0.12,0.322,0.497
"P24","La seguridad",0.256,0.296,0.454,0.308,0.094
"P24","El tránsito",0.163,0.07,0.049,0.039,0.073
"P24","El arreglo de las calles",0.157,0.06,0.007,0.097,0.132
"P24","El estado de las escuelas y la educación",0.027,0.018,0.046,0.017,0.093
"P24","El sistema de salud",0.056,0.049,0.09,0,0.042
"P24","El deporte y la cultura",0.144,0.085,0.113,0.359,0.138
"P24","La obra pública",0.062,0.006,0.005,0.039,0
"P24","La luminaria",0.05,0.172,0.069,0.076,0.069
"P24","No sabe",0.085,0.244,0.167,0.065,0.359
"P25","La seguridad",0.136,0.202,0.168,0.052,0.212
"P25","El tránsito",0.073,0.156,0.166,0.007,0.042
"P25","El arreglo de las calles",0.219,0.23,0.303,0.178,0.123
"P25","El estado de las escuelas y la educación",0.122,0.116,0.087,0.178,0.035
"P25","El sistema de salud",0.21,0.17,0.179,0.069,0.212
"P25","El deporte y la cultura",0.059,0.012,0.042,0.189,0.078
"P25","La obra pública",0.022,0.046,0.048,0,0.028
"P25","La luminaria",0.02,0.019,0,0.2,0.035
"P25","No sabe",0.139,0.049,0.007,0.127,0.235
"P26","Agua corriente y cloacas",0.394,0.52,0.336,0.632,0.364
"P26","Energía eléctrica",0.062,0.148,0.248,0.103,0.119
"P26","Red de gas natural",0.178,0.034,0.038,0.074,0.029
"P26","Recolección de residuos",0.12,0.107,0.189,0,0.128
"P26","Ninguno",0.246,0.191,0.189,0.191,0.36
"P27","Los robos",0.248,0.269,0.231,0.396,0.278
"P27","El narcotráfico",0.275,0.377,0.268,0.068,0.163
"P27","La ausencia de patrulleros y personal policial",0.12,0.144,0.23,0.156,0.179
"P27","Otro",0.168,0.124,0.083,0.289,0.229
"P27","Ninguno",0.189,0.086,0.188,0.091,0.151
"P34","Muy buena",0.26,0.054,0.044,0,0.037
"P34","Buena",0.269,0.091,0.048,0.028,0.155
"P34","Ni buena ni mala",0.276,0.058,0.114,0.459,0.414
"P34","Mala",0.13,0.138,0.058,0.411,0.054
"P34","Muy mala",0.065,0.658,0.724,0.102,0.294
"P34","No sabe",0,0.001,0.012,0,0.046
"P35","Muy buena",0.056,0.317,0.249,0.017,0.106
"P35","Buena",0.064,0.289,0.208,0.02,0.159
"P35","Ni buena ni mala",0.085,0.177,0.189,0.049,0.414
"P35","Mala",0.181,0.14,0.143,0.231,0.156
"P35","Muy mala",0.608,0.077,0.189,0.683,0.104
"P35","No sabe",0.006,0,0.022,0,0.061
"P36","Muy buena",0.52,0.09,0.115,0.42,0.094
