"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P26","Sergio Massa por el Frente de Todos",0.148,0.149,0.175,0.122
"P26","Javier Milei por los liberales libertarios",0.122,0.1,0.16,0.129
"P26","Nicolás del Caño por la izquierda",0.018,0.023,0.034,0.055
"P26","Otros candidatos",0.017,0.027,0.024,0.052
"P26","Aún no lo tengo decidido",0.06,0.065,0.043,0.052
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.362,0.337,0.27,0.279
"P27","Mauricio Macri por Juntos por el Cambio",0.337,0.302,0.312,0.196
"P27","Javier Milei por los liberales libertarios",0.156,0.155,0.203,0.258
"P27","Nicolás del Caño por la izquierda",0.019,0.019,0.018,0.03
"P27","Otro candidato",0.056,0.098,0.104,0.097
"P27","Aún no lo tengo decidido",0.07,0.089,0.093,0.14
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.306,0.326,0.262,0.314
"P29","Wado de Pedro por el Frente de Todos",0.285,0.272,0.26,0.217
"P29","Javier Milei por los liberales libertarios",0.182,0.202,0.215,0.244
"P29","Nicolás del Caño por la izquierda",0.012,0.022,0.014,0.027
"P29","Otro candidato",0.097,0.084,0.125,0.103
"P29","Aún no lo tengo decidido",0.118,0.094,0.124,0.095
"P31","Sergio Massa por el Frente de Todos",0.301,0.27,0.24,0.279
"P31","Patricia Bullrich por Juntos por el Cambio",0.363,0.357,0.373,0.221
"P31","Javier Milei por los liberales libertarios",0.16,0.139,0.176,0.288
"P31","Nicolás del Caño por la izquierda",0.029,0.033,0.014,0.068
"P31","Otro candidato",0.083,0.09,0.093,0.112
"P31","Aún no lo tengo decidido",0.064,0.111,0.104,0.032
"P33","Sergio Massa por el Frente de Todos",0.31,0.265,0.214,0.199
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.31,0.315,0.324,0.284
"P33","Javier Milei por los liberales libertarios",0.2,0.192,0.199,0.293
"P33","Nicolás del Caño por la izquierda",0.028,0.028,0.016,0.027
"P33","Otro candidato",0.092,0.11,0.149,0.123
"P33","Aún no lo tengo decidido",0.06,0.09,0.098,0.074
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.367,0.321,0.331,0.323
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.303,0.302,0.259,0.222
"P35","Javier Milei por los liberales libertarios",0.211,0.198,0.209,0.273
"P35","Nicolás del Caño por la izquierda",0.005,0.021,0.01,0.027
"P35","Otro candidato",0.061,0.102,0.093,0.1
"P35","Aún no lo tengo decidido",0.053,0.056,0.098,0.055
"P36","Sergio Massa por el Frente de Todos",0.307,0.278,0.296,0.201
"P36","Mauricio Macri por Juntos por el Cambio",0.337,0.309,0.34,0.251
"P36","Javier Milei por los liberales libertarios",0.19,0.167,0.18,0.259
"P36","Nicolás del Caño por la izquierda",0.031,0.028,0.012,0.027
"P36","Otro candidato",0.092,0.129,0.103,0.197
