"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.325,0.257,0.291,0.276
"P05","2",0.049,0.135,0.085,0.058
"P05","3",0.055,0.032,0.091,0.03
"P05","4",0.056,0.058,0.052,0.173
"P05","5",0.214,0.193,0.174,0.163
"P05","6",0.047,0.03,0.021,0.031
"P05","7",0.085,0.063,0.033,0.054
"P05","8",0.051,0.059,0.048,0.045
"P05","9",0.118,0.173,0.205,0.17
"P06","1",0.253,0.234,0.349,0.309
"P06","2",0.061,0.065,0.046,0.036
"P06","3",0.059,0.014,0.047,0.04
"P06","4",0.044,0.054,0.05,0.025
"P06","5",0.198,0.222,0.173,0.167
"P06","6",0.047,0.043,0.037,0.043
"P06","7",0.064,0.031,0.017,0.061
"P06","8",0.067,0.057,0.066,0.054
"P06","9",0.207,0.28,0.215,0.265
"P07","1",0.397,0.38,0.356,0.376
"P07","2",0.03,0.05,0.024,0.048
"P07","3",0.063,0.011,0.027,0.028
"P07","4",0.017,0.015,0.02,0.014
"P07","5",0.143,0.069,0.096,0.098
"P07","6",0.019,0.036,0.03,0.021
"P07","7",0.027,0.036,0.012,0.034
"P07","8",0.042,0.037,0.039,0.027
"P07","9",0.262,0.366,0.396,0.354
"P09","Del Frente de Todos y el peronismo",0.347,0.315,0.274,0.313
"P09","De Juntos por el cambio",0.301,0.314,0.26,0.454
"P09","De los Liberales libertarios",0.171,0.185,0.186,0.088
"P09","De la Izquierda",0.032,0.04,0.029,0.026
"P09","No sabe",0.149,0.146,0.251,0.119
"P10","A Alberto Fernández",0.124,0.343,0.188,0.114
"P10","A Sergio Massa",0.292,0.221,0.228,0.32
"P10","A algún candidato del peronismo",0.139,0.149,0.163,0.106
"P10","A algún candidato del kirchnerismo",0.445,0.287,0.421,0.46
"P11","A Alberto Fernández",0.124,0.376,0.116,0.142
"P11","A Sergio Massa",0.175,0.127,0.156,0.147
"P11","A algún candidato del peronismo",0.095,0.125,0.103,0.085
"P11","A Cristina Fernández de Kirchner",0.606,0.372,0.625,0.626
"P12","A Horacio Rodriguez Larreta",0.23,0.275,0.173,0.21
"P12","A Mauricio Macri",0.346,0.265,0.298,0.31
"P12","A Patricia Bullrich",0.272,0.378,0.386,0.389
"P12","A Facundo Manes",0.093,0.049,0.084,0.065
"P12","A Gerardo Morales",0.059,0.033,0.059,0.026
"P13","Seguro lo votaria",0.205,0.294,0.136,0.138
"P13","Quizás lo votaría",0.268,0.419,0.347,0.361
"P13","Nunca lo votaría",0.527,0.287,0.517,0.501
"P14","Lo votaría",0.179,0.238,0.148,0.3
"P14","Puede que lo vote",0.198,0.189,0.16,0.161
"P14","Nunca lo votaría",0.556,0.476,0.526,0.431
"P14","No sabe",0.067,0.097,0.166,0.108
"P15","Lo votaría",0.129,0.113,0.124,0.189
"P15","Puede que lo vote",0.217,0.208,0.182,0.166
"P15","Nunca lo votaría",0.573,0.603,0.596,0.57
"P15","No sabe",0.081,0.076,0.098,0.075
"P16","Lo votaría",0.083,0.179,0.15,0.114
"P16","Puede que lo vote",0.21,0.162,0.152,0.165
"P16","Nunca lo votaría",0.624,0.593,0.614,0.646
"P16","No sabe",0.083,0.066,0.084,0.075
"P17","La votaría",0.273,0.283,0.32,0.286
"P17","Puede que la vote",0.094,0.045,0.058,0.039
"P17","Nunca la votaría",0.582,0.62,0.545,0.624
"P17","No sabe",0.051,0.052,0.077,0.051
"P18","Lo votaría",0.138,0.145,0.132,0.171
"P18","Puede que lo vote",0.215,0.241,0.217,0.275
"P18","Nunca lo votaría",0.593,0.517,0.534,0.464
"P18","No sabe",0.054,0.097,0.117,0.09
"P19","Lo votaría",0.085,0.078,0.064,0.068
"P19","Puede que lo vote",0.203,0.218,0.268,0.253
"P19","Nunca lo votaría",0.603,0.532,0.516,0.553
"P19","No sabe",0.109,0.172,0.152,0.126
"P20","La votaría",0.214,0.284,0.232,0.317
"P20","Puede que la vote",0.196,0.15,0.136,0.175
"P20","Nunca la votaría",0.525,0.475,0.529,0.446
"P20","No sabe",0.065,0.091,0.103,0.062
"P21","Lo votaría",0.2,0.248,0.193,0.128
"P21","Puede que lo vote",0.152,0.2,0.16,0.164
"P21","Nunca lo votaría",0.591,0.455,0.548,0.623
"P21","No sabe",0.057,0.097,0.099,0.085
"P22","La votaría",0.111,0.114,0.098,0.135
"P22","Puede que la vote",0.195,0.232,0.203,0.224
"P22","Nunca la votaría",0.618,0.544,0.578,0.503
"P22","No sabe",0.076,0.11,0.121,0.138
"P23","Lo votaría",0.145,0.099,0.088,0.127
"P23","Puede que lo vote",0.161,0.134,0.106,0.142
"P23","Nunca lo votaría",0.602,0.6,0.666,0.624
"P23","No sabe",0.092,0.167,0.14,0.107
"P24","Lo votaría",0.064,0.043,0.033,0.056
"P24","Puede que lo vote",0.164,0.143,0.15,0.191
"P24","Nunca lo votaría",0.629,0.612,0.64,0.599
"P24","No sabe",0.143,0.202,0.177,0.154
"P25","Mauricio Macri por Juntos por el Cambio",0.111,0.115,0.099,0.21
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.091,0.101,0.041,0.107
"P25","Patricia Bullrich por Juntos por el Cambio",0.112,0.164,0.189,0.187
"P25","Facundo Manes por Juntos por el Cambio",0.071,0.032,0.022,0.042
"P25","Alberto Fernández por el Frente de Todos",0.039,0.082,0.102,0.054
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.301,0.243,0.25,0.266
"P25","Javier Milei por los liberales libertarios",0.141,0.15,0.14,0.032
"P25","Nicolás del Caño por la izquierda",0.022,0.03,0.006,0.002
"P25","Otros candidatos",0.052,0.04,0.043,0.018
"P25","Aún no lo tengo decidido",0.06,0.043,0.108,0.082
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.121,0.079,0.154
"P26","Patricia Bullrich por Juntos por el Cambio",0.189,0.244,0.239,0.312
"P26","Facundo Manes por Juntos por el Cambio",0.076,0.05,0.057,0.069
"P26","Wado de Pedro por el Frente de Todos",0.177,0.087,0.089,0.158
"P26","Sergio Massa por el Frente de Todos",0.17,0.146,0.188,0.16
"P26","Javier Milei por los liberales libertarios",0.143,0.176,0.166,0.052
"P26","Nicolás del Caño por la izquierda",0.033,0.029,0.03,0.005
"P26","Otros candidatos",0.026,0.038,0.019,0.018
"P26","Aún no lo tengo decidido",0.082,0.109,0.133,0.072
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.357,0.295,0.304,0.334
"P27","Mauricio Macri por Juntos por el Cambio",0.226,0.251,0.248,0.385
"P27","Javier Milei por los liberales libertarios",0.179,0.25,0.195,0.073
"P27","Nicolás del Caño por la izquierda",0.032,0.05,0.051,0.005
"P27","Otro candidato",0.118,0.086,0.112,0.067
"P27","Aún no lo tengo decidido",0.088,0.068,0.09,0.136
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.259,0.255,0.249,0.371
"P29","Wado de Pedro por el Frente de Todos",0.275,0.19,0.244,0.303
"P29","Javier Milei por los liberales libertarios",0.209,0.262,0.23,0.089
"P29","Nicolás del Caño por la izquierda",0.022,0.022,0.042,0.018
"P29","Otro candidato",0.131,0.153,0.074,0.07
"P29","Aún no lo tengo decidido",0.104,0.118,0.161,0.149
"P31","Sergio Massa por el Frente de Todos",0.293,0.203,0.273,0.273
"P31","Patricia Bullrich por Juntos por el Cambio",0.266,0.315,0.34,0.461
"P31","Javier Milei por los liberales libertarios",0.17,0.262,0.176,0.063
"P31","Nicolás del Caño por la izquierda",0.038,0.035,0.029,0.014
"P31","Otro candidato",0.127,0.085,0.057,0.06
"P31","Aún no lo tengo decidido",0.106,0.1,0.125,0.129
"P33","Sergio Massa por el Frente de Todos",0.28,0.206,0.208,0.31
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.237,0.269,0.278,0.368
"P33","Javier Milei por los liberales libertarios",0.208,0.268,0.237,0.102
"P33","Nicolás del Caño por la izquierda",0.041,0.031,0.035,0.008
"P33","Otro candidato",0.149,0.116,0.09,0.1
"P33","Aún no lo tengo decidido",0.085,0.11,0.152,0.112
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.34,0.294,0.307,0.356
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.223,0.285,0.227,0.389
"P35","Javier Milei por los liberales libertarios",0.218,0.261,0.234,0.106
"P35","Nicolás del Caño por la izquierda",0.035,0.012,0.007,0.002
"P35","Otro candidato",0.112,0.086,0.098,0.072
"P35","Aún no lo tengo decidido",0.072,0.062,0.127,0.075
"P36","Sergio Massa por el Frente de Todos",0.303,0.192,0.274,0.292
"P36","Mauricio Macri por Juntos por el Cambio",0.24,0.313,0.272,0.389
"P36","Javier Milei por los liberales libertarios",0.191,0.261,0.198,0.089
"P36","Nicolás del Caño por la izquierda",0.041,0.026,0.023,0.015
"P36","Otro candidato",0.147,0.093,0.09,0.12
"P36","Aún no lo tengo decidido",0.078,0.115,0.143,0.095
"P37","Wado de Pedro por el Frente de Todos",0.299,0.196,0.195,0.301
"P37","Mauricio Macri por Juntos por el Cambio",0.228,0.331,0.306,0.43
"P37","Javier Milei por los liberales libertarios",0.189,0.238,0.191,0.072
"P37","Nicolás del Caño por la izquierda",0.038,0.035,0.027,0.011
"P37","Otro candidato",0.163,0.116,0.117,0.074
"P37","Aún no lo tengo decidido",0.083,0.084,0.164,0.112
"P38","Wado de Pedro por el Frente de Todos",0.309,0.179,0.213,0.268
"P38","Patricia Bullrich por Juntos por el Cambio",0.277,0.357,0.322,0.478
"P38","Javier Milei por los liberales libertarios",0.171,0.239,0.185,0.057
"P38","Nicolás del Caño por la izquierda",0.029,0.01,0.035,0.008
"P38","Otro candidato",0.132,0.113,0.063,0.067
"P38","Aún no lo tengo decidido",0.082,0.102,0.182,0.122
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.342,0.257,0.289,0.326
"P39","Patricia Bullrich por Juntos por el Cambio",0.275,0.367,0.341,0.486
"P39","Javier Milei por los liberales libertarios",0.17,0.266,0.179,0.059
"P39","Nicolás del Caño por la izquierda",0.028,0.001,0.017,0.004
"P39","Otro candidato",0.101,0.062,0.074,0.047
"P39","Aún no lo tengo decidido",0.084,0.047,0.1,0.078
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.367,0.307,0.355,0.351
"P40","Mauricio Macri por Juntos por el Cambio",0.409,0.444,0.42,0.506
"P40","No sabe",0.224,0.249,0.225,0.143
"P41","Wado de Pedro por el Frente de Todos",0.356,0.242,0.238,0.305
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.336,0.474,0.488,0.488
"P41","No sabe",0.308,0.284,0.274,0.207
"P42","Sergio Massa por el Frente de Todos",0.357,0.266,0.272,0.293
"P42","Patricia Bullrich por Juntos por el Cambio",0.408,0.497,0.516,0.543
"P42","No sabe",0.235,0.237,0.212,0.164
"P43","Sergio Massa por el Frente de Todos",0.372,0.271,0.3,0.296
"P43","Mauricio Macri por Juntos por el Cambio",0.386,0.517,0.476,0.538
"P43","No sabe",0.242,0.212,0.224,0.166
"P44","Sergio Massa por el Frente de Todos",0.379,0.266,0.248,0.307
"P44","Javier Milei por los liberales libertarios",0.339,0.465,0.44,0.301
"P44","No sabe",0.282,0.269,0.312,0.392
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.294,0.302,0.233,0.354
"P45","Javier Milei por los liberales libertarios",0.311,0.401,0.383,0.184
"P45","No sabe",0.395,0.297,0.384,0.462
"P46","Patricia Bullrich por Juntos por el Cambio",0.413,0.472,0.502,0.528
"P46","Wado de Pedro por el Frente de Todos",0.335,0.232,0.256,0.269
"P46","No sabe",0.252,0.296,0.242,0.203
"P47","Patricia Bullrich por Juntos por el Cambio",0.447,0.517,0.578,0.553
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.392,0.27,0.28,0.327
"P47","No sabe",0.161,0.213,0.142,0.12
"P48","Muy buena",0.079,0.127,0.076,0.115
"P48","Buena",0.163,0.126,0.143,0.183
"P48","Ni buena ni mala",0.162,0.15,0.122,0.122
"P48","Mala",0.116,0.069,0.092,0.092
"P48","Muy mala",0.469,0.522,0.541,0.477
"P48","No sabe",0.011,0.006,0.026,0.011
"P49","Muy buena",0.037,0.051,0.087,0.082
"P49","Buena",0.152,0.135,0.07,0.136
"P49","Ni buena ni mala",0.193,0.137,0.148,0.127
"P49","Mala",0.116,0.092,0.09,0.131
"P49","Muy mala",0.492,0.574,0.599,0.507
"P49","No sabe",0.01,0.011,0.006,0.017
"P50","Muy buena",0.257,0.231,0.219,0.256
"P50","Buena",0.096,0.041,0.056,0.043
"P50","Ni buena ni mala",0.086,0.071,0.06,0.04
"P50","Mala",0.041,0.056,0.037,0.051
"P50","Muy mala",0.518,0.594,0.622,0.592
"P50","No sabe",0.002,0.007,0.006,0.018
"P51","Muy buena",0.181,0.18,0.191,0.237
"P51","Buena",0.159,0.221,0.137,0.182
"P51","Ni buena ni mala",0.127,0.111,0.24,0.138
"P51","Mala",0.107,0.17,0.148,0.121
"P51","Muy mala",0.425,0.283,0.275,0.301
"P51","No sabe",0.001,0.035,0.009,0.021
"P52","Muy buena",0.144,0.171,0.16,0.204
"P52","Buena",0.145,0.147,0.144,0.288
"P52","Ni buena ni mala",0.177,0.206,0.283,0.174
"P52","Mala",0.151,0.17,0.136,0.085
"P52","Muy mala",0.383,0.26,0.229,0.233
"P52","No sabe",0,0.046,0.048,0.016
"P53","Muy buena",0.096,0.064,0.044,0.111
"P53","Buena",0.166,0.137,0.13,0.169
"P53","Ni buena ni mala",0.143,0.148,0.216,0.164
"P53","Mala",0.156,0.112,0.092,0.163
"P53","Muy mala",0.432,0.518,0.485,0.38
"P53","No sabe",0.007,0.021,0.033,0.013
"P54","Muy buena",0.215,0.241,0.281,0.323
"P54","Buena",0.182,0.188,0.185,0.179
"P54","Ni buena ni mala",0.108,0.18,0.209,0.081
"P54","Mala",0.102,0.106,0.045,0.093
