"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.415,0.453,0.33,0.504,0.529
"P04","Realizo changas o trabajos de vez en cuando",0.273,0.192,0.253,0.147,0.165
"P04","No tengo trabajo",0.102,0.128,0.154,0.15,0.176
"P04","Soy jubilado o pensionado",0.21,0.227,0.263,0.199,0.13
"P05","1",0.363,0.392,0.418,0.202,0.695
"P05","2",0.096,0.111,0.065,0.016,0.053
"P05","3",0.05,0.073,0.069,0.028,0.008
"P05","4",0.098,0.082,0.084,0.164,0.046
"P05","5",0.239,0.138,0.184,0.293,0.034
"P05","6",0.039,0.034,0.048,0.054,0.089
"P05","7",0.024,0.041,0.019,0.051,0.039
"P05","8",0.039,0.017,0.043,0.11,0
"P05","9",0.052,0.112,0.07,0.082,0.036
"P06","1",0.176,0.147,0.179,0.241,0.475
"P06","2",0.054,0.048,0.028,0.011,0
"P06","3",0.01,0.034,0.028,0.083,0.007
"P06","4",0.048,0.06,0.018,0.075,0.013
"P06","5",0.18,0.114,0.209,0.232,0.197
"P06","6",0.093,0.048,0.036,0.028,0.023
"P06","7",0.137,0.06,0.064,0.06,0.124
"P06","8",0.043,0.091,0.102,0.116,0.014
"P06","9",0.259,0.398,0.336,0.154,0.147
"P07","1",0.305,0.216,0.228,0.469,0.303
"P07","2",0.079,0.027,0.027,0.124,0.055
"P07","3",0.061,0.063,0.024,0.021,0.094
"P07","4",0.015,0.005,0.024,0.006,0.14
"P07","5",0.094,0.145,0.125,0.202,0.043
"P07","6",0.031,0.039,0.014,0.01,0.023
"P07","7",0.072,0.015,0.042,0,0
"P07","8",0.047,0.04,0.06,0.016,0.046
"P07","9",0.296,0.45,0.456,0.152,0.296
"P13","Seguro lo votaria",0.296,0.174,0.187,0.123,0.134
"P13","Quizás lo votaría",0.331,0.38,0.323,0.332,0.13
"P13","Nunca lo votaría",0.373,0.446,0.49,0.545,0.736
"P14","Lo votaría",0.411,0.731,0.435,0.122,0.117
"P14","Puede que lo vote",0.329,0.142,0.313,0.344,0.284
"P14","Nunca lo votaría",0.207,0.092,0.156,0.507,0.57
"P14","No sabe",0.053,0.035,0.096,0.027,0.029
"P15","Lo votaría",0.102,0.044,0.053,0.216,0.184
"P15","Puede que lo vote",0.079,0.052,0.081,0.125,0.051
"P15","Nunca lo votaría",0.804,0.864,0.857,0.499,0.586
"P15","No sabe",0.015,0.04,0.009,0.16,0.179
"P16","Lo votaría",0.07,0.029,0.028,0.109,0.381
"P16","Puede que lo vote",0.038,0.006,0.031,0.108,0.024
"P16","Nunca lo votaría",0.889,0.949,0.929,0.716,0.566
"P16","No sabe",0.003,0.016,0.012,0.067,0.029
"P17","La votaría",0.039,0.003,0.037,0.314,0.381
"P17","Puede que la vote",0,0.028,0.002,0.075,0
"P17","Nunca la votaría",0.951,0.953,0.955,0.567,0.609
"P17","No sabe",0.01,0.016,0.006,0.044,0.01
"P18","Lo votaría",0.642,0.241,0.16,0.229,0.169
"P18","Puede que lo vote",0.173,0.394,0.552,0.263,0.278
"P18","Nunca lo votaría",0.172,0.306,0.217,0.342,0.546
"P18","No sabe",0.013,0.059,0.071,0.166,0.007
"P19","Lo votaría",0.146,0.082,0.055,0.431,0.262
"P19","Puede que lo vote",0.426,0.275,0.433,0.187,0.161
"P19","Nunca lo votaría",0.363,0.542,0.468,0.324,0.568
"P19","No sabe",0.065,0.101,0.044,0.058,0.009
"P20","La votaría",0.332,0.539,0.764,0.128,0.034
"P20","Puede que la vote",0.399,0.194,0.182,0.259,0.316
"P20","Nunca la votaría",0.251,0.187,0.05,0.439,0.641
"P20","No sabe",0.018,0.08,0.004,0.174,0.009
"P21","Lo votaría",0.196,0.132,0.192,0.061,0.072
"P21","Puede que lo vote",0.306,0.275,0.337,0.119,0.076
"P21","Nunca lo votaría",0.453,0.53,0.378,0.571,0.842
"P21","No sabe",0.045,0.063,0.093,0.249,0.01
"P22","La votaría",0.37,0.283,0.17,0.205,0.268
"P22","Puede que la vote",0.315,0.359,0.496,0.228,0.156
"P22","Nunca la votaría",0.181,0.259,0.27,0.453,0.546
"P22","No sabe",0.134,0.099,0.064,0.114,0.03
"P23","Lo votaría",0.051,0.026,0.004,0.12,0.051
"P23","Puede que lo vote",0.086,0.073,0.081,0.184,0.012
"P23","Nunca lo votaría",0.78,0.77,0.881,0.605,0.797
"P23","No sabe",0.083,0.131,0.034,0.091,0.14
"P24","Lo votaría",0.101,0.069,0.019,0.088,0.343
"P24","Puede que lo vote",0.259,0.291,0.273,0.36,0.109
"P24","Nunca lo votaría",0.511,0.482,0.619,0.514,0.417
"P24","No sabe",0.129,0.158,0.089,0.038,0.131
"P25","Mauricio Macri por Juntos por el Cambio",0.204,0.693,0.121,0.049,0.117
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.654,0.064,0.04,0.03,0.024
"P25","Patricia Bullrich por Juntos por el Cambio",0.037,0.127,0.696,0.055,0
"P25","Facundo Manes por Juntos por el Cambio",0.03,0.032,0.024,0.42,0.22
"P25","Alberto Fernández por el Frente de Todos",0.022,0.027,0.028,0.032,0.166
