"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Tengo trabajo estable",0.337,0.533,0.456,0.516
"P04","Realizo changas o trabajos de vez en cuando",0.426,0.161,0.249,0.131
"P04","No tengo trabajo",0.093,0.139,0.145,0.156
"P04","Soy jubilado o pensionado",0.144,0.167,0.15,0.197
"P05","1",0.311,0.405,0.184,0.175
"P05","2",0.096,0.08,0.009,0.064
"P05","3",0.006,0,0.089,0.017
"P05","4",0.014,0.048,0.106,0.044
"P05","5",0.14,0.175,0.229,0.113
"P05","6",0.021,0.055,0.046,0.061
"P05","7",0.102,0.086,0.096,0.149
"P05","8",0.054,0.015,0.09,0.103
"P05","9",0.256,0.136,0.151,0.274
"P06","1",0.52,0.384,0.285,0.457
"P06","2",0.05,0.093,0.05,0.07
"P06","3",0.015,0.087,0.138,0.07
"P06","4",0.043,0.046,0.044,0.044
"P06","5",0.169,0.179,0.283,0.136
"P06","6",0.012,0.003,0.035,0.043
"P06","7",0.036,0.021,0.09,0.029
"P06","8",0.011,0.006,0.032,0.037
"P06","9",0.144,0.181,0.043,0.114
"P07","1",0.58,0.407,0.548,0.686
"P07","2",0.052,0.128,0.009,0.028
"P07","3",0.015,0.05,0.084,0.043
"P07","4",0,0,0.049,0.028
"P07","5",0.062,0.075,0.144,0.046
"P07","6",0,0,0,0.008
"P07","7",0,0,0.028,0.011
"P07","8",0.04,0.008,0.018,0.017
"P07","9",0.251,0.332,0.12,0.133
"P10","A Alberto Fernández",0.715,0.084,0.047,0.048
"P10","A Sergio Massa",0.164,0.869,0.092,0.174
"P10","A algún candidato del peronismo",0.018,0.027,0.806,0.09
"P10","A algún candidato del kirchnerismo",0.103,0.02,0.055,0.688
"P14","Lo votaría",0.204,0.063,0.063,0.002
"P14","Puede que lo vote",0.074,0.143,0.14,0.009
"P14","Nunca lo votaría",0.689,0.785,0.761,0.906
"P14","No sabe",0.033,0.009,0.036,0.083
"P15","Lo votaría",0.345,0.645,0.104,0.189
"P15","Puede que lo vote",0.283,0.194,0.459,0.448
"P15","Nunca lo votaría",0.314,0.161,0.378,0.259
"P15","No sabe",0.058,0,0.059,0.104
"P16","Lo votaría",0.722,0.219,0.108,0.189
"P16","Puede que lo vote",0.203,0.596,0.449,0.473
"P16","Nunca lo votaría",0.03,0.144,0.385,0.207
"P16","No sabe",0.045,0.041,0.058,0.131
"P17","La votaría",0.665,0.573,0.335,0.89
"P17","Puede que la vote",0.212,0.265,0.298,0.058
"P17","Nunca la votaría",0.1,0.141,0.311,0.019
"P17","No sabe",0.023,0.021,0.056,0.033
"P18","Lo votaría",0.114,0.105,0.022,0.09
"P18","Puede que lo vote",0.104,0.088,0.281,0.012
"P18","Nunca lo votaría",0.748,0.789,0.692,0.862
"P18","No sabe",0.034,0.018,0.005,0.036
"P19","Lo votaría",0.056,0.116,0.065,0.008
"P19","Puede que lo vote",0.173,0.105,0.291,0.114
"P19","Nunca lo votaría",0.599,0.684,0.572,0.774
"P19","No sabe",0.172,0.095,0.072,0.104
"P20","La votaría",0.019,0.077,0.203,0.003
"P20","Puede que la vote",0.078,0.037,0.064,0.04
"P20","Nunca la votaría",0.777,0.865,0.635,0.927
"P20","No sabe",0.126,0.021,0.098,0.03
"P21","Lo votaría",0.05,0.069,0.086,0.009
"P21","Puede que lo vote",0.079,0.03,0.157,0.019
"P21","Nunca lo votaría",0.757,0.824,0.67,0.952
"P21","No sabe",0.114,0.077,0.087,0.02
"P22","La votaría",0.026,0.068,0.043,0.004
"P22","Puede que la vote",0.083,0.104,0.193,0.002
"P22","Nunca la votaría",0.819,0.796,0.736,0.962
"P22","No sabe",0.072,0.032,0.028,0.032
"P23","Lo votaría",0.174,0.223,0.079,0.431
"P23","Puede que lo vote",0.147,0.29,0.19,0.294
"P23","Nunca lo votaría",0.51,0.407,0.679,0.221
"P23","No sabe",0.169,0.08,0.052,0.054
"P24","Lo votaría",0.092,0.124,0.032,0.055
"P24","Puede que lo vote",0.115,0.183,0.136,0.079
"P24","Nunca lo votaría",0.593,0.567,0.671,0.772
"P24","No sabe",0.2,0.126,0.161,0.094
"P25","Mauricio Macri por Juntos por el Cambio",0.059,0.011,0.062,0.002
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.052,0.033,0.116,0
"P25","Patricia Bullrich por Juntos por el Cambio",0.017,0.014,0.08,0.002
"P25","Facundo Manes por Juntos por el Cambio",0.006,0.042,0.045,0.021
"P25","Alberto Fernández por el Frente de Todos",0.413,0.197,0.142,0.029
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.378,0.596,0.312,0.903
"P25","Javier Milei por los liberales libertarios",0.012,0,0,0.004
"P25","Nicolás del Caño por la izquierda",0.043,0,0.045,0.004
"P25","Otros candidatos",0,0.049,0.074,0.019
"P25","Aún no lo tengo decidido",0.02,0.058,0.124,0.016
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.04,0.042,0.039,0
"P26","Patricia Bullrich por Juntos por el Cambio",0.029,0.023,0.115,0.005
"P26","Facundo Manes por Juntos por el Cambio",0.063,0.034,0.108,0.02
"P26","Wado de Pedro por el Frente de Todos",0.265,0.061,0.145,0.54
"P26","Sergio Massa por el Frente de Todos",0.451,0.807,0.314,0.302
"P26","Javier Milei por los liberales libertarios",0.031,0.019,0.041,0.017
"P26","Nicolás del Caño por la izquierda",0.04,0,0.043,0.006
"P26","Otros candidatos",0.038,0,0.088,0.019
"P26","Aún no lo tengo decidido",0.043,0.014,0.107,0.091
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.723,0.729,0.427,0.961
"P27","Mauricio Macri por Juntos por el Cambio",0.044,0.031,0.211,0.001
"P27","Javier Milei por los liberales libertarios",0.075,0,0.034,0.009
"P27","Nicolás del Caño por la izquierda",0.054,0.059,0.108,0
"P27","Otro candidato",0.042,0.108,0.134,0.011
"P27","Aún no lo tengo decidido",0.062,0.073,0.086,0.018
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.165,0.262,0.093
"P29","Wado de Pedro por el Frente de Todos",0.49,0.558,0.245,0.737
"P29","Javier Milei por los liberales libertarios",0.052,0,0.066,0.013
"P29","Nicolás del Caño por la izquierda",0.011,0.039,0.043,0.006
"P29","Otro candidato",0.211,0.094,0.234,0.049
