"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.487,0.388,0.458,0.428,0.527,0.428
"P04","Realizo changas o trabajos de vez en cuando",0.18,0.193,0.287,0.3,0.173,0.148
"P04","No tengo trabajo",0.149,0.152,0.179,0.243,0.179,0.157
"P04","Soy jubilado o pensionado",0.184,0.267,0.076,0.029,0.121,0.267
"P05","1",0.285,0.424,0.328,0.128,0.17,0.176
"P05","2",0.052,0.098,0.086,0.087,0.082,0.084
"P05","3",0.014,0.067,0.052,0,0.033,0.069
"P05","4",0.039,0.108,0.1,0.114,0.122,0.123
"P05","5",0.108,0.18,0.281,0.242,0.307,0.297
"P05","6",0.052,0.016,0.009,0.044,0.13,0.035
"P05","7",0.12,0.028,0.035,0.037,0.034,0.098
"P05","8",0.094,0.021,0.025,0.023,0.057,0.025
"P05","9",0.236,0.058,0.084,0.325,0.065,0.093
"P06","1",0.499,0.123,0.142,0.279,0.162,0.225
"P06","2",0.069,0.031,0.045,0.075,0.05,0.045
"P06","3",0.055,0.029,0.002,0.134,0.016,0.082
"P06","4",0.027,0.052,0.009,0.011,0.069,0.056
"P06","5",0.129,0.182,0.233,0.28,0.31,0.276
"P06","6",0.03,0.055,0.05,0.063,0.109,0.039
"P06","7",0.027,0.077,0.043,0.009,0.077,0.043
"P06","8",0.04,0.087,0.129,0.006,0.081,0.025
"P06","9",0.124,0.364,0.347,0.143,0.126,0.209
"P07","1",0.623,0.191,0.213,0.595,0.287,0.344
"P07","2",0.044,0.025,0.026,0.015,0.08,0.032
"P07","3",0.034,0.048,0.015,0.083,0.044,0.028
"P07","4",0.025,0.023,0.011,0.013,0.022,0.008
"P07","5",0.036,0.13,0.14,0.017,0.185,0.14
"P07","6",0.017,0.028,0.045,0,0.008,0.022
"P07","7",0.01,0.055,0.027,0,0.015,0.054
"P07","8",0.014,0.042,0.068,0.043,0.055,0.059
"P07","9",0.197,0.458,0.455,0.234,0.304,0.313
"P09","Del Frente de Todos y el peronismo",0.824,0.042,0.037,0.322,0.117,0.134
"P09","De Juntos por el cambio",0.056,0.824,0.177,0.043,0.468,0.211
"P09","De los Liberales libertarios",0.024,0.081,0.662,0.078,0.053,0.098
"P09","De la Izquierda",0.011,0.008,0.007,0.277,0.029,0.044
"P09","No sabe",0.085,0.045,0.117,0.28,0.333,0.513
"P10","A Alberto Fernández",0.124,0.245,0.169,0.271,0.12,0.246
"P10","A Sergio Massa",0.27,0.036,0.148,0.356,0.567,0.234
"P10","A algún candidato del peronismo",0.092,0.699,0.169,0.373,0.296,0.203
"P10","A algún candidato del kirchnerismo",0.514,0.02,0.514,0,0.017,0.317
"P11","A Alberto Fernández",0.114,0.188,0.535,0.271,0.134,0.21
"P11","A Sergio Massa",0.139,0.161,0,0.356,0.415,0.3
"P11","A algún candidato del peronismo",0.047,0.631,0.169,0.373,0.295,0.203
"P11","A Cristina Fernández de Kirchner",0.7,0.02,0.296,0,0.156,0.287
"P12","A Horacio Rodriguez Larreta",0.153,0.191,0.179,0.419,0.228,0.366
"P12","A Mauricio Macri",0.014,0.43,0.155,0.178,0.09,0.214
"P12","A Patricia Bullrich",0.249,0.339,0.516,0.211,0.455,0.305
"P12","A Facundo Manes",0.348,0.02,0.15,0,0.157,0.085
"P12","A Gerardo Morales",0.236,0.02,0,0.192,0.07,0.03
"P13","Seguro lo votaria",0.083,0.156,0.624,0.16,0.115,0.166
"P13","Quizás lo votaría",0.19,0.368,0.233,0.37,0.375,0.362
"P13","Nunca lo votaría",0.727,0.476,0.143,0.47,0.51,0.472
"P14","Lo votaría",0.026,0.659,0.116,0.074,0.042,0.059
"P14","Puede que lo vote",0.032,0.256,0.395,0.041,0.232,0.223
"P14","Nunca lo votaría",0.878,0.061,0.376,0.837,0.55,0.519
"P14","No sabe",0.064,0.024,0.113,0.048,0.176,0.199
"P15","Lo votaría",0.268,0.064,0.029,0.113,0.115,0.039
"P15","Puede que lo vote",0.393,0.068,0.166,0.11,0.114,0.172
"P15","Nunca lo votaría",0.278,0.851,0.743,0.513,0.681,0.6
"P15","No sabe",0.061,0.017,0.062,0.264,0.09,0.189
"P16","Lo votaría",0.293,0.013,0.026,0.094,0.02,0.021
"P16","Puede que lo vote",0.429,0.023,0.03,0.284,0.109,0.086
"P16","Nunca lo votaría",0.188,0.955,0.915,0.463,0.793,0.723
"P16","No sabe",0.09,0.009,0.029,0.159,0.078,0.17
"P17","La votaría",0.821,0.009,0.008,0.184,0.053,0.054
"P17","Puede que la vote",0.101,0.012,0.033,0.218,0.047,0.099
"P17","Nunca la votaría",0.027,0.974,0.937,0.565,0.83,0.706
"P17","No sabe",0.051,0.005,0.022,0.033,0.07,0.141
"P18","Lo votaría",0.105,0.321,0.069,0.015,0.13,0.087
"P18","Puede que lo vote",0.061,0.398,0.257,0.134,0.348,0.324
"P18","Nunca lo votaría",0.809,0.238,0.58,0.795,0.403,0.427
"P18","No sabe",0.025,0.043,0.094,0.056,0.119,0.162
"P19","Lo votaría",0.04,0.08,0.088,0.039,0.191,0.113
"P19","Puede que lo vote",0.119,0.361,0.226,0.154,0.318,0.257
"P19","Nunca lo votaría",0.72,0.49,0.549,0.545,0.366,0.391
"P19","No sabe",0.121,0.069,0.137,0.262,0.125,0.239
"P20","La votaría",0.022,0.593,0.299,0.023,0.288,0.16
"P20","Puede que la vote",0.033,0.244,0.352,0.012,0.193,0.218
"P20","Nunca la votaría",0.882,0.122,0.283,0.918,0.418,0.48
"P20","No sabe",0.063,0.041,0.066,0.047,0.101,0.142
"P21","Lo votaría",0.03,0.181,0.71,0.037,0.091,0.049
"P21","Puede que lo vote",0.025,0.295,0.203,0.205,0.179,0.248
"P21","Nunca lo votaría",0.88,0.46,0.061,0.653,0.605,0.563
"P21","No sabe",0.065,0.064,0.026,0.105,0.125,0.14
"P22","La votaría",0.028,0.286,0.097,0,0.087,0.08
"P22","Puede que la vote",0.048,0.383,0.289,0.061,0.285,0.148
"P22","Nunca la votaría",0.88,0.231,0.529,0.809,0.535,0.514
"P22","No sabe",0.044,0.1,0.085,0.13,0.093,0.258
"P23","Lo votaría",0.33,0.036,0.03,0.027,0.051,0.042
"P23","Puede que lo vote",0.279,0.07,0.079,0.146,0.147,0.042
"P23","Nunca lo votaría",0.289,0.828,0.759,0.685,0.707,0.65
"P23","No sabe",0.102,0.066,0.132,0.142,0.095,0.266
"P24","Lo votaría",0.054,0.08,0.018,0.007,0.092,0.029
"P24","Puede que lo vote",0.075,0.278,0.166,0.218,0.257,0.118
"P24","Nunca lo votaría",0.712,0.542,0.643,0.462,0.552,0.51
"P24","No sabe",0.159,0.1,0.173,0.313,0.099,0.343
"P25","Mauricio Macri por Juntos por el Cambio",0.003,0.442,0.036,0.017,0.027,0.04
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.171,0.042,0.055,0.154,0.157
"P25","Patricia Bullrich por Juntos por el Cambio",0.008,0.316,0.154,0.017,0.227,0.134
"P25","Facundo Manes por Juntos por el Cambio",0.008,0.021,0.064,0.052,0.177,0.129
"P25","Alberto Fernández por el Frente de Todos",0.122,0.001,0.017,0.167,0.024,0.023
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.818,0.009,0,0.014,0.013,0.051
"P25","Javier Milei por los liberales libertarios",0,0.011,0.66,0.096,0.013,0.021
"P25","Nicolás del Caño por la izquierda",0.003,0.002,0,0.37,0,0.009
"P25","Otros candidatos",0.016,0.004,0.003,0.104,0.248,0.047
"P25","Aún no lo tengo decidido",0.012,0.023,0.024,0.108,0.117,0.389
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.014,0.281,0.044,0.121,0.109,0.12
"P26","Patricia Bullrich por Juntos por el Cambio",0.011,0.576,0.178,0.046,0.291,0.184
"P26","Facundo Manes por Juntos por el Cambio",0.012,0.073,0.073,0.033,0.175,0.126
"P26","Wado de Pedro por el Frente de Todos",0.383,0.005,0.007,0.036,0.053,0.056
"P26","Sergio Massa por el Frente de Todos",0.422,0.004,0.01,0.146,0.104,0.095
"P26","Javier Milei por los liberales libertarios",0.038,0.031,0.602,0.1,0.041,0.018
"P26","Nicolás del Caño por la izquierda",0.011,0.001,0.081,0.251,0.001,0.013
"P26","Otros candidatos",0.019,0.006,0,0.104,0.099,0.047
"P26","Aún no lo tengo decidido",0.09,0.023,0.005,0.163,0.127,0.341
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.149,0.652,0.045,0.028,0.269,0.183
"P29","Wado de Pedro por el Frente de Todos",0.647,0.118,0.004,0.043,0.031,0.057
"P29","Javier Milei por los liberales libertarios",0.023,0.109,0.891,0.112,0.022,0.033
"P29","Nicolás del Caño por la izquierda",0.012,0.001,0,0.561,0.004,0.022
"P29","Otro candidato",0.064,0.061,0.034,0.075,0.599,0.103
"P29","Aún no lo tengo decidido",0.105,0.059,0.026,0.181,0.075,0.602
"P31","Sergio Massa por el Frente de Todos",0.655,0.05,0.028,0.167,0.176,0.094
"P31","Patricia Bullrich por Juntos por el Cambio",0.077,0.81,0.164,0.037,0.314,0.212
"P31","Javier Milei por los liberales libertarios",0.023,0.07,0.772,0.114,0.03,0.017
"P31","Nicolás del Caño por la izquierda",0.02,0.011,0.007,0.528,0.019,0.023
"P31","Otro candidato",0.105,0.024,0.008,0.061,0.425,0.082
"P31","Aún no lo tengo decidido",0.12,0.035,0.021,0.093,0.036,0.572
"P33","Sergio Massa por el Frente de Todos",0.627,0.062,0.032,0.19,0.138,0.078
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.097,0.657,0.068,0.046,0.344,0.196
"P33","Javier Milei por los liberales libertarios",0.036,0.141,0.837,0.109,0.028,0.04
