"var","categoria","Cristina Fernández de Kirchner por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.49,0.36,0.447,0.77,0.574,0.484
"P04","Realizo changas o trabajos de vez en cuando",0.164,0.215,0.313,0.015,0.159,0.119
"P04","No tengo trabajo",0.155,0.166,0.176,0.174,0.157,0.215
"P04","Soy jubilado o pensionado",0.191,0.259,0.064,0.041,0.11,0.182
"P05","1",0.227,0.39,0.326,0.37,0.225,0.225
"P05","2",0.066,0.088,0.123,0,0.063,0.091
"P05","3",0.01,0.067,0.04,0.043,0.023,0.107
"P05","4",0.037,0.116,0.127,0,0.162,0.061
"P05","5",0.091,0.224,0.203,0.197,0.264,0.271
"P05","6",0.06,0.034,0.011,0.073,0.09,0.032
"P05","7",0.133,0.023,0.057,0.049,0.041,0.119
"P05","8",0.112,0.019,0.023,0.08,0.028,0.002
"P05","9",0.264,0.039,0.09,0.188,0.104,0.092
"P06","1",0.508,0.145,0.106,0.198,0.168,0.319
"P06","2",0.07,0.029,0.041,0.173,0.015,0.059
"P06","3",0.069,0.027,0.003,0.296,0.023,0.062
"P06","4",0.028,0.035,0.018,0,0.134,0.09
"P06","5",0.111,0.204,0.217,0.179,0.425,0.276
"P06","6",0.035,0.057,0.035,0.043,0.075,0.043
"P06","7",0.034,0.072,0.043,0.04,0.069,0.022
"P06","8",0.032,0.101,0.13,0.009,0.023,0.014
"P06","9",0.113,0.33,0.407,0.062,0.068,0.115
"P07","1",0.626,0.204,0.209,0.689,0.296,0.372
"P07","2",0.044,0.038,0.022,0,0.046,0.027
"P07","3",0.038,0.038,0.013,0.197,0.063,0.078
"P07","4",0.028,0.02,0.008,0,0.025,0.011
"P07","5",0.033,0.118,0.152,0.037,0.23,0.118
"P07","6",0.012,0.023,0.043,0,0.008,0.063
"P07","7",0.007,0.049,0.039,0,0.053,0
"P07","8",0.012,0.066,0.059,0,0.012,0.045
"P07","9",0.2,0.444,0.455,0.077,0.267,0.286
"P09","Del Frente de Todos y el peronismo",0.862,0.058,0.015,0.285,0.198,0.213
"P09","De Juntos por el cambio",0.05,0.75,0.202,0.04,0.316,0.244
"P09","De los Liberales libertarios",0.015,0.118,0.699,0,0.018,0.029
"P09","De la Izquierda",0.019,0.004,0.008,0.478,0.032,0.014
"P09","No sabe",0.054,0.07,0.076,0.197,0.436,0.5
"P10","A Alberto Fernández",0.122,0.3,0,0,0.029,0.158
"P10","A Sergio Massa",0.272,0.02,0.442,0.463,0.45,0.358
"P10","A algún candidato del peronismo",0.097,0.524,0.115,0.394,0.237,0.246
"P10","A algún candidato del kirchnerismo",0.509,0.156,0.443,0.143,0.284,0.238
"P11","A Alberto Fernández",0.119,0.289,0,0,0.041,0.158
"P11","A Sergio Massa",0.122,0.21,0,0.464,0.448,0.358
"P11","A algún candidato del peronismo",0.052,0.501,0.115,0.35,0.215,0.246
"P11","A Cristina Fernández de Kirchner",0.707,0,0.885,0.186,0.296,0.238
"P12","A Horacio Rodriguez Larreta",0.345,0.171,0.26,0.62,0.26,0.373
"P12","A Mauricio Macri",0.021,0.325,0.28,0.38,0.315,0.483
"P12","A Patricia Bullrich",0.031,0.458,0.379,0,0.013,0.021
"P12","A Facundo Manes",0.258,0.03,0.064,0,0.313,0.087
"P12","A Gerardo Morales",0.345,0.016,0.017,0,0.099,0.036
"P13","Seguro lo votaria",0.042,0.124,0.646,0,0.105,0.157
"P13","Quizás lo votaría",0.021,0.379,0.268,0,0.288,0.447
"P13","Nunca lo votaría",0.937,0.497,0.086,1,0.607,0.396
"P14","Lo votaría",0.026,0.508,0.172,0.015,0.078,0.12
"P14","Puede que lo vote",0.02,0.284,0.385,0.107,0.174,0.126
"P14","Nunca lo votaría",0.888,0.141,0.332,0.816,0.635,0.585
"P14","No sabe",0.066,0.067,0.111,0.062,0.113,0.169
"P15","Lo votaría",0.27,0.04,0.017,0,0.115,0.097
"P15","Puede que lo vote",0.375,0.078,0.142,0.193,0.192,0.143
"P15","Nunca lo votaría",0.298,0.858,0.802,0.489,0.565,0.539
"P15","No sabe",0.057,0.024,0.039,0.318,0.128,0.221
"P16","Lo votaría",0.283,0.032,0.01,0.043,0.012,0.041
"P16","Puede que lo vote",0.43,0.024,0.032,0.285,0.202,0.198
"P16","Nunca lo votaría",0.206,0.937,0.932,0.389,0.695,0.593
"P16","No sabe",0.081,0.007,0.026,0.283,0.091,0.168
"P17","La votaría",0.826,0.013,0.018,0.094,0.096,0.097
"P17","Puede que la vote",0.106,0.022,0.014,0.263,0.096,0.133
"P17","Nunca la votaría",0.029,0.96,0.934,0.51,0.708,0.604
"P17","No sabe",0.039,0.005,0.034,0.133,0.1,0.166
"P18","Lo votaría",0.116,0.261,0.095,0,0.123,0.045
"P18","Puede que lo vote",0.044,0.439,0.225,0.23,0.333,0.266
"P18","Nunca lo votaría",0.826,0.235,0.601,0.664,0.458,0.529
"P18","No sabe",0.014,0.065,0.079,0.106,0.086,0.16
"P19","Lo votaría",0.026,0.102,0.07,0.06,0.283,0.051
"P19","Puede que lo vote",0.152,0.362,0.212,0.245,0.18,0.265
"P19","Nunca lo votaría",0.718,0.473,0.583,0.536,0.384,0.363
"P19","No sabe",0.104,0.063,0.135,0.159,0.153,0.321
"P20","La votaría",0.003,0.667,0.22,0.06,0.047,0.048
"P20","Puede que la vote",0.031,0.24,0.383,0.015,0.166,0.182
"P20","Nunca la votaría",0.906,0.06,0.325,0.852,0.682,0.631
"P20","No sabe",0.06,0.033,0.072,0.073,0.105,0.139
"P21","Lo votaría",0.018,0.201,0.729,0.06,0.003,0.012
"P21","Puede que lo vote",0.018,0.315,0.196,0.112,0.168,0.17
"P21","Nunca lo votaría",0.909,0.404,0.07,0.755,0.751,0.611
"P21","No sabe",0.055,0.08,0.005,0.073,0.078,0.207
"P22","La votaría",0.02,0.249,0.117,0,0.03,0.081
"P22","Puede que la vote",0.011,0.384,0.267,0.106,0.205,0.257
"P22","Nunca la votaría",0.945,0.27,0.527,0.779,0.597,0.443
"P22","No sabe",0.024,0.097,0.089,0.115,0.168,0.219
"P23","Lo votaría",0.359,0.055,0.018,0,0.046,0.064
"P23","Puede que lo vote",0.29,0.074,0.072,0.127,0.105,0.068
"P23","Nunca lo votaría",0.284,0.842,0.733,0.666,0.623,0.612
"P23","No sabe",0.067,0.029,0.177,0.207,0.226,0.256
"P24","Lo votaría",0.065,0.08,0.006,0.015,0.059,0.034
"P24","Puede que lo vote",0.075,0.288,0.122,0.175,0.278,0.146
"P24","Nunca lo votaría",0.739,0.55,0.676,0.618,0.421,0.457
"P24","No sabe",0.121,0.082,0.196,0.192,0.242,0.363
"P25","Mauricio Macri por Juntos por el Cambio",0.013,0.31,0.071,0,0.094,0.117
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0,0.154,0.075,0.182,0.188,0.146
"P25","Patricia Bullrich por Juntos por el Cambio",0.001,0.396,0.084,0,0.02,0.053
"P25","Facundo Manes por Juntos por el Cambio",0.003,0.035,0.042,0.075,0.267,0.093
"P25","Alberto Fernández por el Frente de Todos",0.096,0.011,0.008,0,0.017,0.069
"P25","Cristina Fernández de Kirchner por el Frente de Todos",0.841,0.003,0.009,0.094,0.101,0.093
"P25","Javier Milei por los liberales libertarios",0,0.033,0.692,0,0.009,0.007
"P25","Nicolás del Caño por la izquierda",0.005,0.002,0,0.495,0,0
"P25","Otros candidatos",0.022,0.014,0.002,0.015,0.224,0.106
"P25","Aún no lo tengo decidido",0.019,0.042,0.017,0.139,0.08,0.316
"P26","Horacio Rodríguez Larreta por Juntos por el Cambio",0.015,0.186,0.108,0.059,0.179,0.167
"P26","Patricia Bullrich por Juntos por el Cambio",0.005,0.616,0.101,0.123,0.083,0.12
"P26","Facundo Manes por Juntos por el Cambio",0.017,0.108,0.045,0.075,0.222,0.053
"P26","Wado de Pedro por el Frente de Todos",0.406,0.013,0.01,0.009,0.078,0.113
"P26","Sergio Massa por el Frente de Todos",0.43,0.003,0.003,0.102,0.148,0.146
"P26","Javier Milei por los liberales libertarios",0.019,0.033,0.639,0.044,0.022,0.032
"P26","Nicolás del Caño por la izquierda",0.014,0.004,0.082,0.339,0.006,0
"P26","Otros candidatos",0.02,0.01,0.002,0.249,0.107,0.018
"P26","Aún no lo tengo decidido",0.074,0.027,0.01,0,0.155,0.351
"P27","Cristina Fernández de Kirchner por el Frente de Todos",0.95,0.021,0.011,0.094,0.095,0.176
"P27","Mauricio Macri por Juntos por el Cambio",0.012,0.687,0.106,0.015,0.127,0.182
"P27","Javier Milei por los liberales libertarios",0.004,0.107,0.817,0,0.042,0.01
"P27","Nicolás del Caño por la izquierda",0.004,0.005,0.022,0.673,0.002,0.092
"P27","Otro candidato",0.016,0.106,0.018,0.121,0.54,0.046
"P27","Aún no lo tengo decidido",0.014,0.074,0.026,0.097,0.194,0.494
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.114,0.589,0.084,0.104,0.207,0.157
"P29","Wado de Pedro por el Frente de Todos",0.681,0.069,0.021,0.104,0.173,0.091
"P29","Javier Milei por los liberales libertarios",0.015,0.156,0.854,0,0.025,0
"P29","Nicolás del Caño por la izquierda",0.015,0.002,0.003,0.611,0.017,0.008
"P29","Otro candidato",0.087,0.105,0.008,0.144,0.452,0.059
"P29","Aún no lo tengo decidido",0.088,0.079,0.03,0.037,0.126,0.685
"P31","Sergio Massa por el Frente de Todos",0.692,0.054,0.013,0.076,0.235,0.209
"P31","Patricia Bullrich por Juntos por el Cambio",0.056,0.86,0.058,0.015,0.062,0.107
"P31","Javier Milei por los liberales libertarios",0.003,0.037,0.893,0,0.021,0.018
"P31","Nicolás del Caño por la izquierda",0.025,0.01,0.007,0.78,0.019,0.05
"P31","Otro candidato",0.121,0.014,0.013,0.069,0.537,0.022
"P31","Aún no lo tengo decidido",0.103,0.025,0.016,0.06,0.126,0.594
"P33","Sergio Massa por el Frente de Todos",0.654,0.069,0.026,0.162,0.159,0.129
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.643,0.078,0.11,0.203,0.126
"P33","Javier Milei por los liberales libertarios",0.012,0.153,0.879,0,0.002,0.018
"P33","Nicolás del Caño por la izquierda",0.023,0.005,0,0.703,0.06,0.042
"P33","Otro candidato",0.126,0.076,0.009,0.016,0.473,0.12
"P33","Aún no lo tengo decidido",0.091,0.054,0.008,0.009,0.103,0.565
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.911,0.081,0.007,0.094,0.116,0.111
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.043,0.628,0.079,0.059,0.247,0.179
"P35","Javier Milei por los liberales libertarios",0.001,0.176,0.886,0.044,0.009,0.007
"P35","Nicolás del Caño por la izquierda",0.003,0.001,0,0.727,0.042,0.008
"P35","Otro candidato",0.02,0.082,0.023,0.076,0.498,0.069
"P35","Aún no lo tengo decidido",0.022,0.032,0.005,0,0.088,0.626
"P36","Sergio Massa por el Frente de Todos",0.771,0.031,0.019,0.101,0.162,0.076
"P36","Mauricio Macri por Juntos por el Cambio",0.023,0.733,0.084,0.049,0.143,0.23
"P36","Javier Milei por los liberales libertarios",0.004,0.097,0.867,0.044,0.018,0.022
"P36","Nicolás del Caño por la izquierda",0.022,0.003,0.008,0.73,0.044,0.058
"P36","Otro candidato",0.124,0.085,0.006,0.076,0.493,0.085
"P36","Aún no lo tengo decidido",0.056,0.051,0.016,0,0.14,0.529
"P37","Wado de Pedro por el Frente de Todos",0.759,0.008,0.007,0.06,0.131,0.124
"P37","Mauricio Macri por Juntos por el Cambio",0.027,0.759,0.098,0.009,0.133,0.105
"P37","Javier Milei por los liberales libertarios",0.004,0.089,0.86,0,0,0.013
"P37","Nicolás del Caño por la izquierda",0.018,0.016,0.006,0.821,0.008,0.042
"P37","Otro candidato",0.094,0.09,0.008,0.11,0.628,0.119
"P37","Aún no lo tengo decidido",0.098,0.038,0.021,0,0.1,0.597
"P38","Wado de Pedro por el Frente de Todos",0.755,0.012,0.002,0.06,0.139,0.088
"P38","Patricia Bullrich por Juntos por el Cambio",0.016,0.917,0.072,0.015,0.072,0.057
"P38","Javier Milei por los liberales libertarios",0.002,0.035,0.906,0,0.006,0.009
"P38","Nicolás del Caño por la izquierda",0.015,0.001,0.009,0.925,0.011,0
"P38","Otro candidato",0.105,0.018,0.002,0,0.738,0.085
"P38","Aún no lo tengo decidido",0.107,0.017,0.009,0,0.034,0.761
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.845,0.112,0.031,0.433,0.215,0.177
"P40","Mauricio Macri por Juntos por el Cambio",0.14,0.78,0.498,0.043,0.211,0.24
"P40","No sabe",0.015,0.108,0.471,0.524,0.574,0.583
"P41","Wado de Pedro por el Frente de Todos",0.83,0.026,0.035,0.316,0.118,0.159
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.808,0.45,0.186,0.422,0.259
"P41","No sabe",0.151,0.166,0.515,0.498,0.46,0.582
"P42","Sergio Massa por el Frente de Todos",0.796,0.045,0.034,0.604,0.268,0.132
"P42","Patricia Bullrich por Juntos por el Cambio",0.023,0.916,0.623,0.027,0.218,0.251
"P42","No sabe",0.181,0.039,0.343,0.369,0.514,0.617
"P43","Sergio Massa por el Frente de Todos",0.809,0.044,0.03,0.636,0.348,0.175
"P43","Mauricio Macri por Juntos por el Cambio",0.028,0.844,0.665,0.078,0.238,0.257
"P43","No sabe",0.163,0.112,0.305,0.286,0.414,0.568
"P44","Sergio Massa por el Frente de Todos",0.817,0.051,0.007,0.574,0.309,0.18
"P44","Javier Milei por los liberales libertarios",0.024,0.53,0.907,0.088,0.12,0.186
"P44","No sabe",0.159,0.419,0.086,0.338,0.571,0.634
"P45","Horacio Rodríguez Larreta por Juntos por el Cambio",0.401,0.331,0.051,0.365,0.308,0.234
"P45","Javier Milei por los liberales libertarios",0.025,0.385,0.885,0.087,0.16,0.108
"P45","No sabe",0.574,0.284,0.064,0.548,0.532,0.658
"P46","Patricia Bullrich por Juntos por el Cambio",0.075,0.877,0.552,0.018,0.223,0.212
"P46","Wado de Pedro por el Frente de Todos",0.699,0.055,0.15,0.381,0.128,0.146
"P46","No sabe",0.226,0.068,0.298,0.601,0.649,0.642
"P47","Patricia Bullrich por Juntos por el Cambio",0.034,0.966,0.65,0.039,0.263,0.279
"P47","Cristina Fernández de Kirchner por el Frente de Todos",0.927,0.011,0.049,0.412,0.184,0.195
"P47","No sabe",0.039,0.023,0.301,0.549,0.553,0.526
"P48","Muy buena",0.109,0.113,0.043,0,0.116,0.064
"P48","Buena",0.444,0.013,0.021,0.088,0.064,0.042
"P48","Ni buena ni mala",0.265,0.018,0.088,0.445,0.216,0.247
"P48","Mala",0.128,0.068,0.041,0.181,0.173,0.158
"P48","Muy mala",0.029,0.786,0.802,0.242,0.431,0.453
"P48","No sabe",0.025,0.002,0.005,0.044,0,0.036
"P49","Muy buena",0.134,0.012,0.013,0.049,0.031,0.07
"P49","Buena",0.365,0.015,0.013,0.039,0.084,0.044
"P49","Ni buena ni mala",0.341,0.015,0.069,0.352,0.193,0.247
"P49","Mala",0.101,0.119,0.046,0.262,0.184,0.148
"P49","Muy mala",0.047,0.833,0.856,0.254,0.508,0.446
"P49","No sabe",0.012,0.006,0.003,0.044,0,0.045
"P50","Muy buena",0.691,0.024,0.015,0.098,0.053,0.169
"P50","Buena",0.174,0.011,0.018,0.087,0.051,0.027
"P50","Ni buena ni mala",0.104,0.002,0.074,0.301,0.116,0.142
"P50","Mala",0.01,0.048,0.023,0.216,0.168,0.07
"P50","Muy mala",0.021,0.913,0.868,0.254,0.587,0.549
"P50","No sabe",0,0.002,0.002,0.044,0.025,0.043
"P51","Muy buena",0.124,0.358,0.093,0,0.079,0.084
"P51","Buena",0.04,0.276,0.207,0.066,0.104,0.237
"P51","Ni buena ni mala",0.024,0.178,0.293,0.148,0.211,0.095
"P51","Mala",0.187,0.043,0.164,0.122,0.171,0.169
"P51","Muy mala",0.608,0.144,0.243,0.619,0.415,0.355
"P51","No sabe",0.017,0.001,0,0.045,0.02,0.06
"P52","Muy buena",0.027,0.323,0.141,0.074,0.077,0.13
"P52","Buena",0.018,0.299,0.161,0.091,0.271,0.174
"P52","Ni buena ni mala",0.08,0.242,0.231,0.049,0.376,0.297
"P52","Mala",0.224,0.078,0.175,0.228,0.04,0.071
"P52","Muy mala",0.622,0.051,0.287,0.514,0.219,0.254
"P52","No sabe",0.029,0.007,0.005,0.044,0.017,0.074
"P53","Muy buena",0.177,0.024,0.048,0.038,0.048,0.109
"P53","Buena",0.341,0.064,0.025,0.156,0.185,0.072
"P53","Ni buena ni mala",0.255,0.098,0.088,0.182,0.243,0.139
"P53","Mala",0.111,0.14,0.11,0.336,0.152,0.258
"P53","Muy mala",0.091,0.671,0.723,0.243,0.372,0.368
"P53","No sabe",0.025,0.003,0.006,0.045,0,0.054
"P54","Muy buena",0.06,0.528,0.195,0,0.035,0.126
"P54","Buena",0.042,0.285,0.285,0,0.128,0.155
"P54","Ni buena ni mala",0.119,0.061,0.213,0.183,0.27,0.219
"P54","Mala",0.115,0.044,0.092,0.17,0.154,0.138
"P54","Muy mala",0.645,0.078,0.169,0.647,0.413,0.306
"P54","No sabe",0.019,0.004,0.046,0,0,0.056
"P55","Muy buena",0.024,0.163,0.575,0,0.003,0.016
"P55","Buena",0.006,0.224,0.296,0.014,0.046,0.089
"P55","Ni buena ni mala",0.093,0.373,0.104,0.051,0.393,0.403
"P55","Mala",0.176,0.134,0.001,0.158,0.15,0.142
"P55","Muy mala",0.681,0.086,0.018,0.777,0.396,0.273
"P55","No sabe",0.02,0.02,0.006,0,0.012,0.077
"P56","Muy buena",0.017,0.33,0.193,0.05,0.082,0.101
"P56","Buena",0.007,0.36,0.219,0.014,0.186,0.123
"P56","Ni buena ni mala",0.042,0.187,0.205,0.149,0.214,0.278
"P56","Mala",0.197,0.08,0.164,0.118,0.099,0.206
"P56","Muy mala",0.731,0.032,0.208,0.669,0.412,0.208
"P56","No sabe",0.006,0.011,0.011,0,0.007,0.084
"P57","Muy buena",0.387,0.046,0.047,0.04,0.055,0.041
"P57","Buena",0.27,0.051,0.009,0,0.054,0.068
"P57","Ni buena ni mala",0.15,0.123,0.213,0.306,0.266,0.263
"P57","Mala",0.09,0.211,0.15,0.286,0.21,0.165
