"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.536,0.369,0.464,0.58,0.567,0.336
"P04","Realizo changas o trabajos de vez en cuando",0.137,0.211,0.286,0.091,0.215,0.183
"P04","No tengo trabajo",0.138,0.161,0.187,0.263,0.101,0.278
"P04","Soy jubilado o pensionado",0.189,0.259,0.063,0.066,0.117,0.203
"P05","1",0.187,0.39,0.35,0.286,0.254,0.302
"P05","2",0.047,0.095,0.109,0.027,0.078,0.1
"P05","3",0.011,0.072,0.049,0.051,0.036,0.033
"P05","4",0.054,0.113,0.126,0.012,0.085,0.106
"P05","5",0.114,0.212,0.195,0.105,0.245,0.191
"P05","6",0.054,0.032,0.014,0.053,0.097,0.037
"P05","7",0.146,0.023,0.055,0.126,0.067,0.058
"P05","8",0.113,0.021,0.024,0.086,0.031,0.035
"P05","9",0.274,0.042,0.078,0.254,0.107,0.138
"P06","1",0.477,0.124,0.123,0.295,0.306,0.408
"P06","2",0.082,0.035,0.029,0.126,0.037,0.026
"P06","3",0.088,0.025,0.003,0.231,0.022,0.022
"P06","4",0.051,0.034,0.016,0,0.053,0.075
"P06","5",0.124,0.217,0.203,0.212,0.297,0.239
"P06","6",0.018,0.058,0.037,0.04,0.087,0.047
"P06","7",0.027,0.078,0.038,0.018,0.073,0.017
"P06","8",0.037,0.096,0.136,0.007,0.038,0.01
"P06","9",0.096,0.333,0.415,0.071,0.087,0.156
"P07","1",0.654,0.203,0.21,0.622,0.337,0.4
"P07","2",0.042,0.039,0.012,0,0.061,0.027
"P07","3",0.04,0.049,0.008,0.141,0.055,0.03
"P07","4",0.023,0.019,0.008,0.013,0.018,0.04
"P07","5",0.048,0.118,0.153,0.074,0.158,0.088
"P07","6",0.002,0.022,0.047,0.048,0.008,0.059
"P07","7",0.008,0.051,0.034,0,0.034,0.005
"P07","8",0.011,0.064,0.063,0,0.016,0.029
"P07","9",0.172,0.435,0.465,0.102,0.313,0.322
"P09","Del Frente de Todos y el peronismo",0.892,0.04,0.04,0.237,0.366,0.294
"P09","De Juntos por el cambio",0.023,0.772,0.192,0.114,0.233,0.211
"P09","De los Liberales libertarios",0.013,0.118,0.693,0.021,0.031,0.034
"P09","De la Izquierda",0.013,0.006,0.004,0.455,0.03,0.011
"P09","No sabe",0.059,0.064,0.071,0.173,0.34,0.45
"P10","A Alberto Fernández",0.091,0.22,0.338,0,0.151,0.303
"P10","A Sergio Massa",0.291,0.075,0.22,0.272,0.244,0.286
"P10","A algún candidato del peronismo",0.089,0.644,0.16,0.334,0.229,0.133
"P10","A algún candidato del kirchnerismo",0.529,0.061,0.282,0.394,0.376,0.278
"P11","A Alberto Fernández",0.093,0.029,0.339,0,0.162,0.303
"P11","A Sergio Massa",0.138,0.279,0,0.198,0.173,0.241
"P11","A algún candidato del peronismo",0.04,0.612,0.16,0.295,0.204,0.133
"P11","A Cristina Fernández de Kirchner",0.729,0.08,0.501,0.507,0.461,0.323
"P12","A Horacio Rodriguez Larreta",0.163,0.178,0.249,0.533,0.275,0.38
"P12","A Mauricio Macri",0,0.336,0.281,0.129,0.228,0.336
"P12","A Patricia Bullrich",0.025,0.436,0.411,0,0.139,0.025
"P12","A Facundo Manes",0.422,0.035,0.059,0.338,0.263,0.084
"P12","A Gerardo Morales",0.39,0.015,0,0,0.095,0.175
