"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Wado de Pedro por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.424,0.374,0.522,0.573,0.465,0.475,0.561,0.464,0.396
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.213,0.151,0.124,0.177,0.258,0.216,0.291,0.235
"P04","No tengo trabajo",0.115,0.171,0.141,0.104,0.186,0.199,0.189,0.12,0.233
"P04","Soy jubilado o pensionado",0.244,0.242,0.186,0.199,0.172,0.068,0.034,0.125,0.136
"P05","1",0.36,0.397,0.217,0.15,0.327,0.303,0.29,0.305,0.229
"P05","2",0.086,0.091,0.105,0.052,0.058,0.091,0.089,0.056,0.057
"P05","3",0.054,0.061,0.06,0.015,0.007,0.049,0.073,0.019,0.04
"P05","4",0.07,0.11,0.113,0.038,0.058,0.11,0.05,0.163,0.084
"P05","5",0.264,0.186,0.297,0.094,0.161,0.282,0.049,0.208,0.242
"P05","6",0.035,0.032,0.057,0.073,0.04,0.01,0.019,0.074,0.036
"P05","7",0.04,0.025,0.032,0.146,0.111,0.038,0.06,0.087,0.051
"P05","8",0.009,0.031,0.042,0.123,0.037,0.036,0.085,0.007,0.085
"P05","9",0.082,0.067,0.077,0.309,0.201,0.081,0.285,0.081,0.176
"P06","1",0.183,0.135,0.188,0.49,0.484,0.107,0.3,0.251,0.32
"P06","2",0.035,0.039,0.029,0.097,0.045,0.041,0.035,0.134,0.031
"P06","3",0.017,0.025,0.034,0.093,0.042,0.016,0.059,0.083,0.024
"P06","4",0.026,0.041,0.043,0.038,0.023,0.026,0,0.09,0.057
"P06","5",0.208,0.19,0.313,0.107,0.16,0.218,0.204,0.239,0.267
"P06","6",0.089,0.048,0.063,0.039,0.018,0.059,0.03,0.024,0.085
"P06","7",0.071,0.078,0.079,0.01,0.045,0.035,0.013,0.05,0.023
"P06","8",0.059,0.098,0.067,0.024,0.032,0.143,0.112,0.023,0.043
"P06","9",0.312,0.346,0.184,0.102,0.151,0.355,0.247,0.106,0.15
"P07","1",0.275,0.197,0.22,0.705,0.507,0.273,0.468,0.267,0.447
"P07","2",0.064,0.022,0.047,0.031,0.074,0.014,0,0.034,0.03
"P07","3",0.027,0.034,0.075,0.036,0.029,0.042,0,0.117,0.024
"P07","4",0.011,0.016,0.054,0.027,0.009,0.009,0.047,0,0.032
"P07","5",0.094,0.145,0.164,0.051,0.058,0.13,0.074,0.082,0.15
"P07","6",0.05,0.039,0.012,0,0.008,0.053,0.009,0.007,0.016
"P07","7",0.049,0.045,0.064,0.003,0.009,0.016,0.013,0.034,0.032
"P07","8",0.037,0.048,0.035,0.019,0.027,0.067,0.074,0.07,0.047
"P07","9",0.393,0.454,0.329,0.128,0.279,0.396,0.315,0.389,0.222
"P09","Del Frente de Todos y el peronismo",0.049,0.031,0.176,0.857,0.793,0.047,0.167,0.303,0.266
"P09","De Juntos por el cambio",0.762,0.734,0.435,0.045,0.049,0.104,0.073,0.117,0.141
"P09","De los Liberales libertarios",0.076,0.157,0.109,0.004,0.024,0.719,0.305,0.043,0.041
"P09","De la Izquierda",0.002,0.011,0.031,0.023,0.014,0.011,0.28,0.11,0.045
"P09","No sabe",0.111,0.067,0.249,0.071,0.12,0.119,0.175,0.427,0.507
"P10","A Alberto Fernández",0.42,0.08,0.085,0.134,0.147,0.257,0.424,0.141,0.107
"P10","A Sergio Massa",0.354,0.219,0.308,0.096,0.496,0.366,0,0.067,0.047
"P10","A algún candidato del peronismo",0.226,0.596,0.275,0.1,0.082,0.175,0.309,0.463,0.193
"P10","A algún candidato del kirchnerismo",0,0.105,0.332,0.67,0.275,0.202,0.267,0.329,0.653
"P11","A Alberto Fernández",0.343,0.187,0.237,0.093,0.152,0.199,0.424,0.208,0.08
"P11","A Sergio Massa",0.431,0.176,0.156,0.026,0.327,0.144,0,0,0.032
"P11","A algún candidato del peronismo",0.226,0.5,0.275,0.035,0.072,0.175,0.309,0.326,0.135
"P11","A Cristina Fernández de Kirchner",0,0.137,0.332,0.846,0.449,0.482,0.267,0.466,0.753
"P12","A Horacio Rodriguez Larreta",0.484,0.097,0.065,0,0.265,0.337,0.315,0,0.08
"P12","A Mauricio Macri",0.335,0.368,0.108,0.3,0,0.101,0.283,0.303,0.56
"P12","A Patricia Bullrich",0.136,0.519,0.334,0.017,0.118,0.36,0.402,0.405,0.065
"P12","A Facundo Manes",0.025,0.012,0.346,0.414,0.241,0.137,0,0.053,0.283
"P12","A Gerardo Morales",0.02,0.004,0.147,0.269,0.376,0.065,0,0.239,0.012
"P13","Seguro lo votaria",0.207,0.193,0.094,0.033,0.097,0.533,0.315,0,0.07
"P13","Quizás lo votaría",0.36,0.363,0.252,0.072,0.066,0.287,0.283,0.735,0.577
"P13","Nunca lo votaría",0.433,0.444,0.654,0.895,0.837,0.18,0.402,0.265,0.353
"P14","Lo votaría",0.498,0.477,0.17,0.036,0.014,0.143,0.062,0.064,0.054
"P14","Puede que lo vote",0.287,0.285,0.243,0.014,0.063,0.334,0.327,0.091,0.096
"P14","Nunca lo votaría",0.175,0.157,0.435,0.913,0.849,0.407,0.611,0.662,0.656
"P14","No sabe",0.04,0.081,0.152,0.037,0.074,0.116,0,0.183,0.194
"P15","Lo votaría",0.135,0.013,0.037,0.189,0.448,0.032,0.035,0.039,0.044
"P15","Puede que lo vote",0.1,0.076,0.228,0.464,0.349,0.116,0.258,0.146,0.113
"P15","Nunca lo votaría",0.744,0.889,0.611,0.24,0.185,0.796,0.67,0.553,0.59
"P15","No sabe",0.021,0.022,0.124,0.107,0.018,0.056,0.037,0.262,0.253
"P16","Lo votaría",0.026,0.015,0.072,0.232,0.341,0.017,0.132,0.045,0.069
