"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Cristina Fernández de Kirchner por el Frente de Todos","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otros candidatos","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.396,0.47,0.342,0.647,0.289,0.498,0.519,0.568,0.563,0.399
"P04","Realizo changas o trabajos de vez en cuando",0.185,0.238,0.226,0.133,0.275,0.181,0.248,0.355,0.194,0.128
"P04","No tengo trabajo",0.129,0.077,0.21,0.071,0.278,0.151,0.187,0.054,0.169,0.261
"P04","Soy jubilado o pensionado",0.29,0.215,0.222,0.149,0.158,0.17,0.046,0.023,0.074,0.212
"P05","1",0.447,0.28,0.36,0.126,0.401,0.25,0.361,0.239,0.122,0.195
"P05","2",0.106,0.078,0.084,0.058,0.077,0.059,0.1,0,0.067,0.028
"P05","3",0.079,0.051,0.061,0.017,0.006,0.012,0.055,0,0.036,0.048
"P05","4",0.103,0.098,0.128,0.104,0.024,0.044,0.099,0.009,0.133,0.11
"P05","5",0.149,0.276,0.202,0.386,0.183,0.094,0.25,0.303,0.229,0.36
"P05","6",0.015,0.033,0.04,0.082,0.01,0.057,0.009,0.03,0.082,0.037
"P05","7",0.024,0.085,0.03,0.079,0.015,0.134,0.024,0.173,0.065,0.041
"P05","8",0.008,0.053,0.041,0.022,0,0.099,0.016,0.048,0.081,0.044
"P05","9",0.069,0.046,0.054,0.126,0.284,0.251,0.086,0.198,0.185,0.137
"P06","1",0.139,0.131,0.155,0.174,0.501,0.488,0.123,0.148,0.27,0.211
"P06","2",0.039,0.063,0.039,0.044,0.02,0.071,0.023,0.183,0.044,0.018
"P06","3",0.016,0.006,0.035,0.117,0.023,0.056,0.004,0.184,0.028,0.042
"P06","4",0.045,0.035,0.041,0.041,0.033,0.035,0.006,0.009,0.118,0.06
"P06","5",0.124,0.267,0.228,0.349,0.131,0.137,0.18,0.354,0.275,0.306
"P06","6",0.038,0.119,0.034,0.085,0.018,0.037,0.064,0.076,0.021,0.081
"P06","7",0.095,0.069,0.08,0.035,0.003,0.03,0.04,0,0.034,0.038
"P06","8",0.101,0.036,0.11,0.03,0.039,0.031,0.152,0,0.082,0.054
"P06","9",0.403,0.274,0.278,0.125,0.232,0.115,0.408,0.046,0.128,0.19
"P07","1",0.18,0.319,0.191,0.273,0.443,0.645,0.21,0.557,0.284,0.419
"P07","2",0.028,0.059,0.025,0.075,0.063,0.041,0.012,0.009,0.05,0.038
"P07","3",0.048,0.04,0.028,0.093,0.006,0.037,0.026,0.097,0.019,0.023
"P07","4",0.008,0.012,0.018,0.075,0,0.028,0.014,0.014,0,0.007
"P07","5",0.13,0.115,0.117,0.219,0.044,0.04,0.149,0.04,0.229,0.135
"P07","6",0.017,0.057,0.045,0.012,0.04,0.011,0.045,0,0.003,0.003
"P07","7",0.037,0.058,0.066,0.005,0,0.01,0.023,0.007,0.011,0.032
"P07","8",0.047,0.029,0.045,0.07,0.044,0.014,0.062,0.076,0.027,0.086
"P07","9",0.505,0.311,0.465,0.178,0.36,0.174,0.459,0.2,0.377,0.257
"P09","Del Frente de Todos y el peronismo",0.042,0.083,0.029,0.147,0.669,0.849,0.01,0.252,0.21,0.159
"P09","De Juntos por el cambio",0.817,0.655,0.672,0.418,0.168,0.033,0.081,0.028,0.165,0.149
"P09","De los Liberales libertarios",0.094,0.077,0.208,0.094,0.044,0.015,0.783,0.018,0.091,0.074
"P09","De la Izquierda",0.001,0.025,0.009,0.049,0.006,0.028,0.007,0.429,0.068,0.026
"P09","No sabe",0.046,0.16,0.082,0.292,0.113,0.075,0.119,0.273,0.466,0.592
"P10","A Alberto Fernández",0,0.385,0.099,0.039,0.607,0.093,0.451,0.506,0,0.166
"P10","A Sergio Massa",0.133,0.139,0.206,0.328,0.235,0.271,0.549,0,0.31,0.449
"P10","A algún candidato del peronismo",0.292,0.476,0.618,0.156,0.093,0.099,0,0.312,0.285,0.354
"P10","A algún candidato del kirchnerismo",0.575,0,0.077,0.477,0.065,0.537,0,0.182,0.405,0.031
"P11","A Alberto Fernández",0.526,0.339,0.206,0.039,0.513,0.084,0.451,0.506,0,0.093
"P11","A Sergio Massa",0.103,0.221,0.168,0.292,0.255,0.139,0,0,0.31,0.285
"P11","A algún candidato del peronismo",0.322,0.44,0.549,0.174,0.102,0.041,0,0.312,0.262,0.34
"P11","A Cristina Fernández de Kirchner",0.049,0,0.077,0.495,0.13,0.736,0.549,0.182,0.428,0.282
"P12","A Horacio Rodriguez Larreta",0.138,0.788,0.026,0.095,0.141,0.079,0.192,0,0.02,0.082
"P12","A Mauricio Macri",0.697,0.114,0.135,0.148,0.261,0.025,0.28,0,0.086,0.233
"P12","A Patricia Bullrich",0.136,0.079,0.825,0.126,0.293,0.031,0.517,1,0.116,0.419
"P12","A Facundo Manes",0.012,0.013,0.014,0.478,0.073,0.499,0.011,0,0.461,0.163
"P12","A Gerardo Morales",0.017,0.006,0,0.153,0.232,0.366,0,0,0.317,0.103
"P13","Seguro lo votaria",0.162,0.318,0.145,0.169,0.092,0.049,0.765,0,0.163,0.068
"P13","Quizás lo votaría",0.384,0.296,0.376,0.256,0.261,0.219,0.052,1,0.652,0.27
"P13","Nunca lo votaría",0.454,0.386,0.479,0.575,0.647,0.732,0.183,0,0.185,0.662
"P14","Lo votaría",0.822,0.3,0.345,0.05,0.072,0.011,0.124,0.135,0.036,0.03
