"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P29","Aún no lo tengo decidido",0.163,0.095,0.107,0.119
"P31","Sergio Massa por el Frente de Todos",0.622,0.873,0.412,0.603
"P31","Patricia Bullrich por Juntos por el Cambio",0.073,0.035,0.174,0.042
"P31","Javier Milei por los liberales libertarios",0,0.011,0.031,0.025
"P31","Nicolás del Caño por la izquierda",0.054,0.012,0.031,0.025
"P31","Otro candidato",0.068,0.038,0.244,0.134
"P31","Aún no lo tengo decidido",0.183,0.031,0.108,0.171
"P33","Sergio Massa por el Frente de Todos",0.639,0.803,0.382,0.607
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.092,0.141,0.181,0.052
"P33","Javier Milei por los liberales libertarios",0.053,0.012,0.057,0.008
"P33","Nicolás del Caño por la izquierda",0.005,0.002,0.032,0.029
"P33","Otro candidato",0.077,0.036,0.184,0.154
"P33","Aún no lo tengo decidido",0.134,0.006,0.164,0.15
"P35","Cristina Fernández de Kirchner por el Frente de Todos",0.771,0.779,0.574,0.926
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.121,0.074,0.122,0.01
"P35","Javier Milei por los liberales libertarios",0,0.012,0.073,0.007
"P35","Nicolás del Caño por la izquierda",0.012,0.012,0.032,0.003
"P35","Otro candidato",0.016,0.104,0.061,0.017
"P35","Aún no lo tengo decidido",0.08,0.019,0.138,0.037
"P36","Sergio Massa por el Frente de Todos",0.77,0.859,0.474,0.651
"P36","Mauricio Macri por Juntos por el Cambio",0.127,0.043,0.154,0.017
"P36","Javier Milei por los liberales libertarios",0,0.036,0.046,0.009
"P36","Nicolás del Caño por la izquierda",0,0,0.054,0.025
"P36","Otro candidato",0.054,0.053,0.181,0.162
"P36","Aún no lo tengo decidido",0.049,0.009,0.091,0.136
"P37","Wado de Pedro por el Frente de Todos",0.605,0.746,0.452,0.801
"P37","Mauricio Macri por Juntos por el Cambio",0.053,0.017,0.176,0.003
"P37","Javier Milei por los liberales libertarios",0,0.015,0.036,0.024
"P37","Nicolás del Caño por la izquierda",0.072,0.004,0.065,0.012
"P37","Otro candidato",0.142,0.114,0.141,0.069
"P37","Aún no lo tengo decidido",0.128,0.104,0.13,0.091
"P38","Wado de Pedro por el Frente de Todos",0.523,0.762,0.473,0.822
"P38","Patricia Bullrich por Juntos por el Cambio",0.067,0.01,0.182,0.005
"P38","Javier Milei por los liberales libertarios",0.053,0.016,0.023,0.012
"P38","Nicolás del Caño por la izquierda",0,0.015,0.037,0.013
"P38","Otro candidato",0.138,0.103,0.196,0.094
"P38","Aún no lo tengo decidido",0.219,0.094,0.089,0.054
"P39","Cristina Fernández de Kirchner por el Frente de Todos",0.808,0.817,0.588,0.915
"P39","Patricia Bullrich por Juntos por el Cambio",0.124,0.004,0.198,0.017
"P39","Javier Milei por los liberales libertarios",0,0.016,0.008,0.01
"P39","Nicolás del Caño por la izquierda",0,0.022,0.038,0.004
"P39","Otro candidato",0.012,0.083,0.088,0.031
"P39","Aún no lo tengo decidido",0.056,0.058,0.08,0.023
"P40","Cristina Fernández de Kirchner por el Frente de Todos",0.846,0.702,0.639,0.883
"P40","Mauricio Macri por Juntos por el Cambio",0.067,0.208,0.273,0.098
"P40","No sabe",0.087,0.09,0.088,0.019
"P41","Wado de Pedro por el Frente de Todos",0.779,0.811,0.621,0.846
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.119,0.025,0.16,0.023
"P41","No sabe",0.102,0.164,0.219,0.131
