"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P04","Tengo trabajo estable",0.495,0.373,0.456,0.604,0.541,0.352
"P04","Realizo changas o trabajos de vez en cuando",0.14,0.218,0.278,0.172,0.154,0.23
"P04","No tengo trabajo",0.17,0.162,0.18,0.131,0.126,0.244
"P04","Soy jubilado o pensionado",0.195,0.247,0.086,0.093,0.179,0.174
"P05","1",0.25,0.437,0.367,0.154,0.149,0.199
"P05","2",0.064,0.094,0.109,0.02,0.058,0.091
"P05","3",0.01,0.066,0.045,0.022,0.035,0.055
"P05","4",0.041,0.099,0.118,0.128,0.123,0.099
"P05","5",0.133,0.18,0.22,0.219,0.224,0.246
"P05","6",0.049,0.029,0.011,0.053,0.098,0.035
"P05","7",0.118,0.033,0.035,0.103,0.099,0.076
"P05","8",0.087,0.021,0.019,0.128,0.062,0.04
"P05","9",0.248,0.041,0.076,0.173,0.152,0.159
"P06","1",0.463,0.167,0.143,0.307,0.26,0.273
"P06","2",0.079,0.033,0.017,0.094,0.08,0.027
"P06","3",0.073,0.02,0.002,0.147,0.032,0.062
"P06","4",0.038,0.048,0.017,0.107,0.044,0.04
"P06","5",0.132,0.176,0.225,0.21,0.229,0.366
"P06","6",0.019,0.057,0.038,0.046,0.097,0.064
"P06","7",0.035,0.067,0.042,0.038,0.058,0.022
"P06","8",0.029,0.087,0.129,0,0.073,0.03
"P06","9",0.132,0.345,0.387,0.051,0.127,0.116
"P07","1",0.572,0.212,0.237,0.695,0.407,0.432
"P07","2",0.052,0.026,0.011,0.006,0.022,0.071
"P07","3",0.04,0.053,0.016,0.057,0.052,0.008
"P07","4",0.019,0.023,0.006,0.021,0.036,0.011
"P07","5",0.041,0.117,0.144,0.036,0.125,0.157
"P07","6",0.013,0.03,0.047,0,0.014,0.029
"P07","7",0.007,0.032,0.051,0.021,0.041,0.039
"P07","8",0.016,0.039,0.065,0,0.053,0.036
"P07","9",0.24,0.468,0.423,0.164,0.25,0.217
