"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.047,0.044,0.05,0.071,0.03,0.042,0.07,0.059,0.031,0.057,0.054,0.033,0.028,0.067,0.099,6
"Buena",0.139,0.144,0.135,0.101,0.123,0.135,0.209,0.145,0.155,0.109,0.131,0.156,0.057,0.22,0.178,6
"Ni buena ni mala",0.306,0.274,0.335,0.26,0.327,0.302,0.307,0.313,0.321,0.276,0.328,0.263,0.232,0.383,0.372,6
"Mala",0.128,0.155,0.102,0.1,0.097,0.176,0.148,0.115,0.142,0.121,0.119,0.144,0.16,0.111,0.053,6
"Muy mala",0.275,0.292,0.259,0.261,0.306,0.274,0.224,0.264,0.237,0.342,0.254,0.316,0.452,0.136,0.153,6
"No sabe",0.105,0.091,0.119,0.207,0.117,0.071,0.042,0.104,0.114,0.095,0.114,0.088,0.071,0.083,0.145,6
"Positiva",0.186,0.188,0.185,0.172,0.153,0.177,0.279,0.204,0.186,0.166,0.185,0.189,0.085,0.287,0.277,4
"Neutra",0.306,0.274,0.335,0.26,0.327,0.302,0.307,0.313,0.321,0.276,0.328,0.263,0.232,0.383,0.372,4
"Negativa",0.403,0.447,0.361,0.361,0.403,0.45,0.372,0.379,0.379,0.463,0.373,0.46,0.612,0.247,0.206,4
"No sabe",0.105,0.091,0.119,0.207,0.117,0.071,0.042,0.104,0.114,0.095,0.114,0.088,0.071,0.083,0.145,4
