"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.071,0.068,0.075,0.027,0.072,0.065,0.175,0.156,0.034,0.06,0.214,0.005,0,0.16,0.032,0,0,0,6
"Buena",0.17,0.211,0.127,0.112,0.185,0.176,0.233,0.104,0.191,0.191,0.298,0.101,0.722,0.265,0.121,0,0,0,6
"Ni buena ni mala",0.412,0.419,0.406,0.603,0.339,0.356,0.338,0.431,0.441,0.356,0.373,0.391,0.193,0.368,0.392,0,0,0,6
"Mala",0.196,0.164,0.229,0.184,0.199,0.18,0.239,0.21,0.2,0.178,0.056,0.299,0.085,0.132,0.234,0,0,0,6
"Muy mala",0.133,0.13,0.135,0.074,0.177,0.19,0.015,0.099,0.099,0.207,0.04,0.186,0,0.065,0.221,0,0,0,6
"No sabe",0.018,0.008,0.028,0,0.028,0.033,0,0,0.035,0.008,0.019,0.018,0,0.01,0,0,0,0,6
"Positiva",0.241,0.279,0.202,0.139,0.257,0.241,0.408,0.26,0.225,0.251,0.512,0.106,0.722,0.425,0.153,0,0,0,4
"Neutra",0.412,0.419,0.406,0.603,0.339,0.356,0.338,0.431,0.441,0.356,0.373,0.391,0.193,0.368,0.392,0,0,0,4
"Negativa",0.329,0.294,0.364,0.258,0.376,0.37,0.254,0.309,0.299,0.385,0.096,0.485,0.085,0.197,0.455,0,0,0,4
"No sabe",0.018,0.008,0.028,0,0.028,0.033,0,0,0.035,0.008,0.019,0.018,0,0.01,0,0,0,0,4
