"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.106,0.104,0.107,0.087,0.14,0.065,0.106,0.131,0.072,0.133,0.201,0.059,0,0.162,0.111,0,0,0,6
"Buena",0.165,0.192,0.139,0.138,0.165,0.14,0.268,0.186,0.171,0.142,0.207,0.114,0.581,0.183,0.157,0,0,0,6
"Ni buena ni mala",0.375,0.398,0.352,0.345,0.357,0.444,0.377,0.359,0.405,0.344,0.307,0.424,0.253,0.372,0.288,0,0,0,6
"Mala",0.261,0.229,0.292,0.298,0.232,0.309,0.186,0.244,0.301,0.215,0.195,0.345,0.166,0.23,0.305,0,0,0,6
"Muy mala",0.09,0.071,0.11,0.132,0.106,0.031,0.057,0.08,0.046,0.163,0.082,0.058,0,0.043,0.139,0,0,0,6
"No sabe",0.003,0.006,0,0,0,0.011,0.006,0,0.005,0.003,0.008,0,0,0.01,0,0,0,0,6
"Positiva",0.271,0.296,0.246,0.225,0.305,0.205,0.374,0.317,0.243,0.275,0.408,0.173,0.581,0.345,0.268,0,0,0,4
"Neutra",0.375,0.398,0.352,0.345,0.357,0.444,0.377,0.359,0.405,0.344,0.307,0.424,0.253,0.372,0.288,0,0,0,4
"Negativa",0.351,0.3,0.402,0.43,0.338,0.34,0.243,0.324,0.347,0.378,0.277,0.403,0.166,0.273,0.444,0,0,0,4
"No sabe",0.003,0.006,0,0,0,0.011,0.006,0,0.005,0.003,0.008,0,0,0.01,0,0,0,0,4
