"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.079,0.019,0.137,0.028,0.033,0.094,0.312,0.161,0.038,0.067,0.204,0.034,0.099,0.186,0.004,0,0,0,6
"Buena",0.125,0.1,0.149,0.177,0.144,0.058,0.064,0.104,0.105,0.167,0.152,0.098,0.066,0.345,0.026,0,0,0,6
"Ni buena ni mala",0.146,0.209,0.086,0.192,0.123,0.128,0.155,0.183,0.173,0.082,0.198,0.157,0.196,0.263,0.054,0,0,0,6
"Mala",0.136,0.192,0.082,0.118,0.196,0.065,0.103,0,0.221,0.135,0.162,0.115,0.639,0.064,0.092,0,0,0,6
"Muy mala",0.514,0.48,0.546,0.485,0.504,0.655,0.366,0.552,0.463,0.549,0.284,0.596,0,0.142,0.824,0,0,0,6
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Positiva",0.204,0.119,0.286,0.205,0.177,0.152,0.376,0.265,0.143,0.234,0.356,0.132,0.165,0.531,0.03,0,0,0,4
"Neutra",0.146,0.209,0.086,0.192,0.123,0.128,0.155,0.183,0.173,0.082,0.198,0.157,0.196,0.263,0.054,0,0,0,4
"Negativa",0.65,0.672,0.628,0.603,0.7,0.72,0.469,0.552,0.684,0.684,0.446,0.711,0.639,0.206,0.916,0,0,0,4
"No sabe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
