"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Muy de acuerdo",0.1,0.111,0.089,0.076,0.086,0.152,0.105,0.068,0.107,0.116,0.056,0.106,0,0.051,0.156,0,0,0
"De acuerdo",0.109,0.111,0.107,0.086,0.068,0.205,0.124,0,0.135,0.155,0.027,0.167,0,0.014,0.211,0,0,0
"Ni de acuerdo ni en desacuerdo",0.299,0.367,0.231,0.346,0.305,0.179,0.393,0.41,0.288,0.23,0.298,0.317,0.09,0.181,0.341,0,0,0
"En desacuerdo",0.315,0.252,0.378,0.177,0.424,0.361,0.178,0.329,0.3,0.326,0.459,0.231,0.752,0.602,0.157,0,0,0
"Muy en desacuerdo",0.159,0.125,0.193,0.315,0.075,0.103,0.19,0.123,0.17,0.169,0.16,0.145,0.158,0.152,0.1,0,0,0
"No sabe",0.018,0.034,0.002,0,0.042,0,0.01,0.07,0,0.004,0,0.034,0,0,0.035,0,0,0
