"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.123,0.036,0.207,0.181,0.072,0.105,0.196,0.107,0.121,0.139,0.258,0.094,0.068,0.184,0.089,0,0,0,6
"Buena",0.202,0.265,0.142,0.192,0.233,0.122,0.262,0.183,0.303,0.085,0.35,0.197,0.113,0.299,0.077,0,0,0,6
"Ni buena ni mala",0.23,0.279,0.184,0.359,0.229,0.135,0.125,0.256,0.23,0.211,0.332,0.19,0.739,0.222,0.292,0,0,0,6
"Mala",0.186,0.185,0.186,0.035,0.273,0.098,0.369,0.198,0.103,0.284,0.041,0.22,0.08,0.158,0.162,0,0,0,6
"Muy mala",0.229,0.175,0.281,0.15,0.174,0.54,0.048,0.256,0.191,0.258,0.019,0.299,0,0.137,0.337,0,0,0,6
"No sabe",0.03,0.06,0,0.083,0.019,0,0,0,0.052,0.023,0,0,0,0,0.043,0,0,0,6
"Positiva",0.325,0.301,0.349,0.373,0.305,0.227,0.458,0.29,0.424,0.224,0.608,0.291,0.181,0.483,0.166,0,0,0,4
"Neutra",0.23,0.279,0.184,0.359,0.229,0.135,0.125,0.256,0.23,0.211,0.332,0.19,0.739,0.222,0.292,0,0,0,4
"Negativa",0.415,0.36,0.467,0.185,0.447,0.638,0.417,0.454,0.294,0.542,0.06,0.519,0.08,0.295,0.499,0,0,0,4
"No sabe",0.03,0.06,0,0.083,0.019,0,0,0,0.052,0.023,0,0,0,0,0.043,0,0,0,4
