"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.172,0.113,0.229,0.111,0.168,0.152,0.349,0.289,0.056,0.231,0.332,0.104,0.361,0.347,0.091,0,0,0,6
"Buena",0.074,0.069,0.079,0.177,0.035,0.053,0.016,0,0.133,0.056,0.037,0.072,0.59,0.153,0.049,0,0,0,6
"Ni buena ni mala",0.1,0.156,0.046,0,0.167,0.099,0.095,0.052,0.157,0.063,0.191,0.086,0,0.151,0.037,0,0,0,6
"Mala",0.162,0.214,0.111,0.136,0.277,0.027,0.073,0.181,0.188,0.111,0.196,0.169,0.049,0.198,0.067,0,0,0,6
"Muy mala",0.471,0.433,0.508,0.576,0.334,0.669,0.355,0.424,0.466,0.516,0.196,0.569,0,0.151,0.756,0,0,0,6
"No sabe",0.021,0.015,0.027,0,0.019,0,0.112,0.054,0,0.023,0.048,0,0,0,0,0,0,0,6
"Positiva",0.246,0.182,0.308,0.288,0.203,0.205,0.365,0.289,0.189,0.287,0.369,0.176,0.951,0.5,0.14,0,0,0,4
"Neutra",0.1,0.156,0.046,0,0.167,0.099,0.095,0.052,0.157,0.063,0.191,0.086,0,0.151,0.037,0,0,0,4
"Negativa",0.633,0.647,0.619,0.712,0.611,0.696,0.428,0.605,0.654,0.627,0.392,0.738,0.049,0.349,0.823,0,0,0,4
"No sabe",0.021,0.015,0.027,0,0.019,0,0.112,0.054,0,0.023,0.048,0,0,0,0,0,0,0,4
