"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"Javier Milei",0.57,0.542,0.597,0.508,0.578,0.734,0.4,0.672,0.554,0.51,0.301,0.708,0.018,0.359,0.748,0,0,0
"Los gobernadores",0.332,0.342,0.323,0.319,0.377,0.23,0.385,0.29,0.315,0.388,0.643,0.145,0.982,0.532,0.16,0,0,0
"No sabe",0.098,0.116,0.08,0.173,0.045,0.036,0.215,0.038,0.131,0.102,0.056,0.147,0,0.109,0.092,0,0,0
