"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto","opciones"
"Muy buena",0.132,0.185,0.081,0.262,0.124,0.003,0.097,0.296,0.056,0.1,0.162,0.171,0,0.153,0.162,0,0,0,6
"Buena",0.164,0.216,0.112,0.132,0.11,0.245,0.263,0.054,0.174,0.238,0.029,0.242,0,0.076,0.193,0,0,0,6
"Ni buena ni mala",0.454,0.368,0.538,0.39,0.507,0.439,0.449,0.415,0.557,0.349,0.457,0.454,0.816,0.259,0.558,0,0,0,6
"Mala",0.083,0.057,0.109,0.028,0.131,0.08,0.055,0,0.059,0.183,0.134,0.034,0.086,0.124,0.036,0,0,0,6
"Muy mala",0.107,0.147,0.068,0.094,0.074,0.233,0.024,0.129,0.076,0.13,0.142,0.048,0.098,0.235,0.051,0,0,0,6
"No sabe",0.06,0.027,0.092,0.094,0.054,0,0.112,0.106,0.078,0,0.076,0.051,0,0.153,0,0,0,0,6
"Positiva",0.296,0.401,0.193,0.394,0.234,0.248,0.36,0.35,0.23,0.338,0.191,0.413,0,0.229,0.355,0,0,0,4
"Neutra",0.454,0.368,0.538,0.39,0.507,0.439,0.449,0.415,0.557,0.349,0.457,0.454,0.816,0.259,0.558,0,0,0,4
"Negativa",0.19,0.204,0.177,0.122,0.205,0.313,0.079,0.129,0.135,0.313,0.276,0.082,0.184,0.359,0.087,0,0,0,4
"No sabe",0.06,0.027,0.092,0.094,0.054,0,0.112,0.106,0.078,0,0.076,0.051,0,0.153,0,0,0,0,4
