"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Weretilneck","Tortoriello","Horne","Massa","Milei","Alto Valle","Comarca Andina","Resto"
"1-Excelente",0.176,0.156,0.195,0.195,0.169,0.189,0.132,0.173,0.207,0.134,0.219,0.217,0.026,0.287,0.146,0,0,0
"2",0.075,0.123,0.03,0.112,0.057,0.05,0.087,0.185,0.029,0.048,0.167,0.05,0,0.107,0.078,0,0,0
"3",0.079,0.101,0.059,0,0.133,0.072,0.104,0.154,0.064,0.039,0.077,0.089,0.01,0.01,0.098,0,0,0
"4",0.054,0.103,0.009,0.084,0.052,0.037,0.022,0.062,0.058,0.042,0.015,0.011,0.699,0.076,0.056,0,0,0
"5",0.117,0.168,0.069,0.208,0.059,0.073,0.163,0.063,0.122,0.154,0.066,0.101,0.165,0.08,0.143,0,0,0
"6",0.018,0.003,0.033,0.037,0,0.038,0,0,0.003,0.056,0.047,0.008,0.026,0.051,0.009,0,0,0
"7",0.024,0.025,0.023,0,0.04,0.015,0.049,0,0.031,0.036,0.078,0.007,0,0.031,0.013,0,0,0
"8",0.043,0.044,0.041,0,0.072,0.014,0.094,0.031,0.052,0.038,0.028,0.044,0.031,0.057,0.036,0,0,0
"9-Pésimo",0.292,0.163,0.413,0.364,0.29,0.292,0.133,0.109,0.344,0.372,0.165,0.313,0.043,0.293,0.287,0,0,0
"No sabe",0.122,0.114,0.128,0,0.128,0.22,0.216,0.223,0.09,0.081,0.138,0.16,0,0.008,0.134,0,0,0
