"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.732,0.719,0.737,0.548,0.507,0.342
"P26","Bastante seguro",0.122,0.133,0.112,0.088,0.126,0.247
"P26","Algo seguro",0.082,0.09,0.09,0.11,0.161,0.09
"P26","Para nada seguro",0.064,0.058,0.061,0.254,0.206,0.321
"P27","Tiene Decidido que va a ir a votar",0.923,0.915,0.929,0.833,0.806,0.598
"P27","Tiene dudas sobre si va a ir a  votar",0.056,0.062,0.052,0.1,0.107,0.227
"P27","Tiene Decidido que no va a ir a votar",0.021,0.023,0.019,0.067,0.087,0.175
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.883,0.185,0.192,0.372,0.254,0.099
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.751,0.301,0.157,0.229,0.177
"P28","En blanco",0.024,0.028,0.305,0.157,0.23,0.424
"P28","No sabe",0.044,0.036,0.202,0.314,0.287,0.3
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.24,0.807,0.109,0.233,0.215,0.067
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.118,0.763,0.15,0.196,0.194
"P29","En blanco",0.42,0.034,0.069,0.304,0.262,0.46
"P29","No sabe",0.257,0.041,0.059,0.313,0.327,0.279
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.81,0.234,0.088,0.37,0.246,0.095
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.056,0.263,0.833,0.167,0.237,0.288
"P30","En blanco",0.077,0.299,0.039,0.23,0.267,0.397
"P30","No sabe",0.057,0.204,0.04,0.233,0.25,0.22
"P38","Inflación",0.412,0.299,0.322,0.309,0.299,0.247
"P38","Desempleo",0.114,0.085,0.08,0.09,0.079,0.142
"P38","Corrupción",0.122,0.406,0.424,0.281,0.343,0.275
"P38","Inseguridad",0.129,0.126,0.104,0.062,0.085,0.089
"P38","Precio del dólar",0.049,0.01,0.005,0.014,0.052,0.027
"P38","Pobreza",0.08,0.028,0.035,0.103,0.056,0.095
"P38","Narcotráfico",0.013,0.01,0.002,0.007,0.011,0.013
"P38","Tarifas",0.007,0.003,0.002,0.003,0.015,0
"P38","Otro",0.05,0.026,0.017,0.113,0.046,0.07
"P38","No sabe",0.024,0.007,0.009,0.018,0.014,0.042
