"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.423,0.384,0.459,0.394,0.448,0.426,0.41,0.448,0.405,0.42,0.721,0.163,0.384,0.357,0.423,0.472,0.473,0.826,0.682,0.147,0.373,0.079
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.325,0.394,0.262,0.421,0.344,0.274,0.185,0.289,0.349,0.333,0.169,0.468,0.314,0.352,0.331,0.332,0.296,0.058,0.151,0.255,0.24,0.809
"En blanco",0.144,0.128,0.158,0.124,0.107,0.175,0.222,0.142,0.137,0.156,0.057,0.217,0.193,0.171,0.144,0.114,0.125,0.072,0.132,0.404,0.254,0.052
"No sabe",0.108,0.094,0.121,0.061,0.101,0.125,0.183,0.121,0.109,0.091,0.053,0.152,0.109,0.12,0.102,0.082,0.106,0.044,0.035,0.194,0.133,0.06
