"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Unión por la Patria",0.323,0.303,0.34,0.284,0.347,0.339,0.31,0.327,0.314,0.331,0.595,0.089,0.289,0.256,0.318,0.31,0.383,0.66,0.561,0.057,0.198,0.067
"Juntos por el Cambio",0.289,0.252,0.323,0.208,0.245,0.362,0.448,0.282,0.276,0.319,0.147,0.513,0.318,0.32,0.265,0.286,0.277,0.187,0.141,0.82,0.546,0.09
"De los liberales libertarios",0.237,0.294,0.186,0.318,0.243,0.194,0.133,0.227,0.247,0.233,0.143,0.306,0.236,0.235,0.265,0.256,0.221,0.102,0.123,0.086,0.153,0.662
"De la Izquierda",0.053,0.053,0.054,0.058,0.068,0.035,0.034,0.06,0.055,0.042,0.043,0.021,0.09,0.051,0.059,0.039,0.055,0.021,0.146,0.01,0.028,0.054
"Hacemos por nuestro país",0.036,0.039,0.032,0.047,0.037,0.03,0.019,0.035,0.035,0.038,0.023,0.038,0.031,0.063,0.027,0.018,0.019,0.015,0,0.004,0.034,0.073
"Otro",0.038,0.039,0.038,0.053,0.041,0.02,0.031,0.045,0.044,0.022,0.032,0.027,0.022,0.047,0.041,0.068,0.026,0.013,0.007,0.01,0.018,0.047
"En blanco",0.024,0.02,0.027,0.032,0.019,0.02,0.025,0.024,0.029,0.015,0.017,0.006,0.014,0.028,0.025,0.023,0.019,0.002,0.022,0.013,0.023,0.007
