"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.245,0.1,0.649,0.473
"P10","Juntos por el Cambio",0.578,0.152,0.093,0.11
"P10","De los liberales libertarios",0.091,0.617,0.068,0.085
"P10","De la Izquierda",0.032,0.037,0.08,0.055
"P10","Hacemos por nuestro país",0.018,0.026,0.032,0.047
"P10","Otro",0.014,0.026,0.025,0.061
"P10","En blanco",0.006,0.014,0.035,0.029
"P10","No sabe",0.016,0.028,0.018,0.14
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.265,0.116,0.734,0.601
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.595,0.108,0.04,0.045
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.078,0.706,0.08,0.071
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.021,0.017,0.042,0.058
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.029,0.033,0.058,0.091
"P13","En blanco",0.003,0.012,0.034,0.024
"P13","No sabe",0.009,0.008,0.012,0.11
"P26","Totalmente seguro",0.725,0.742,0.767,0.575
"P26","Bastante seguro",0.131,0.114,0.115,0.12
"P26","Algo seguro",0.091,0.091,0.075,0.112
"P26","Para nada seguro",0.053,0.053,0.043,0.193
"P27","Tiene Decidido que va a ir a votar",0.933,0.926,0.911,0.834
"P27","Tiene dudas sobre si va a ir a  votar",0.049,0.055,0.05,0.113
"P27","Tiene Decidido que no va a ir a votar",0.018,0.019,0.039,0.053
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.407,0.181,0.777,0.655
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.553,0.393,0.024,0.038
"P28","En blanco",0.021,0.262,0.161,0.03
"P28","No sabe",0.019,0.164,0.038,0.277
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.464,0.073,0.685,0.584
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.19,0.837,0.079,0.063
"P30","En blanco",0.211,0.055,0.221,0.035
"P30","No sabe",0.135,0.035,0.015,0.318
"P38","Inflación",0.33,0.344,0.382,0.35
"P38","Desempleo",0.09,0.071,0.11,0.132
"P38","Corrupción",0.346,0.403,0.166,0.144
"P38","Inseguridad",0.122,0.104,0.116,0.131
"P38","Precio del dólar",0.023,0.015,0.037,0.042
"P38","Pobreza",0.039,0.032,0.084,0.09
"P38","Narcotráfico",0.006,0.003,0.009,0.027
"P38","Tarifas",0.002,0.005,0.005,0.011
"P38","Otro",0.031,0.016,0.07,0.042
"P38","No sabe",0.011,0.007,0.021,0.031
"P10_imputada","Unión por la Patria",0.248,0.106,0.654,0.521
"P10_imputada","Juntos por el Cambio",0.585,0.154,0.096,0.143
"P10_imputada","De los liberales libertarios",0.093,0.632,0.074,0.105
"P10_imputada","De la Izquierda",0.033,0.04,0.081,0.07
"P10_imputada","Hacemos por nuestro país",0.018,0.027,0.034,0.049
"P10_imputada","Otro",0.017,0.027,0.026,0.074
"P10_imputada","En blanco",0.006,0.014,0.035,0.038
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.268,0.118,0.744,0.642
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.598,0.11,0.04,0.067
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.08,0.709,0.081,0.098
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.021,0.017,0.043,0.062
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.034,0.057,0.101
"P13_imputada","En blanco",0.003,0.012,0.035,0.03
