"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.632,0.055,0.067,0.087
"P10","Juntos por el Cambio",0.146,0.623,0.101,0.064
"P10","De los liberales libertarios",0.093,0.24,0.57,0.415
"P10","De la Izquierda",0.05,0.017,0.085,0.086
"P10","Hacemos por nuestro país",0.019,0.017,0.057,0.06
"P10","Otro",0.016,0.024,0.046,0.086
"P10","En blanco",0.011,0.009,0.05,0.042
"P10","No sabe",0.033,0.015,0.024,0.16
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.735,0.059,0.074,0.104
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.099,0.622,0.058,0.054
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.101,0.247,0.659,0.457
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.023,0.016,0.041,0.083
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.035,0.09,0.113
"P13","En blanco",0.004,0.01,0.063,0.036
"P13","No sabe",0.014,0.011,0.015,0.153
"P26","Totalmente seguro",0.737,0.729,0.748,0.526
"P26","Bastante seguro",0.127,0.134,0.096,0.083
"P26","Algo seguro",0.084,0.083,0.092,0.143
"P26","Para nada seguro",0.052,0.054,0.064,0.248
"P27","Tiene Decidido que va a ir a votar",0.955,0.912,0.837,0.794
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.067,0.083,0.156
"P27","Tiene Decidido que no va a ir a votar",0.013,0.021,0.08,0.05
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.305,0.617,0.063,0.063
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.107,0.347,0.603,0.437
"P29","En blanco",0.368,0.017,0.296,0.082
"P29","No sabe",0.22,0.019,0.038,0.418
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.794,0.11,0.054,0.105
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.463,0.713,0.536
"P30","En blanco",0.068,0.263,0.177,0.085
"P30","No sabe",0.049,0.164,0.056,0.274
"P38","Inflación",0.39,0.306,0.366,0.267
"P38","Desempleo",0.132,0.051,0.082,0.08
"P38","Corrupción",0.146,0.453,0.381,0.359
"P38","Inseguridad",0.137,0.109,0.078,0.095
"P38","Precio del dólar",0.04,0.018,0.008,0.013
"P38","Pobreza",0.075,0.025,0.04,0.071
"P38","Narcotráfico",0.011,0.005,0.001,0.021
"P38","Tarifas",0.007,0.003,0.001,0.005
"P38","Otro",0.044,0.022,0.036,0.054
"P38","No sabe",0.018,0.008,0.007,0.035
"P10_imputada","Unión por la Patria",0.645,0.058,0.071,0.126
"P10_imputada","Juntos por el Cambio",0.152,0.63,0.102,0.095
"P10_imputada","De los liberales libertarios",0.099,0.243,0.577,0.463
"P10_imputada","De la Izquierda",0.054,0.018,0.091,0.1
"P10_imputada","Hacemos por nuestro país",0.02,0.017,0.062,0.067
"P10_imputada","Otro",0.019,0.025,0.046,0.095
"P10_imputada","En blanco",0.011,0.009,0.051,0.054
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.741,0.063,0.079,0.164
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.1,0.624,0.062,0.085
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.105,0.251,0.662,0.484
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.016,0.041,0.09
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.036,0.092,0.127
"P13_imputada","En blanco",0.004,0.01,0.064,0.05
