"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P10","Unión por la Patria",0.349,0.322,0.262,0.113
"P10","Juntos por el Cambio",0.282,0.315,0.244,0.223
"P10","De los liberales libertarios",0.249,0.191,0.23,0.112
"P10","De la Izquierda",0.035,0.061,0.092,0.103
"P10","Hacemos por nuestro país",0.023,0.04,0.047,0.05
"P10","Otro",0.023,0.034,0.041,0.099
"P10","En blanco",0.015,0.011,0.013,0.083
"P10","No sabe",0.024,0.026,0.071,0.217
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.399,0.373,0.333,0.209
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.254,0.269,0.24,0.145
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.271,0.231,0.254,0.133
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.022,0.037,0.085
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.033,0.048,0.085,0.107
"P13","En blanco",0.01,0.042,0.019,0.067
"P13","No sabe",0.009,0.015,0.032,0.254
"P27","Tiene Decidido que va a ir a votar",0.964,0.818,0.777,0.681
"P27","Tiene dudas sobre si va a ir a  votar",0.024,0.16,0.078,0.263
"P27","Tiene Decidido que no va a ir a votar",0.012,0.022,0.145,0.056
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.485,0.495,0.434,0.323
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.313,0.338,0.279,0.222
"P28","En blanco",0.123,0.094,0.119,0.101
"P28","No sabe",0.079,0.073,0.168,0.354
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.353,0.378,0.349,0.254
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.286,0.26,0.276,0.2
"P29","En blanco",0.236,0.208,0.183,0.13
"P29","No sabe",0.125,0.154,0.192,0.416
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.443,0.4,0.383,0.309
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.329,0.361,0.316,0.224
"P30","En blanco",0.144,0.145,0.148,0.129
"P30","No sabe",0.084,0.094,0.153,0.338
"P38","Inflación",0.371,0.319,0.307,0.216
"P38","Desempleo",0.081,0.132,0.125,0.149
"P38","Corrupción",0.29,0.295,0.277,0.31
"P38","Inseguridad",0.108,0.128,0.163,0.133
"P38","Precio del dólar",0.028,0.018,0.029,0.026
"P38","Pobreza",0.055,0.061,0.051,0.053
"P38","Narcotráfico",0.01,0.002,0.004,0.012
"P38","Tarifas",0.004,0.003,0.009,0.01
"P38","Otro",0.042,0.025,0.023,0.027
"P38","No sabe",0.011,0.017,0.012,0.064
"P10_imputada","Unión por la Patria",0.358,0.33,0.289,0.161
"P10_imputada","Juntos por el Cambio",0.287,0.324,0.261,0.266
"P10_imputada","De los liberales libertarios",0.254,0.195,0.246,0.164
"P10_imputada","De la Izquierda",0.038,0.063,0.098,0.129
"P10_imputada","Hacemos por nuestro país",0.024,0.041,0.047,0.058
"P10_imputada","Otro",0.024,0.035,0.046,0.124
"P10_imputada","En blanco",0.015,0.012,0.013,0.098
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.403,0.381,0.35,0.312
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.256,0.27,0.247,0.183
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.273,0.237,0.259,0.2
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.024,0.022,0.038,0.099
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.048,0.085,0.122
"P13_imputada","En blanco",0.01,0.042,0.021,0.084
