"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.658,0.07,0.135,0.13
"P10","Juntos por el Cambio",0.158,0.245,0.567,0.488
"P10","De los liberales libertarios",0.072,0.56,0.071,0.081
"P10","De la Izquierda",0.041,0.036,0.076,0.072
"P10","Hacemos por nuestro país",0.016,0.022,0.051,0.046
"P10","Otro",0.013,0.029,0.033,0.054
"P10","En blanco",0.012,0.009,0.05,0.02
"P10","No sabe",0.03,0.029,0.017,0.109
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.738,0.065,0.197,0.172
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.143,0.207,0.537,0.463
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.653,0.069,0.069
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.016,0.048,0.064
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.027,0.033,0.09,0.102
"P13","En blanco",0.003,0.014,0.041,0.024
"P13","No sabe",0.011,0.012,0.018,0.106
"P26","Totalmente seguro",0.752,0.728,0.722,0.554
"P26","Bastante seguro",0.117,0.137,0.124,0.108
"P26","Algo seguro",0.082,0.088,0.093,0.128
"P26","Para nada seguro",0.049,0.047,0.061,0.21
"P27","Tiene Decidido que va a ir a votar",0.944,0.92,0.877,0.823
"P27","Tiene dudas sobre si va a ir a  votar",0.037,0.057,0.078,0.126
"P27","Tiene Decidido que no va a ir a votar",0.019,0.023,0.045,0.051
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.129,0.221,0.213
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.081,0.448,0.574,0.474
"P28","En blanco",0.015,0.259,0.146,0.061
"P28","No sabe",0.025,0.164,0.059,0.252
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.385,0.207,0.518,0.438
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.048,0.71,0.105,0.088
"P29","En blanco",0.359,0.054,0.341,0.032
"P29","No sabe",0.208,0.029,0.036,0.442
"P38","Inflación",0.388,0.343,0.308,0.262
"P38","Desempleo",0.132,0.06,0.067,0.099
"P38","Corrupción",0.137,0.432,0.412,0.32
"P38","Inseguridad",0.124,0.092,0.116,0.165
"P38","Precio del dólar",0.05,0.008,0.008,0.016
"P38","Pobreza",0.082,0.034,0.031,0.04
"P38","Narcotráfico",0.014,0.002,0.007,0.014
"P38","Tarifas",0.006,0.004,0.001,0.007
"P38","Otro",0.049,0.019,0.033,0.05
"P38","No sabe",0.018,0.006,0.017,0.027
"P10_imputada","Unión por la Patria",0.67,0.075,0.136,0.16
"P10_imputada","Juntos por el Cambio",0.166,0.249,0.576,0.518
"P10_imputada","De los liberales libertarios",0.077,0.573,0.074,0.101
"P10_imputada","De la Izquierda",0.043,0.039,0.076,0.085
"P10_imputada","Hacemos por nuestro país",0.016,0.024,0.055,0.048
"P10_imputada","Otro",0.016,0.031,0.033,0.065
"P10_imputada","En blanco",0.012,0.009,0.05,0.023
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.744,0.067,0.208,0.205
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.144,0.21,0.54,0.49
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.658,0.07,0.095
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.016,0.05,0.067
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.028,0.035,0.09,0.112
"P13_imputada","En blanco",0.004,0.014,0.042,0.031
