"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"El kirchnerismo",0.459,0.474,0.444,0.441,0.424,0.52,0.472,0.408,0.465,0.51,0.445,0.487
"Cambiemos",0.182,0.184,0.179,0.165,0.203,0.169,0.169,0.196,0.178,0.171,0.195,0.155
"Los medios de comunicación",0.174,0.174,0.173,0.174,0.179,0.156,0.186,0.165,0.176,0.179,0.173,0.176
"Otros",0.082,0.084,0.08,0.108,0.087,0.073,0.057,0.096,0.086,0.06,0.086,0.073
"No sabe",0.103,0.084,0.124,0.112,0.107,0.082,0.116,0.135,0.095,0.08,0.101,0.109
