"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Mejor",0.108,0.109,0.108,0.083,0.116,0.108,0.118,0.107,0.099,0.126,0.102,0.121
"Igual",0.282,0.282,0.282,0.296,0.288,0.266,0.275,0.266,0.29,0.286,0.274,0.297
"Peor",0.573,0.571,0.574,0.547,0.564,0.602,0.58,0.588,0.57,0.561,0.589,0.541
"No sabe",0.037,0.038,0.036,0.074,0.032,0.024,0.027,0.039,0.041,0.027,0.035,0.041
