"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Horacio Rodriguez Larreta","Positiva",0.33,0.307,0.353,0.22,0.303,0.38,0.435,0.338,0.324,0.329,0.328,0.334
"Horacio Rodriguez Larreta","Neutra",0.222,0.243,0.202,0.225,0.23,0.222,0.204,0.241,0.228,0.191,0.229,0.209
"Horacio Rodriguez Larreta","Negativa",0.42,0.428,0.412,0.504,0.442,0.374,0.347,0.385,0.426,0.453,0.42,0.42
"Horacio Rodriguez Larreta","No sabe",0.028,0.022,0.033,0.051,0.025,0.024,0.014,0.036,0.022,0.027,0.023,0.037
"Javier Milei","Positiva",0.293,0.35,0.236,0.321,0.32,0.293,0.2,0.282,0.308,0.281,0.297,0.285
"Javier Milei","Neutra",0.229,0.196,0.262,0.181,0.213,0.247,0.291,0.233,0.229,0.224,0.228,0.232
"Javier Milei","Negativa",0.425,0.419,0.43,0.403,0.419,0.427,0.457,0.402,0.42,0.461,0.423,0.428
"Javier Milei","No sabe",0.053,0.035,0.072,0.095,0.048,0.033,0.052,0.083,0.043,0.034,0.052,0.055
"Patricia Bullrich","Positiva",0.412,0.404,0.42,0.378,0.376,0.442,0.485,0.369,0.412,0.462,0.416,0.402
"Patricia Bullrich","Neutra",0.121,0.129,0.113,0.126,0.128,0.125,0.095,0.148,0.121,0.089,0.116,0.132
"Patricia Bullrich","Negativa",0.433,0.449,0.416,0.409,0.467,0.414,0.403,0.432,0.441,0.421,0.442,0.414
"Patricia Bullrich","No sabe",0.034,0.018,0.051,0.087,0.029,0.019,0.017,0.051,0.026,0.028,0.026,0.052
"Maria Eugenia Vidal","Positiva",0.298,0.274,0.323,0.204,0.271,0.337,0.405,0.299,0.294,0.306,0.299,0.297
"Maria Eugenia Vidal","Neutra",0.166,0.174,0.159,0.119,0.176,0.191,0.156,0.172,0.157,0.174,0.16,0.178
"Maria Eugenia Vidal","Negativa",0.516,0.533,0.497,0.613,0.543,0.461,0.428,0.512,0.534,0.489,0.527,0.492
"Maria Eugenia Vidal","No sabe",0.02,0.019,0.021,0.064,0.01,0.011,0.011,0.017,0.015,0.031,0.014,0.033
"Mauricio Macri","Positiva",0.259,0.241,0.277,0.164,0.234,0.312,0.339,0.261,0.24,0.288,0.252,0.275
"Mauricio Macri","Neutra",0.182,0.182,0.182,0.224,0.167,0.161,0.205,0.175,0.191,0.176,0.177,0.192
"Mauricio Macri","Negativa",0.548,0.563,0.533,0.585,0.591,0.52,0.449,0.555,0.561,0.517,0.562,0.518
"Mauricio Macri","No sabe",0.011,0.014,0.008,0.027,0.008,0.007,0.007,0.009,0.008,0.019,0.009,0.015
"Axel Kicillof","Positiva",0.307,0.279,0.335,0.29,0.304,0.299,0.343,0.291,0.32,0.306,0.311,0.299
"Axel Kicillof","Neutra",0.108,0.103,0.114,0.12,0.133,0.089,0.066,0.127,0.116,0.072,0.109,0.106
"Axel Kicillof","Negativa",0.571,0.601,0.541,0.562,0.548,0.605,0.587,0.565,0.555,0.605,0.569,0.577
"Axel Kicillof","No sabe",0.014,0.017,0.01,0.028,0.015,0.007,0.004,0.017,0.009,0.017,0.011,0.018
"Sergio Massa","Positiva",0.174,0.174,0.174,0.169,0.157,0.174,0.217,0.193,0.159,0.175,0.174,0.175
"Sergio Massa","Neutra",0.207,0.186,0.229,0.17,0.244,0.196,0.178,0.221,0.219,0.172,0.208,0.207
"Sergio Massa","Negativa",0.589,0.614,0.562,0.589,0.57,0.612,0.596,0.551,0.594,0.625,0.586,0.592
"Sergio Massa","No sabe",0.03,0.026,0.035,0.072,0.029,0.018,0.009,0.035,0.028,0.028,0.032,0.026
"CFK","Positiva",0.321,0.297,0.345,0.295,0.345,0.306,0.314,0.33,0.322,0.308,0.333,0.297
"CFK","Neutra",0.082,0.069,0.094,0.146,0.074,0.064,0.056,0.076,0.099,0.061,0.08,0.084
"CFK","Negativa",0.59,0.623,0.558,0.551,0.573,0.622,0.626,0.584,0.575,0.622,0.58,0.612
"CFK","No sabe",0.007,0.011,0.003,0.008,0.008,0.008,0.004,0.01,0.004,0.009,0.007,0.007
"Alberto Fernandez","Positiva",0.241,0.2,0.282,0.248,0.249,0.23,0.233,0.267,0.241,0.21,0.248,0.227
"Alberto Fernandez","Neutra",0.153,0.135,0.171,0.161,0.174,0.125,0.134,0.134,0.168,0.152,0.15,0.158
"Alberto Fernandez","Negativa",0.598,0.656,0.541,0.576,0.57,0.641,0.627,0.588,0.59,0.624,0.597,0.602
"Alberto Fernandez","No sabe",0.008,0.009,0.006,0.015,0.007,0.004,0.006,0.011,0.001,0.014,0.005,0.013
