"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior"
"Tengo trabajo estable",0.421,0.504,0.339,0.4,0.559,0.426,0.118,0.33,0.408,0.551,0.409,0.446
"Realizo changas o trabajos de vez en cuando",0.201,0.205,0.197,0.283,0.229,0.191,0.071,0.235,0.22,0.13,0.213,0.176
"No tengo trabajo",0.181,0.139,0.223,0.292,0.179,0.184,0.07,0.196,0.199,0.134,0.183,0.177
"Soy jubilado o pensionado",0.197,0.152,0.241,0.025,0.033,0.199,0.741,0.239,0.173,0.185,0.195,0.201
